,perc_secondary_enrollment,ease_of_business,Mean Consumption,perc_protected_territory_land,Pop % Below 5M,gini_index,income_share_top10,Poverty Headcount Ratio,days_for_electricity,ren_water_resources_percap,Net Migration,perc_urban_pop_in_slums,cpia_management_score,bank_capital_to_assets,bank_nonperf_to_totalgrossloans,high_tech_perc_manu_export,perc_primary_enrollment,pm2.5_mean_annual_exposure,atm_per_100k,gov_dept_perc_gdp,Renewable Output to Total Energy,Electricity Access,% Final Energy from Renewables,med_high_perc_manufacturing_val_added,labor_force,gni_per_cap_ppp,gdp_per_cap_ppp,Forest,perc_forest_land_area,refugee_pop_origin,kwh_elect_cons,net_energy_imports_touse,alt_nuc_energy_perc_total_use,fossil_cons_perc_total,Energy Use (kgoilpercap),number_domestic_companies,Food Production,co2_emission,methane_emissions,expense_perc_gdp,perc_arable_land_area,Agricultural Land,Fertilizer Consumption,Arable Land,nitrousoxide_emissions,Cereal Yield (kghectare),dev_assistance_received,refugee_pop,gdp_growth,Population,perc_real_interestrate,0-14_perc_pop,Life Expectancy,land_area_sqkm,gni,Urban Population,Total Reserves,Country,Percent Rural Pop,external_debt_stock_perc_gdp,GDP,CommonCol,Total Deaths,Total Affected,CPI,Start Month,End Month,End Year,Frequency,tmean,tmin,tmax,pr,perc_agfishfor_val_added,goods_serv_import_perc_gdp,% Urban Population,gdp_per_cap,goods_serv_export_perc_gdp,fdi_net_inflow,consumer_inflation,savings_perc_gdp,balance_of_accounts,ore_metal_exports_perc_merchexport,gdp_per_cap_growth,Start Year,remittances_received,gni_per_cap,Year
0,40.0,40.0,39.0,38.0,38.0,35.0,35.0,35.0,34.0,33.0,33.0,33.0,32.0,31.0,30.0,29.0,29.0,29.0,25.0,17.0,15.0,14.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,14.0,40.0,39.0,38.0,38.0,24.0,24.0,24.0,34.0,33.0,33.0,34.0,41.0,25.0,25.0,28.0,8.0,29.0,24.0,30.0,15.0,13.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,14.0,6.0,5.0,5.0,5.0,5.0,0.0,2.0,2.0,2.0,8.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2,41.0,40.0,39.0,38.0,38.0,24.0,24.0,24.0,34.0,33.0,33.0,34.0,41.0,34.0,30.0,27.0,30.0,29.0,26.0,41.0,15.0,21.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,0.0,6.0,6.0,6.0,6.0,6.0,15.0,2.0,2.0,2.0,41.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,China,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0
3,27.0,40.0,39.0,38.0,38.0,19.0,19.0,19.0,30.0,33.0,33.0,33.0,41.0,25.0,25.0,27.0,8.0,29.0,27.0,28.0,15.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,3.0,6.0,6.0,6.0,6.0,6.0,10.0,2.0,2.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
4,36.0,40.0,39.0,38.0,38.0,33.0,33.0,33.0,30.0,33.0,33.0,41.0,29.0,31.0,31.0,29.0,22.0,29.0,32.0,16.0,15.0,22.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,5.0,6.0,6.0,6.0,6.0,6.0,13.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,Sri Lanka,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
5,6.0,40.0,39.0,38.0,38.0,21.0,21.0,21.0,30.0,33.0,33.0,41.0,41.0,28.0,28.0,27.0,5.0,29.0,24.0,41.0,15.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,14.0,6.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,41.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,France,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,32.0,40.0,39.0,38.0,38.0,15.0,15.0,15.0,30.0,33.0,33.0,36.0,41.0,26.0,26.0,27.0,37.0,29.0,25.0,15.0,15.0,21.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,6.0,6.0,6.0,6.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Thailand,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7,19.0,40.0,39.0,38.0,38.0,32.0,32.0,32.0,34.0,33.0,33.0,33.0,25.0,31.0,31.0,34.0,27.0,29.0,24.0,38.0,15.0,12.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,8.0,6.0,6.0,6.0,6.0,6.0,15.0,2.0,2.0,2.0,25.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0
8,41.0,40.0,41.0,38.0,38.0,38.0,38.0,38.0,34.0,33.0,33.0,41.0,41.0,41.0,41.0,27.0,41.0,29.0,24.0,14.0,15.0,11.0,12.0,11.0,10.0,10.0,10.0,10.0,10.0,18.0,6.0,5.0,5.0,5.0,5.0,0.0,2.0,2.0,2.0,41.0,2.0,2.0,2.0,2.0,2.0,2.0,41.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,Japan,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,16.0,0.0,0.0,0.0,6.0,0.0,0.0
9,34.0,40.0,39.0,38.0,38.0,25.0,25.0,25.0,30.0,33.0,33.0,39.0,41.0,25.0,25.0,27.0,17.0,29.0,24.0,41.0,15.0,11.0,12.0,11.0,10.0,17.0,17.0,10.0,10.0,11.0,6.0,5.0,5.0,5.0,5.0,0.0,2.0,2.0,2.0,11.0,2.0,2.0,2.0,2.0,2.0,2.0,41.0,0.0,18.0,0.0,21.0,0.0,0.0,0.0,19.0,0.0,0.0,Canada,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,15.0,19.0,0.0
