Country,Total Deaths,Total Affected,CPI,Start Month,End Month,Start Year,End Year,Frequency
Afghanistan,37179.505058024195,73150128.61766054,18080.781832495086,5.252032520325203,5.252032520325203,2005.8333333333333,2005.8495934959349,246
Albania,3675.739081749718,6861658.288603784,2956.9269188716385,6.926829268292683,6.926829268292683,2004.9756097560976,2005.0487804878048,41
Algeria,11062.249205234975,17106921.389343455,8987.832923682487,6.7846153846153845,6.7846153846153845,2003.1692307692308,2003.1846153846154,130
American Samoa,572.4923716460996,1012456.3154415134,334.5898272468839,3.6,3.6,2002.0,2002.0,5
Angola,15483.93143191625,22697892.416181188,8721.431121801883,5.295081967213115,5.295081967213115,2004.6065573770493,2004.72131147541,122
Anguilla,827.1623620434633,1495489.9731622702,263.78522632844977,8.2,8.2,1993.2,1993.2,5
Antigua and Barbuda,591.3912232229674,620760.6577207568,620.4547649245575,9.4,9.4,1998.8,1998.8,10
Argentina,12022.599375966298,30849587.70478497,10842.033439755087,5.590909090909091,5.590909090909091,2003.922077922078,2003.9415584415585,154
Armenia,1734.979748177871,5401479.97316227,1179.9862672206434,7.117647058823529,7.117647058823529,2003.3529411764705,2003.4705882352941,17
Australia,24909.028131110816,58168166.90626432,14945.265584955176,5.774891774891775,5.774891774891775,2000.4069264069265,2000.4458874458874,231
Austria,5173.110062402226,21290681.281992536,3623.0696173190477,5.842105263157895,5.842105263157895,1999.6491228070176,1999.6666666666667,57
Azerbaijan,2575.8134373995476,6523303.261766054,2057.300389241199,7.4,7.4,2002.7333333333333,2002.7333333333333,30
Azores Islands,521.6830435905736,1503454.97316227,356.8480472337636,6.571428571428571,6.571428571428571,1992.2857142857142,1992.2857142857142,7
Bahamas (the),2702.9059051086588,5976308.892649081,1839.1564312267662,8.16,8.16,2005.76,2005.76,25
Bahrain,245.0,1480418.9731622702,431.2632407609885,5.833333333333333,5.833333333333333,2004.5,2004.5,6
Bangladesh,237846.5752042072,460783560.3897362,32067.356676142586,6.118,6.118,2000.098,2000.11,500
Barbados,2040.5865623712295,1987804.630883027,779.1496785479993,7.833333333333333,7.833333333333333,2000.5833333333333,2000.5833333333333,12
Belarus,1422.5039893566086,1690039.9731622702,1130.0824928930683,3.75,3.75,2004.125,2004.125,16
Belgium,11994.741427954435,22215770.59743405,5017.106048545814,6.12,6.12,2001.7066666666667,2001.72,75
Belize,2069.4674135905716,3757924.6040452966,1233.5254231357972,8.444444444444445,8.444444444444445,2002.6666666666667,2002.6666666666667,18
Benin,3926.232399884259,8323230.94632454,4373.215534659962,6.015873015873016,6.015873015873016,2003.2380952380952,2003.2857142857142,63
Bermuda,873.0851689921641,2960719.9463245403,341.2005335665865,4.714285714285714,4.714285714285714,1991.0,1991.0,7
Bhutan,1137.7598601698487,2061657.6308830266,836.9734178876014,6.583333333333333,6.583333333333333,2003.25,2003.3333333333333,12
Bolivia (Plurinational State of),11990.491562738136,20281749.127577405,9690.324845834248,5.134328358208955,5.134328358208955,2004.955223880597,2005.0298507462687,134
Bosnia and Herzegovina,3270.0049634999154,6120944.91948681,2332.4898841023405,6.333333333333333,6.333333333333333,2008.4,2008.4,30
Botswana,2902.3258547340856,2870520.97316227,1324.3094861141487,4.421052631578948,4.421052631578948,2003.6315789473683,2003.9473684210527,19
Brazil,23079.215049549453,149695761.007004,24801.373094248862,6.08130081300813,6.08130081300813,2001.9837398373984,2002.0216802168022,369
Brunei Darussalam,205.79059051086588,493446.6577207567,60.1574108900066,3.0,3.0,1998.0,1998.0,1
Bulgaria,4305.072945623145,13394828.75846043,4116.124146074788,6.2105263157894735,6.2105263157894735,2004.859649122807,2004.8947368421052,57
Burkina Faso,21217.519274259572,19812052.577207565,5603.118425541222,6.658227848101266,6.658227848101266,2004.1518987341772,2004.2784810126582,79
Burundi,7234.999284355522,9695317.94632454,5762.25104745244,5.407894736842105,5.407894736842105,2007.3157894736842,2007.4342105263158,76
Cabo Verde,2002.3972043217996,3613296.604045297,1156.0787579269631,7.388888888888889,7.388888888888889,2000.3333333333333,2000.611111111111,18
