Variable:,pr
,"Kyrgyz Republic",Batken,Jalal-Abad,Naryn,Osh,Talas,Ysyk-Kol,Bishkek,Chuy
1901,486.19,534.46,615.47,425.06,473.59,628.01,377.08,536.57,533.26
1902,560.43,756.78,716.41,446.97,672.86,707.51,365.88,539.32,552.21
1903,395.27,513.30,456.35,335.71,451.50,444.58,308.39,393.57,399.69
1904,387.67,481.75,450.34,344.34,430.79,433.44,300.49,393.75,394.94
1905,396.05,491.39,448.06,339.66,430.04,440.03,334.20,408.51,410.48
1906,365.15,459.43,405.15,317.73,370.79,402.63,324.54,376.58,377.66
1907,478.22,556.47,583.03,421.56,526.51,568.24,352.84,506.32,507.17
1908,416.36,587.38,502.30,325.43,469.43,493.77,320.61,410.91,412.26
1909,316.52,372.33,338.46,270.31,362.74,332.23,287.21,324.37,323.63
1910,383.90,555.40,481.83,307.39,461.49,462.87,247.98,373.15,374.33
1911,384.03,562.32,479.38,297.58,414.75,468.77,273.82,398.18,404.04
1912,337.56,491.26,434.64,264.06,385.17,428.34,217.21,319.05,341.20
1913,333.58,486.99,405.51,269.11,384.87,396.10,234.47,324.17,325.59
1914,374.39,535.34,484.37,284.08,422.16,491.85,246.87,361.55,388.23
1915,331.66,360.97,391.20,293.30,332.31,386.22,277.75,378.09,374.72
1916,278.64,368.63,321.15,231.59,271.21,322.08,239.66,305.40,301.13
1917,156.06,156.34,164.83,140.65,149.67,164.27,162.57,165.65,166.68
1918,323.08,440.88,384.26,262.20,365.76,375.39,246.17,331.48,327.66
1919,273.77,419.39,319.15,213.58,297.68,317.28,216.11,272.86,268.19
1920,441.56,635.93,522.98,356.00,517.10,491.16,333.42,405.58,420.64
1921,466.68,679.48,594.09,344.26,550.39,591.04,329.98,431.42,443.41
1922,367.18,518.28,459.95,291.09,438.49,453.16,241.80,360.43,366.81
1923,398.96,593.94,490.40,309.63,459.78,480.12,284.74,376.02,385.26
1924,386.24,571.71,470.41,302.27,475.65,456.02,260.00,366.20,373.90
1925,282.18,356.78,332.26,243.37,316.50,322.43,213.20,298.55,295.58
1926,317.19,361.10,370.83,275.65,311.28,405.11,271.86,339.36,336.43
1927,279.92,319.87,284.92,241.83,334.67,284.76,264.77,284.27,277.55
1928,469.42,640.44,560.26,356.50,583.70,534.52,373.09,411.88,427.32
1929,341.11,453.58,409.97,269.81,435.24,390.86,251.32,302.82,317.83
1930,324.74,419.17,404.93,245.14,401.99,412.99,239.12,292.69,311.20
1931,401.08,536.43,515.42,308.00,493.47,512.34,270.66,375.16,384.39
1932,372.56,551.27,446.23,297.16,430.68,415.65,277.94,347.85,355.28
1933,363.39,472.37,456.43,297.07,427.62,441.77,259.49,348.26,349.26
1934,431.11,508.21,532.22,363.79,439.43,523.41,345.44,461.42,462.63
1935,417.77,573.04,517.63,349.17,459.92,456.39,315.76,396.76,402.30
1936,322.42,393.66,371.22,270.77,355.37,349.16,279.35,318.68,322.16
1937,396.61,491.29,473.78,331.33,457.47,444.65,310.02,402.68,400.14
1938,305.34,423.33,332.83,266.20,324.62,297.79,272.14,294.50,290.91
1939,288.56,352.96,335.76,242.15,305.41,330.10,240.90,319.39,312.34
1940,375.95,403.47,448.06,334.55,370.37,429.18,327.82,407.46,405.39
1941,407.12,566.46,501.87,328.23,401.86,500.11,312.65,439.39,440.01
1942,424.11,621.81,541.20,343.05,465.37,512.79,285.18,414.36,422.27
1943,371.04,559.61,511.49,262.94,479.02,463.61,230.40,277.52,305.31
1944,317.33,401.71,317.52,318.77,379.48,291.70,256.53,321.06,294.42
1945,415.84,571.93,538.21,317.80,514.51,510.55,282.71,371.94,384.05
1946,358.72,410.20,426.83,317.19,350.30,440.10,292.82,373.71,398.80
1947,390.28,458.05,484.86,328.29,361.75,526.04,313.26,444.56,438.36
1948,332.71,481.01,450.15,253.45,435.63,400.26,183.81,307.92,317.42
1949,436.25,561.29,566.86,342.31,495.37,550.54,311.21,418.01,436.52
1950,341.88,376.89,400.96,306.03,362.22,385.55,281.23,358.22,367.44
1951,457.80,586.75,569.49,390.81,536.68,546.80,310.94,467.61,455.34
1952,403.16,526.06,519.41,341.38,440.40,502.13,276.84,387.02,397.12
1953,511.76,878.55,626.27,374.06,673.28,571.02,321.22,429.40,447.66
1954,409.35,541.87,470.47,345.34,473.24,447.54,336.29,359.98,375.71
1955,369.47,498.84,419.35,308.49,434.76,427.64,278.91,374.66,374.75
1956,374.72,441.80,434.59,319.14,348.48,465.79,346.48,386.49,384.81
1957,366.22,490.43,425.74,305.81,432.44,411.79,282.63,351.94,350.89
1958,490.61,689.91,629.10,347.56,560.08,665.74,350.09,494.26,504.50
1959,427.87,504.92,559.03,341.35,462.30,571.04,327.86,395.05,420.71
1960,403.36,574.61,513.55,317.80,461.01,497.50,276.86,385.49,393.28
1961,278.53,343.10,325.96,208.43,275.48,354.74,250.76,321.40,321.83
1962,365.11,418.23,449.76,314.11,411.13,447.87,274.13,370.69,374.30
1963,421.10,572.96,511.81,349.72,450.69,482.43,319.91,436.00,432.18
1964,381.53,525.82,426.82,319.07,438.60,420.37,301.07,382.19,388.46
1965,376.33,457.87,450.56,337.27,397.03,445.47,286.73,393.96,392.01
1966,471.95,603.55,540.50,408.58,536.85,558.59,343.93,526.56,513.38
1967,371.38,447.19,475.46,302.75,407.13,503.41,263.67,387.49,387.48
1968,391.72,534.95,509.57,314.26,440.61,537.92,247.75,380.97,397.99
1969,606.82,866.21,858.04,466.51,698.98,790.56,366.27,528.83,548.95
1970,397.69,486.53,468.03,330.72,452.58,469.21,301.10,447.28,436.80
1971,301.82,349.44,324.15,256.38,317.29,352.15,280.06,315.14,321.08
1972,429.32,650.01,526.03,343.69,472.79,532.69,304.06,388.22,410.68
1973,325.87,489.15,360.07,268.04,353.20,380.82,256.03,323.98,332.27
1974,355.57,446.58,366.91,316.38,384.02,388.40,333.98,332.60,331.53
1975,297.14,366.98,322.23,239.31,343.92,337.43,263.30,298.05,308.83
1976,381.91,510.94,478.16,309.36,434.39,432.60,272.30,410.11,401.86
1977,408.59,629.84,525.47,312.09,491.99,476.33,260.68,403.53,394.37
1978,380.47,536.39,485.09,291.26,434.56,513.35,245.82,415.67,405.39
1979,385.46,521.87,480.77,295.66,419.67,478.33,292.39,403.79,403.87
1980,402.06,553.66,499.13,327.02,425.56,480.71,298.03,425.69,417.08
1981,471.02,600.23,514.92,413.04,539.31,489.11,394.35,485.62,470.55
1982,311.77,457.36,340.22,247.96,362.12,329.65,260.93,313.60,307.61
1983,344.35,442.13,403.71,298.95,358.71,401.41,266.34,375.96,372.89
1984,378.75,584.15,499.06,280.25,422.99,437.29,260.45,362.72,372.44
1985,363.08,509.90,422.97,280.66,408.46,420.74,290.65,355.96,376.06
1986,380.85,428.75,413.28,343.45,433.53,392.79,342.56,338.87,369.02
1987,563.89,729.68,691.49,462.68,677.12,635.13,399.39,611.63,579.37
1988,432.21,644.11,491.43,340.42,491.20,485.61,337.59,432.68,436.84
1989,336.04,429.87,394.22,276.87,381.08,400.27,254.09,358.11,364.35
1990,385.82,541.84,499.69,281.26,451.52,480.77,284.22,343.98,363.27
1991,396.59,633.76,474.88,311.04,536.21,429.66,248.58,334.66,347.15
1992,393.20,528.87,467.86,329.35,434.04,468.63,295.91,393.23,398.24
1993,539.21,789.55,695.34,407.52,614.16,681.50,376.09,487.99,511.96
1994,384.59,528.80,494.81,286.71,447.27,507.19,273.78,346.54,370.50
1995,271.67,346.10,285.99,228.38,342.41,310.56,230.57,257.87,245.97
1996,383.12,487.87,486.54,316.81,467.14,467.96,260.43,340.88,361.83
1997,313.35,463.09,380.55,249.10,372.15,365.96,214.83,321.65,310.93
1998,539.15,845.66,718.25,383.14,640.38,644.47,363.94,470.86,488.64
1999,450.67,614.66,535.84,354.11,507.85,513.95,360.63,439.09,454.19
2000,376.29,454.80,424.86,323.81,408.93,410.67,322.68,399.32,391.46
2001,350.46,429.40,406.72,309.13,419.00,387.78,259.91,363.19,355.87
2002,525.24,708.17,650.29,417.46,563.54,658.49,379.59,577.24,575.91
2003,575.90,763.83,684.65,470.65,660.32,673.66,446.53,559.16,566.19
2004,465.59,642.06,525.89,398.40,565.13,508.98,348.52,450.60,446.06
2005,429.31,512.00,472.95,381.05,470.60,465.63,382.13,414.21,413.88
2006,383.01,520.53,450.15,310.60,420.47,448.55,303.20,401.96,392.19
2007,370.62,516.30,449.41,291.76,423.04,430.70,284.81,359.42,361.05
2008,346.53,431.88,385.06,308.24,387.60,362.79,278.44,380.34,371.81
2009,423.48,615.67,479.41,352.15,432.14,468.22,346.10,450.26,446.78
2010,478.01,572.57,555.84,414.14,569.72,546.73,367.95,472.67,473.93
2011,442.71,565.47,505.05,377.97,466.32,494.58,364.74,484.37,478.96
2012,346.28,503.78,378.58,296.22,446.75,359.94,261.27,293.57,299.75
2013,387.45,484.02,437.06,334.61,399.10,438.87,336.27,403.48,401.04
2014,360.48,542.97,455.60,275.80,421.66,453.17,238.11,346.09,351.85
2015,433.28,652.80,538.81,330.47,491.43,520.91,314.26,398.12,414.26
2016,561.18,612.58,650.09,490.40,582.85,653.18,473.10,630.83,632.13
2017,431.06,494.22,525.19,383.45,522.89,518.76,299.73,413.70,425.44
2018,396.32,494.96,466.19,349.29,441.93,458.18,305.82,387.83,390.79
2019,367.21,527.34,413.47,299.95,396.60,401.55,313.38,351.37,352.30
2020,398.63,491.92,437.81,358.85,425.40,436.17,342.55,395.41,400.19
