Variable:,pr
,Mongolia,Arxangai,Bayan-O'lgii,Bayanxongor,Bulgan,Darxan-Uul,Dornod,Dornogovi,Dundgovi,Govisu'mber,Govi-Altai,Xentii,Xovd,Xo'vsgol,O'mnogovi,Orxon,O'vorxangai,Selenge,Su'xbaatar,To'v,Ulaanbaatar,Uvs,Zavxan
1901,219.02,305.84,237.05,164.35,410.71,377.60,251.29,156.63,161.42,220.71,126.08,277.35,131.92,335.49,118.72,444.86,215.35,404.23,212.66,285.75,285.57,272.38,238.56
1902,216.45,302.97,255.52,164.35,382.81,351.85,262.30,156.63,161.45,220.76,126.08,277.56,131.92,295.86,118.72,405.59,215.42,378.42,212.60,290.14,294.38,273.90,238.46
1903,210.42,302.50,285.83,164.35,334.27,270.91,265.09,156.63,161.33,220.50,126.08,260.02,132.09,292.65,118.72,329.49,215.10,293.26,212.45,249.40,240.54,275.56,238.50
1904,217.78,305.08,238.22,164.35,383.29,352.88,256.95,156.63,161.45,220.76,126.08,292.53,131.91,312.97,118.72,405.21,215.44,380.74,213.06,294.26,298.77,273.83,238.53
1905,218.20,307.59,234.20,164.35,387.99,333.83,251.70,156.63,161.46,220.78,126.08,290.96,131.87,332.99,118.72,408.22,215.46,362.03,214.74,293.51,301.48,273.26,238.60
1906,230.80,303.78,256.95,164.35,446.84,474.40,308.80,156.63,161.46,220.78,126.08,301.28,132.05,337.11,118.72,491.75,215.46,506.06,215.22,306.82,307.76,274.87,238.50
1907,225.54,308.85,269.09,164.35,408.63,374.25,270.11,156.63,161.46,220.78,126.08,296.28,135.25,353.36,118.72,434.18,215.46,406.40,215.37,296.62,302.60,294.55,238.69
1908,224.52,306.57,244.30,164.35,389.26,343.50,316.26,156.63,161.46,220.78,126.08,315.08,129.42,330.34,118.72,415.30,215.46,372.05,218.32,294.60,301.78,260.67,238.52
1909,217.57,304.91,193.45,164.35,365.22,323.73,291.13,156.63,161.46,220.78,126.08,309.76,130.16,297.81,118.72,393.99,215.46,352.28,216.70,293.67,300.88,269.25,238.54
1910,218.81,306.32,248.95,164.35,372.67,330.43,285.59,156.63,161.38,220.64,126.08,285.21,132.76,327.40,118.72,384.25,215.23,354.70,214.16,271.55,267.42,274.41,238.59
1911,224.80,309.76,260.98,164.35,418.26,364.43,279.69,156.63,161.53,220.94,126.08,285.57,133.77,344.05,118.72,446.50,215.64,392.04,215.10,312.20,333.24,276.73,238.61
1912,224.60,312.70,257.19,164.35,427.67,360.51,248.78,156.63,161.46,220.78,126.08,294.14,132.01,384.40,118.72,445.81,215.46,392.82,214.26,295.71,302.03,274.27,238.71
1913,220.69,307.41,287.66,164.35,376.00,335.95,269.25,156.63,161.40,220.64,126.08,284.21,133.52,346.89,118.72,386.28,215.30,360.25,215.14,276.24,274.97,277.56,238.63
1914,228.88,310.15,262.40,164.35,435.87,399.06,283.40,156.63,161.52,220.91,126.08,298.30,132.17,367.56,118.72,475.02,215.60,428.30,215.05,314.63,328.65,275.27,238.65
