Variable:,pr
,Yemen,Abyan,"Al Dhale'e","Al Bayda","Al Hudaydah","Al Jawf","Al Maharah","Al Mahwit",Amran,Dhamar,Hajjah,Ibb,Lahj,Marib,Sa'ada,Shabwah,Taizz,"Amanat Al Asimah",Hadramaut,Raymah,Sana'a,Aden
1901,189.15,151.36,472.42,419.37,95.93,176.55,147.06,244.01,400.71,436.63,217.79,513.81,226.84,249.38,344.42,159.51,310.28,455.31,129.08,303.75,401.72,62.46
1902,171.38,127.89,274.87,362.23,74.29,176.55,147.06,236.74,400.71,330.85,218.22,272.75,98.78,247.86,344.48,159.35,106.19,450.40,129.08,227.10,391.19,26.49
1903,180.99,142.58,393.25,396.69,78.09,176.55,147.06,239.52,400.71,386.34,217.88,407.19,171.85,248.75,344.43,159.45,211.57,452.89,129.08,260.95,396.38,40.45
1904,182.88,143.80,399.79,398.50,87.73,176.55,147.06,240.91,400.71,393.91,218.13,419.37,190.99,248.84,344.47,159.46,236.90,453.37,129.08,270.14,397.37,57.62
1905,186.82,150.33,453.01,414.54,84.85,176.55,147.06,241.87,400.71,418.00,218.43,479.62,218.60,249.25,344.45,159.50,280.73,454.46,129.08,283.27,399.61,61.58
1906,177.40,135.70,337.99,380.57,82.77,176.55,147.06,239.30,400.71,365.61,217.63,350.85,144.63,248.36,344.38,159.40,176.54,451.92,129.08,253.16,394.67,44.01
1907,174.05,131.98,308.68,372.00,76.56,176.55,147.06,238.37,400.71,348.40,220.80,312.94,114.30,248.10,344.83,159.37,133.94,451.13,129.08,238.65,392.83,29.08
1908,173.72,131.29,304.04,370.78,76.51,176.55,147.06,238.73,400.71,344.88,225.13,306.49,112.46,248.08,345.12,159.37,128.21,451.07,129.08,235.33,392.47,26.67
1909,178.85,137.07,362.52,387.12,83.91,176.55,147.06,241.68,400.71,378.79,226.82,383.28,141.29,248.50,345.36,159.42,189.14,452.58,129.08,262.03,395.98,29.79
1910,176.48,134.56,336.24,379.70,79.50,176.55,147.06,240.33,400.71,363.98,224.70,349.60,127.39,248.30,345.26,159.39,162.12,451.92,129.08,250.42,394.44,29.74
1911,196.42,162.94,553.92,443.78,98.05,176.55,147.06,245.80,400.71,472.86,219.14,603.32,294.00,250.04,344.36,159.59,388.78,457.07,129.08,323.13,405.07,88.26
1912,179.47,138.91,360.65,387.29,88.31,176.55,147.06,240.97,400.71,378.15,221.39,376.50,156.71,248.55,344.72,159.42,196.12,452.52,129.08,263.01,395.93,49.70
1913,177.94,137.97,352.31,385.37,77.01,176.55,147.06,240.23,400.71,369.66,223.45,363.52,147.14,248.49,345.25,159.42,175.25,452.16,129.08,252.37,394.90,43.25
1914,185.43,146.55,444.16,410.94,83.05,176.55,147.06,242.20,400.71,418.02,219.15,477.02,195.38,249.12,344.58,159.48,265.68,454.58,129.08,285.94,399.73,40.94
1915,173.50,131.90,308.03,371.85,70.91,176.55,147.06,237.40,400.71,344.58,221.23,309.15,111.59,248.08,344.98,159.37,126.36,450.89,129.08,232.74,392.25,24.08
1916,185.77,146.91,426.17,406.09,97.67,176.55,147.06,244.13,400.71,413.58,222.48,458.48,204.16,249.06,344.94,159.47,270.03,454.22,129.08,288.79,399.49,65.29
1917,178.99,138.00,368.11,388.80,80.76,176.55,147.06,240.44,400.71,379.22,222.47,386.28,145.92,248.53,344.94,159.42,190.54,452.64,129.08,259.90,395.90,30.75
1918,168.72,124.94,251.86,355.58,68.20,176.55,147.06,235.71,400.71,317.81,222.40,244.42,73.83,247.66,344.94,159.32,72.20,449.68,129.08,215.99,389.74,14.85
1919,180.25,140.50,374.85,391.38,82.46,176.55,147.06,240.88,400.71,383.63,222.30,394.79,162.32,248.64,344.94,159.43,205.11,452.83,129.08,263.42,396.37,47.77
1920,179.40,138.17,368.90,389.22,82.55,176.55,147.06,240.74,400.71,380.50,222.60,388.55,150.89,248.55,344.94,159.42,196.50,452.77,129.08,261.81,396.10,33.40
1921,173.61,131.14,301.90,369.92,76.91,176.55,147.06,238.26,400.71,345.33,222.29,305.89,110.54,248.04,344.94,159.37,129.80,451.01,129.08,237.30,392.59,28.15
1922,182.64,143.95,407.00,401.22,82.20,176.55,147.06,242.04,400.71,399.29,222.28,430.93,178.27,248.92,344.94,159.46,229.70,453.55,129.08,274.18,397.96,49.30
1923,183.38,144.54,414.41,402.50,83.45,176.55,147.06,241.35,400.71,399.18,222.31,436.10,190.12,248.91,344.94,159.46,238.87,453.55,129.08,270.68,397.68,52.09
1924,177.95,136.70,341.53,381.66,88.62,176.55,147.06,240.75,400.71,367.89,222.35,353.24,146.02,248.39,344.94,159.40,178.97,451.98,129.08,255.99,394.85,43.62
1925,176.62,133.97,327.00,377.08,82.24,176.55,147.06,239.51,400.71,358.10,222.48,337.04,140.03,248.24,344.94,159.39,169.20,451.61,129.08,246.73,393.86,39.68
1926,182.59,142.60,388.72,395.75,89.91,176.55,147.06,241.48,400.71,389.70,220.79,407.74,192.78,248.75,344.62,159.44,234.99,453.25,129.08,270.17,397.12,68.04
1927,179.20,140.58,381.63,393.06,72.00,176.55,147.06,237.73,400.71,378.55,215.43,392.73,154.56,248.62,344.16,159.44,191.43,452.58,129.08,252.75,395.45,31.95
1928,173.12,129.70,289.02,366.33,77.54,176.55,147.06,237.86,400.71,338.42,220.36,290.07,115.32,247.97,344.60,159.36,127.72,450.71,129.08,232.76,391.96,36.31
1929,181.89,142.92,393.62,396.61,88.99,176.55,147.06,241.19,400.71,389.20,222.99,409.00,177.66,248.77,344.68,159.45,220.19,452.95,129.08,265.58,396.75,50.89
1930,176.33,134.63,331.28,378.57,75.97,176.55,147.06,238.09,400.71,359.97,217.31,340.95,138.63,248.28,344.29,159.39,163.47,451.68,129.08,246.76,393.98,42.71
1931,163.62,122.60,229.66,328.04,50.59,175.90,147.06,192.09,379.01,266.77,203.76,212.17,84.48,237.50,344.28,158.17,78.88,395.55,129.08,169.62,343.44,24.74
1932,182.77,143.45,404.20,400.24,86.98,176.55,147.06,243.87,400.71,398.52,226.22,427.18,177.69,248.88,345.66,159.46,230.67,453.61,129.08,275.27,398.06,51.35
1933,160.95,121.08,217.03,315.78,42.29,175.59,147.06,174.12,370.19,247.72,192.15,196.38,81.42,232.72,343.28,157.58,74.33,373.78,129.08,153.33,324.76,25.61
1934,173.43,129.90,295.56,367.97,79.41,176.55,147.06,238.85,400.71,342.02,226.86,299.86,109.90,247.99,344.99,159.36,128.69,450.83,129.08,234.68,392.21,27.09
1935,177.91,137.55,345.15,383.44,83.00,176.55,147.06,241.13,400.71,366.97,225.27,354.40,147.39,248.42,345.28,159.41,176.33,452.04,129.08,252.61,394.81,47.03
1936,178.00,138.00,352.50,384.75,79.96,176.55,147.06,238.77,400.71,367.68,218.59,360.56,151.28,248.44,344.38,159.41,178.04,451.92,129.08,250.43,394.61,41.56
1937,168.79,134.45,306.11,333.28,69.04,175.47,147.06,173.32,362.30,277.45,195.39,297.55,152.67,230.07,343.41,157.24,175.11,350.93,129.08,180.22,310.65,52.70
1938,170.19,131.81,310.95,348.93,60.01,175.73,147.06,188.47,374.82,306.25,208.11,312.17,129.55,236.70,345.07,158.10,158.74,390.20,129.08,192.69,340.89,32.10
1939,176.30,137.54,348.04,379.70,69.33,176.33,147.06,224.27,393.52,358.86,211.86,356.96,149.00,245.27,344.16,159.06,175.17,435.63,129.08,240.85,380.86,45.00
1940,171.67,128.56,283.06,364.56,72.93,176.55,147.06,237.49,400.71,335.10,221.47,283.56,95.81,247.90,344.80,159.35,106.47,450.52,129.08,229.02,391.52,21.92
1941,176.14,135.17,330.83,379.29,75.00,176.55,147.06,238.94,400.71,358.81,221.18,337.24,136.61,248.31,344.86,159.40,156.01,451.86,129.08,244.46,393.92,39.48
1942,170.73,129.30,286.91,365.72,74.31,176.55,138.71,238.02,400.71,336.05,224.87,286.38,98.54,247.92,345.33,159.36,109.79,450.65,128.77,229.19,391.60,22.70
1943,168.38,132.41,302.39,370.55,83.95,176.55,110.85,239.63,400.71,346.66,223.09,303.47,122.44,248.08,345.20,159.37,135.13,451.01,127.23,240.46,392.80,41.01
1944,169.21,134.59,328.11,377.74,80.71,176.55,105.67,239.12,400.71,359.70,220.30,337.22,129.39,248.26,344.56,159.39,158.40,451.68,127.07,248.04,394.05,36.69
1945,154.84,115.95,168.56,270.10,39.34,174.85,160.34,128.49,341.92,166.38,182.08,128.53,69.60,218.90,343.05,155.93,53.93,295.98,129.66,89.52,259.52,22.56
1946,176.25,145.95,420.73,405.10,85.16,176.55,98.52,241.59,400.71,404.50,218.81,444.08,197.36,249.02,344.68,159.48,252.21,453.92,126.77,277.19,398.49,55.57
1947,154.27,119.92,205.16,278.27,37.62,174.66,142.52,116.97,336.11,183.66,172.70,175.82,93.40,216.78,342.43,155.69,95.74,284.69,128.80,101.71,251.66,29.56
1948,150.02,119.95,197.94,286.30,48.56,175.07,107.84,142.39,348.62,195.36,186.02,164.74,87.00,222.40,343.02,156.35,78.94,313.40,126.91,114.14,275.35,28.46
1949,167.43,133.04,301.41,347.04,119.31,176.24,110.11,231.58,383.38,312.44,227.34,298.51,141.49,239.68,344.36,158.24,165.90,394.41,127.19,226.35,350.97,50.59
1950,184.07,146.08,442.91,436.10,98.79,177.24,110.23,296.18,428.72,473.17,244.87,490.32,174.80,261.23,346.60,160.80,244.11,529.31,127.19,337.05,461.52,38.88
1951,175.86,138.09,339.24,353.59,87.58,175.84,157.57,206.53,374.88,315.83,210.36,338.84,165.08,235.55,343.94,157.84,195.52,379.73,130.10,217.99,337.27,55.30
1952,150.99,118.33,191.10,286.40,36.29,175.10,119.55,141.57,351.45,196.45,182.38,159.99,73.05,223.68,342.99,156.49,64.77,322.77,127.59,112.40,282.02,20.45
1953,182.58,138.62,367.07,399.45,92.01,176.90,149.42,269.21,416.30,407.51,232.59,391.78,151.83,254.66,345.26,160.04,193.82,494.32,128.81,288.42,430.13,47.01
1954,228.32,191.48,835.84,616.33,135.53,178.63,130.65,389.16,481.19,786.17,268.56,975.53,360.09,291.03,347.32,164.43,543.69,685.04,128.31,559.55,601.05,75.19
1955,184.53,133.43,324.94,363.49,59.08,176.00,219.99,205.82,386.38,333.57,203.21,329.73,131.60,241.21,343.96,158.60,158.97,420.75,132.22,217.60,366.15,31.94
1956,180.57,147.62,454.92,412.10,91.41,176.45,107.70,247.78,401.17,431.54,225.94,498.87,200.03,248.22,345.67,159.28,284.32,458.32,127.05,300.85,403.35,46.91
1957,171.45,140.40,366.20,347.41,81.84,175.20,136.37,168.22,353.44,306.12,193.74,372.22,185.55,226.33,343.65,156.77,236.89,330.23,128.75,206.59,297.31,59.14
1958,150.72,120.09,209.52,286.61,37.88,174.89,113.46,131.11,344.69,199.75,176.70,184.01,86.41,220.56,342.62,156.12,88.19,306.76,127.35,115.36,269.75,23.55
1959,158.34,124.86,249.19,310.11,47.96,175.29,125.12,156.98,358.15,241.30,186.24,233.85,105.12,227.21,343.07,156.92,118.63,341.51,128.03,149.24,299.76,28.16
1960,178.30,139.74,351.51,386.55,83.20,176.64,143.10,240.72,401.29,373.11,219.42,365.36,159.64,249.99,344.56,159.55,186.50,451.55,128.88,257.35,396.27,54.56
1961,246.71,212.07,876.73,760.34,212.51,189.83,95.81,564.15,599.82,954.87,365.12,1017.17,342.51,361.33,357.90,176.44,497.70,930.21,126.67,699.38,810.35,81.08
