Variable:,tas
,Bhutan,Bumthang,Chhukha,Gasa,Lhuentse,Monggar,Paro,Punakha,Thimphu,Trashiyangtse,Trashigang,Trongsa,Tsirang,Wangduephodrang,Dagana,Haa,Pemagatshel,Samdrupjongkhar,Samtse,Sarpang,Zhemgang
1901,11.36,6.97,15.24,1.44,10.30,17.06,2.89,4.74,3.25,11.12,14.31,11.98,16.99,9.57,13.61,7.41,20.24,19.31,15.91,18.66,17.21
1902,11.18,6.77,15.08,1.29,10.09,16.85,2.74,4.60,3.11,10.88,14.07,11.81,16.83,9.41,13.45,7.26,20.01,19.08,15.77,18.48,17.03
1903,11.32,6.92,15.20,1.39,10.26,17.03,2.83,4.71,3.21,11.07,14.28,11.94,16.95,9.53,13.58,7.35,20.21,19.28,15.85,18.62,17.18
1904,11.10,6.71,14.97,1.17,10.05,16.82,2.60,4.48,2.98,10.86,14.06,11.73,16.74,9.32,13.35,7.12,19.99,19.05,15.63,18.40,16.96
1905,10.67,6.28,14.54,0.74,9.62,16.39,2.18,4.05,2.55,10.43,13.64,11.29,16.30,8.87,12.92,6.70,19.56,18.64,15.20,17.97,16.53
1906,11.23,6.82,15.11,1.31,10.16,16.93,2.75,4.62,3.12,10.97,14.18,11.84,16.86,9.44,13.49,7.27,20.11,19.18,15.78,18.53,17.08
1907,11.10,6.69,14.98,1.16,10.04,16.80,2.61,4.48,2.98,10.84,14.04,11.71,16.74,9.31,13.36,7.14,19.96,19.04,15.65,18.40,16.94
1908,11.47,7.06,15.35,1.54,10.40,17.17,2.99,4.86,3.36,11.21,14.41,12.08,17.10,9.68,13.73,7.51,20.34,19.41,16.01,18.77,17.32
1909,11.50,7.12,15.34,1.56,10.46,17.23,2.97,4.85,3.36,11.29,14.51,12.11,17.11,9.69,13.73,7.49,20.41,19.50,15.98,18.78,17.36
1910,11.07,6.69,14.92,1.14,10.04,16.81,2.55,4.45,2.94,10.85,14.05,11.69,16.70,9.27,13.30,7.07,19.97,19.05,15.57,18.36,16.93
1911,11.01,6.60,14.88,1.08,9.95,16.72,2.50,4.39,2.89,10.76,13.97,11.62,16.64,9.22,13.27,7.01,19.89,18.97,15.54,18.30,16.85
1912,11.13,6.72,15.00,1.19,10.08,16.85,2.62,4.50,2.99,10.89,14.09,11.75,16.77,9.34,13.38,7.15,20.02,19.09,15.66,18.44,16.99
1913,10.90,6.50,14.76,0.98,9.86,16.63,2.39,4.29,2.78,10.67,13.87,11.52,16.53,9.11,13.15,6.91,19.80,18.87,15.42,18.20,16.76
1914,11.05,6.64,14.93,1.12,9.99,16.76,2.57,4.43,2.94,10.81,14.01,11.67,16.68,9.26,13.31,7.09,19.94,19.01,15.58,18.35,16.91
1915,11.66,7.27,15.51,1.71,10.61,17.38,3.14,5.03,3.52,11.43,14.64,12.28,17.29,9.86,13.89,7.66,20.55,19.64,16.16,18.95,17.52
1916,11.43,7.06,15.23,1.47,10.43,17.20,2.87,4.76,3.25,11.25,14.47,12.07,17.08,9.63,13.62,7.38,20.37,19.47,15.88,18.75,17.32
1917,11.04,6.67,14.84,1.08,10.04,16.82,2.45,4.37,2.85,10.87,14.08,11.66,16.66,9.22,13.23,6.98,19.98,19.08,15.46,18.34,16.92
1918,11.08,6.69,14.92,1.15,10.04,16.81,2.55,4.45,2.94,10.87,14.09,11.70,16.71,9.27,13.32,7.07,19.98,19.09,15.57,18.38,16.95
1919,11.51,7.12,15.33,1.55,10.50,17.26,2.92,4.85,3.33,11.33,14.55,12.13,17.12,9.70,13.73,7.45,20.43,19.55,15.94,18.80,17.38
1920,11.50,7.11,15.35,1.56,10.46,17.23,2.97,4.86,3.35,11.28,14.49,12.13,17.13,9.71,13.74,7.50,20.40,19.49,16.01,18.81,17.38
1921,11.49,7.09,15.36,1.55,10.44,17.21,3.00,4.87,3.38,11.25,14.46,12.11,17.12,9.70,13.74,7.51,20.38,19.46,16.02,18.79,17.35
1922,11.65,7.27,15.47,1.70,10.63,17.39,3.10,5.00,3.49,11.46,14.68,12.27,17.27,9.85,13.87,7.61,20.56,19.67,16.11,18.94,17.52
