Variable:,tas
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1901,24.34,24.21,25.18,24.07,23.45,24.63,24.25,24.36,24.04,23.98,24.80,24.74,24.97
1902,24.44,24.29,25.26,24.22,23.54,24.70,24.36,24.43,24.20,24.04,24.83,24.82,25.05
1903,24.54,24.41,25.34,24.35,23.68,24.75,24.51,24.54,24.31,24.14,24.92,24.96,25.18
1904,24.33,24.17,25.15,24.08,23.41,24.64,24.21,24.32,24.08,23.94,24.74,24.69,24.92
1905,24.60,24.44,25.40,24.43,23.72,24.81,24.55,24.58,24.40,24.16,24.93,25.00,25.21
1906,24.53,24.33,25.35,24.36,23.62,24.78,24.44,24.51,24.37,24.06,24.83,24.89,25.10
1907,24.58,24.40,25.39,24.42,23.69,24.80,24.52,24.56,24.40,24.12,24.88,24.96,25.17
1908,24.30,24.11,25.13,24.05,23.35,24.63,24.16,24.28,24.07,23.88,24.69,24.62,24.86
1909,24.69,24.53,25.50,24.56,23.83,24.87,24.67,24.68,24.52,24.24,25.01,25.11,25.30
1910,24.33,24.24,25.15,24.05,23.46,24.61,24.26,24.35,24.02,24.00,24.83,24.76,25.01
1911,24.60,24.50,25.39,24.41,23.76,24.78,24.60,24.61,24.36,24.22,25.02,25.05,25.28
1912,24.68,24.58,25.49,24.50,23.85,24.84,24.67,24.69,24.44,24.30,25.08,25.14,25.38
1913,24.35,24.22,25.16,24.09,23.46,24.64,24.27,24.35,24.08,23.99,24.79,24.74,24.98
1914,24.61,24.43,25.42,24.45,23.72,24.82,24.55,24.59,24.43,24.15,24.93,25.00,25.20
1915,24.47,24.25,25.31,24.30,23.53,24.75,24.36,24.44,24.29,24.00,24.79,24.79,25.02
1916,24.45,24.19,25.30,24.28,23.49,24.75,24.32,24.41,24.29,23.95,24.74,24.74,24.95
1917,24.48,24.27,25.31,24.30,23.56,24.75,24.38,24.46,24.29,24.03,24.82,24.82,25.04
1918,24.47,24.25,25.31,24.29,23.53,24.75,24.36,24.44,24.29,24.00,24.78,24.79,25.01
1919,24.46,24.23,25.30,24.29,23.52,24.75,24.35,24.44,24.29,23.99,24.78,24.78,24.99
1920,24.47,24.25,25.31,24.30,23.54,24.75,24.37,24.45,24.29,24.01,24.79,24.80,25.02
1921,24.47,24.25,25.31,24.30,23.54,24.75,24.37,24.45,24.29,24.01,24.80,24.80,25.02
1922,24.46,24.23,25.30,24.29,23.52,24.75,24.35,24.43,24.29,23.99,24.78,24.78,25.00
1923,24.45,24.19,25.30,24.28,23.49,24.75,24.32,24.41,24.29,23.96,24.74,24.75,24.96
1924,24.52,24.38,25.33,24.33,23.64,24.75,24.47,24.51,24.29,24.12,24.92,24.93,25.15
1925,24.47,24.25,25.31,24.30,23.54,24.75,24.37,24.45,24.29,24.01,24.79,24.80,25.02
1926,24.48,24.27,25.31,24.30,23.55,24.75,24.38,24.45,24.29,24.02,24.81,24.82,25.04
1927,24.49,24.29,25.32,24.31,23.57,24.75,24.40,24.47,24.29,24.04,24.83,24.84,25.06
1928,24.52,24.37,25.33,24.32,23.63,24.75,24.46,24.51,24.29,24.11,24.91,24.91,25.13
1929,24.44,24.16,25.29,24.28,23.46,24.75,24.29,24.40,24.29,23.93,24.71,24.72,24.92
1930,24.49,24.29,25.31,24.31,23.57,24.75,24.39,24.47,24.29,24.04,24.83,24.83,25.06
1931,24.51,24.35,25.32,24.32,23.62,24.75,24.44,24.50,24.29,24.09,24.89,24.89,25.11
1932,24.43,24.16,25.29,24.27,23.45,24.75,24.28,24.39,24.29,23.92,24.69,24.70,24.91
