Variable:,tas
,Jordan,Ajloon,Balqa,Aqaba,Karak,Amman,Tafiela,Irbid,Jarash,Ma'an,Madaba,Mafraq,Zarqa
1901,18.18,17.53,17.97,19.26,17.58,17.71,17.51,17.89,17.53,18.42,18.44,17.94,18.14
1902,17.71,17.03,17.46,18.78,17.10,17.21,17.03,17.39,17.03,17.93,17.94,17.51,17.65
1903,16.63,15.98,16.41,17.72,16.03,16.15,15.96,16.33,15.98,16.87,16.87,16.38,16.59
1904,17.25,16.59,17.02,18.35,16.66,16.76,16.59,16.96,16.59,17.49,17.49,16.99,17.19
1905,17.53,16.88,17.31,18.69,16.96,17.06,16.89,17.23,16.88,17.81,17.79,17.21,17.48
1906,17.86,17.16,17.61,19.11,17.30,17.38,17.26,17.49,17.16,18.19,18.12,17.44,17.76
1907,17.19,16.52,16.96,18.41,16.61,16.70,16.56,16.85,16.52,17.50,17.44,16.83,17.12
1908,17.38,16.68,17.13,18.63,16.80,16.91,16.75,17.00,16.68,17.72,17.63,16.96,17.29
1909,18.55,17.88,18.32,19.79,17.98,18.08,17.93,18.19,17.88,18.88,18.81,18.13,18.47
1910,17.43,16.75,17.19,18.62,16.83,16.93,16.77,17.09,16.75,17.72,17.66,17.12,17.34
1911,17.27,16.63,17.07,18.51,16.71,16.81,16.65,16.96,16.63,17.60,17.54,16.86,17.22
1912,17.57,16.85,17.30,18.70,16.95,17.05,16.90,17.22,16.85,17.82,17.79,17.33,17.47
1913,17.58,16.98,17.41,18.68,17.00,17.14,16.93,17.32,16.98,17.84,17.87,17.27,17.57
1914,18.07,17.42,17.85,19.23,17.48,17.60,17.44,17.75,17.42,18.35,18.32,17.75,18.01
1915,18.82,18.13,18.59,20.10,18.29,18.37,18.25,18.43,18.13,19.18,19.10,18.37,18.73
1916,19.00,18.31,18.76,20.21,18.44,18.53,18.40,18.65,18.31,19.31,19.27,18.62,18.92
1917,18.46,17.74,18.19,19.63,17.86,17.95,17.81,18.09,17.74,18.74,18.69,18.16,18.36
1918,18.35,17.70,18.14,19.50,17.77,17.88,17.70,18.04,17.70,18.62,18.62,18.05,18.29
1919,18.70,18.01,18.46,19.91,18.12,18.22,18.07,18.34,18.01,19.01,18.95,18.33,18.61
1920,18.08,17.45,17.88,19.23,17.51,17.63,17.45,17.78,17.45,18.37,18.35,17.73,18.05
1921,17.75,17.04,17.50,19.00,17.20,17.29,17.16,17.34,17.04,18.10,18.01,17.33,17.67
1922,18.58,17.88,18.33,19.77,18.00,18.10,17.95,18.22,17.88,18.87,18.83,18.26,18.51
1923,18.66,18.03,18.46,19.79,18.10,18.20,18.02,18.37,18.03,18.94,18.93,18.34,18.61
1924,18.55,17.86,18.31,19.70,17.97,18.07,17.92,18.20,17.86,18.82,18.79,18.25,18.48
1925,18.60,17.95,18.40,19.75,18.02,18.14,17.97,18.29,17.95,18.88,18.88,18.28,18.55
1926,18.40,17.82,18.23,19.49,17.81,17.94,17.73,18.20,17.82,18.63,18.65,18.14,18.39
1927,18.76,18.17,18.59,19.93,18.21,18.32,18.14,18.53,18.17,19.05,19.04,18.41,18.74
1928,19.01,18.34,18.80,20.25,18.51,18.59,18.45,18.65,18.34,19.38,19.32,18.52,18.97
1929,18.35,17.63,18.08,19.58,17.80,17.87,17.75,17.96,17.63,18.67,18.59,17.97,18.26
1930,18.93,18.27,18.70,20.04,18.34,18.45,18.29,18.65,18.27,19.18,19.17,18.66,18.88
1931,18.62,17.93,18.39,19.90,18.10,18.15,18.08,18.25,17.93,18.96,18.90,18.19,18.51
1932,18.69,17.97,18.42,19.93,18.13,18.21,18.10,18.27,17.97,19.03,18.93,18.29,18.59
1933,17.93,17.13,17.62,19.35,17.45,17.42,17.45,17.42,17.13,18.36,18.19,17.39,17.73
1934,18.57,17.88,18.34,19.89,18.06,18.10,18.04,18.17,17.88,18.94,18.85,18.10,18.44
1935,18.99,18.33,18.77,20.13,18.41,18.50,18.36,18.65,18.33,19.27,19.24,18.69,18.93
1936,18.84,18.08,18.55,20.19,18.32,18.34,18.30,18.39,18.08,19.23,19.08,18.38,18.69
1937,18.99,18.33,18.77,20.18,18.42,18.50,18.37,18.68,18.33,19.28,19.26,18.67,18.90
1938,18.22,17.58,18.01,19.39,17.64,17.73,17.59,17.93,17.58,18.50,18.47,17.91,18.15
1939,18.98,18.29,18.74,20.23,18.44,18.50,18.40,18.63,18.29,19.30,19.24,18.60,18.89
1940,18.74,18.03,18.48,19.92,18.14,18.24,18.10,18.39,18.03,19.02,18.97,18.44,18.65
1941,18.82,18.06,18.54,20.11,18.29,18.33,18.26,18.41,18.06,19.17,19.09,18.38,18.69
1942,18.66,17.94,18.41,19.89,18.13,18.20,18.07,18.29,17.94,18.99,18.95,18.26,18.58
