Variable:,tas
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1901,22.13,20.71,25.54,21.48,22.31,21.09,24.25,20.63,21.60,20.72,23.66,24.46,25.55,25.62,25.33,22.26,21.46,25.55,25.60,22.40,23.48,25.60,22.26,20.69,21.29,22.18,22.36,18.76,21.22,22.54,21.57
1902,22.43,21.03,25.92,21.84,22.51,21.44,24.61,20.98,21.85,21.03,24.02,24.80,25.92,25.99,25.71,22.60,21.81,25.92,25.97,22.68,23.84,25.98,22.47,21.04,21.46,22.41,22.59,19.09,21.46,22.81,21.86
1903,22.24,20.83,25.67,21.60,22.34,21.22,24.40,20.75,21.66,20.85,23.80,24.62,25.69,25.76,25.47,22.48,21.59,25.69,25.74,22.48,23.62,25.74,22.30,20.82,21.30,22.22,22.41,18.94,21.30,22.61,21.66
1904,21.88,20.32,25.23,21.19,22.16,20.71,24.07,20.29,21.13,20.61,23.41,24.32,25.18,25.27,25.05,22.13,21.21,25.18,25.27,22.15,23.12,25.28,21.88,20.46,20.83,22.10,21.91,18.61,21.23,22.19,21.16
1905,22.04,20.52,25.50,21.43,22.03,20.94,24.37,20.52,21.29,20.74,23.69,24.65,25.45,25.53,25.34,22.47,21.39,25.45,25.53,22.23,23.39,25.54,21.91,20.71,20.87,22.02,22.02,18.88,21.18,22.28,21.33
1906,21.63,20.08,25.04,20.99,21.67,20.51,23.94,20.08,20.84,20.34,23.25,24.24,24.99,25.08,24.88,22.09,20.96,24.99,25.08,21.82,22.93,25.09,21.50,20.28,20.46,21.64,21.58,18.51,20.81,21.85,20.89
1907,21.67,20.17,25.17,21.06,21.65,20.62,24.01,20.17,20.92,20.34,23.31,24.34,25.16,25.22,24.98,22.10,21.01,25.16,25.22,21.85,23.05,25.23,21.54,20.33,20.50,21.63,21.64,18.50,20.76,21.91,20.98
1908,22.18,20.77,25.72,21.58,22.20,21.20,24.41,20.73,21.58,20.79,23.78,24.66,25.73,25.78,25.49,22.42,21.55,25.73,25.77,22.41,23.62,25.77,22.18,20.78,21.16,22.13,22.30,18.88,21.21,22.53,21.58
1909,21.39,19.59,24.81,20.60,21.59,20.11,23.89,19.66,20.20,20.30,22.99,24.39,24.73,24.78,24.61,22.19,20.63,24.73,24.80,21.58,22.59,24.79,21.06,20.00,19.91,21.69,21.00,18.49,20.96,21.42,20.36
1910,21.25,19.39,24.62,20.40,21.55,19.89,23.73,19.44,20.08,20.18,22.82,24.24,24.51,24.59,24.43,22.01,20.45,24.51,24.62,21.44,22.37,24.62,20.99,19.84,19.89,21.61,20.90,18.34,20.89,21.29,20.20
1911,21.56,19.86,25.01,20.85,21.57,20.30,24.09,19.89,20.61,20.34,23.25,24.50,24.85,24.97,24.88,22.20,20.82,24.85,25.00,21.66,22.78,25.01,21.30,20.25,20.27,21.58,21.38,18.55,20.82,21.65,20.68
1912,21.52,19.76,24.96,20.76,21.65,20.29,24.03,19.83,20.35,20.40,23.14,24.51,24.90,24.97,24.77,22.32,20.78,24.90,24.99,21.70,22.75,24.99,21.18,20.14,20.01,21.75,21.13,18.62,21.01,21.55,20.51
1913,21.23,19.03,24.64,20.17,21.48,19.53,24.15,19.09,19.85,20.32,22.94,24.76,24.38,24.46,24.49,22.46,20.21,24.38,24.55,21.21,22.10,24.53,20.84,19.93,19.83,21.50,20.72,18.70,20.95,21.05,19.90
1914,21.54,19.56,24.98,20.61,21.69,20.03,24.27,19.59,20.36,20.51,23.23,24.79,24.78,24.88,24.82,22.62,20.63,24.78,24.94,21.58,22.57,24.93,21.23,20.22,20.22,21.70,21.19,18.86,21.07,21.50,20.41
1915,21.47,19.44,24.91,20.50,21.64,19.97,24.25,19.48,20.24,20.47,23.16,24.78,24.77,24.79,24.74,22.59,20.53,24.77,24.85,21.49,22.49,24.83,21.15,20.15,20.13,21.65,21.08,18.82,21.04,21.39,20.29
1916,21.16,18.90,24.56,20.05,21.42,19.45,24.11,18.96,19.71,20.30,22.87,24.76,24.33,24.37,24.40,22.54,20.10,24.33,24.45,21.11,22.01,24.43,20.73,19.86,19.73,21.45,20.59,18.73,20.95,20.93,19.77
1917,20.80,18.30,24.16,19.55,21.18,18.89,23.97,18.38,19.12,20.11,22.54,24.73,23.93,23.90,24.02,22.47,19.62,23.93,24.01,20.69,21.48,23.98,20.28,19.53,19.28,21.23,20.05,18.61,20.85,20.41,19.18
1918,21.08,18.79,24.49,19.96,21.38,19.33,24.08,18.86,19.60,20.23,22.81,24.74,24.24,24.29,24.33,22.37,20.02,24.24,24.38,21.04,21.91,24.36,20.65,19.79,19.65,21.41,20.49,18.62,20.90,20.84,19.66
1919,21.26,19.10,24.68,20.22,21.51,19.56,24.16,19.15,19.91,20.33,22.97,24.76,24.37,24.50,24.53,22.41,20.26,24.37,24.58,21.26,22.15,24.56,20.89,19.96,19.88,21.53,20.78,18.68,20.95,21.10,19.97
