Variable:,tas
,"South Africa","Free State",Gauteng,"Western Cape","Eastern Cape",KwaZulu-Natal,Limpopo,Mpumalanga,"North West","Northern Cape"
1901,16.97,15.29,16.37,15.86,15.21,17.19,19.98,16.86,17.95,17.45
1902,16.84,15.13,16.35,15.68,15.03,17.04,20.08,16.88,17.85,17.24
1903,16.73,15.11,16.46,15.27,14.85,17.09,20.23,16.99,17.92,16.98
1904,16.77,15.16,16.18,15.59,15.09,17.13,19.69,16.69,17.71,17.19
1905,16.90,15.21,16.43,15.68,15.04,17.09,20.15,16.92,17.98,17.33
1906,16.62,14.95,16.04,15.46,14.89,16.86,19.65,16.56,17.56,17.07
1907,16.49,14.79,15.83,15.42,14.77,16.66,19.41,16.34,17.34,17.01
1908,16.72,15.04,16.28,15.47,14.86,16.92,19.98,16.77,17.79,17.15
1909,16.87,15.11,16.15,15.89,15.10,16.93,19.79,16.66,17.71,17.46
1910,16.61,14.82,15.76,15.76,14.87,16.58,19.33,16.15,17.41,17.32
1911,16.86,15.13,15.99,15.97,15.21,16.93,19.50,16.37,17.65,17.53
1912,17.13,15.47,16.52,15.99,15.34,17.35,20.15,16.97,18.10,17.62
1913,17.24,15.62,16.68,16.03,15.48,17.55,20.34,17.17,18.25,17.66
1914,17.32,15.72,16.81,16.03,15.54,17.64,20.52,17.31,18.36,17.71
1915,17.13,15.45,16.43,16.04,15.42,17.31,20.09,16.91,18.01,17.65
1916,17.10,15.42,16.46,15.98,15.32,17.29,20.16,16.93,18.04,17.58
1917,16.71,14.92,16.01,15.73,14.92,16.76,19.79,16.49,17.58,17.26
1918,16.94,15.25,16.10,16.02,15.28,17.09,19.59,16.52,17.71,17.56
1919,17.23,15.58,16.46,16.22,15.55,17.37,19.89,16.83,18.11,17.85
1920,17.24,15.55,16.52,16.22,15.54,17.40,20.15,16.97,18.12,17.77
1921,16.75,15.05,16.08,15.69,15.02,16.95,19.77,16.54,17.64,17.24
1922,17.34,15.69,16.85,16.04,15.49,17.55,20.58,17.31,18.45,17.76
1923,17.37,15.76,16.78,16.16,15.63,17.65,20.36,17.23,18.37,17.84
