Variable:,tasmax
,Bulgaria,Blagoevgrad,Burgas,Dobrich,Gabrovo,Haskovo,Jambol,Kardzhali,Kustendil,Lovech,Montana,Pazardzhik,Pernik,Pleven,Plovdiv,Razgrad,Ruse,Shumen,Silistra,Sliven,Smoljan,Sofia,Sofia-city,"Stara Zagora",Targovishte,Varna,"Veliko Tarnovo",Vidin,Vratca
1901,15.41,13.64,16.71,16.02,14.44,17.45,17.20,16.39,13.25,14.92,14.70,13.98,13.41,16.43,15.46,16.28,16.71,16.03,16.42,15.51,13.35,13.25,13.68,16.14,16.12,16.06,16.19,14.86,15.58
1902,14.82,13.25,16.00,15.08,13.89,16.96,16.58,15.91,12.86,14.39,14.20,13.53,13.00,15.83,14.99,15.45,15.88,15.22,15.59,14.87,12.91,12.80,13.24,15.62,15.27,15.22,15.49,14.39,15.05
1903,15.84,13.92,17.02,16.49,14.90,17.73,17.50,16.64,13.59,15.47,15.25,14.29,13.77,17.09,15.81,16.91,17.33,16.60,17.05,15.86,13.62,13.64,14.05,16.49,16.66,16.54,16.76,15.52,16.12
1904,15.30,13.64,16.34,15.54,14.36,17.29,16.92,16.24,13.33,14.95,14.83,13.95,13.50,16.46,15.40,16.08,16.53,15.79,16.19,15.26,13.29,13.28,13.75,16.00,15.90,15.71,16.09,15.12,15.63
1905,15.41,13.67,16.62,15.92,14.44,17.41,17.13,16.36,13.30,15.00,14.78,13.99,13.45,16.52,15.48,16.26,16.70,15.99,16.38,15.45,13.36,13.28,13.71,16.11,16.08,15.98,16.20,15.04,15.64
1906,15.59,13.76,16.80,16.23,14.59,17.54,17.31,16.47,13.41,15.17,14.97,14.10,13.59,16.73,15.59,16.56,16.98,16.29,16.68,15.62,13.46,13.41,13.84,16.24,16.37,16.27,16.44,15.21,15.82
1907,14.83,13.25,15.90,15.01,13.87,16.89,16.48,15.86,12.93,14.46,14.37,13.53,13.08,15.94,14.97,15.50,15.96,15.27,15.61,14.80,12.89,12.83,13.29,15.55,15.37,15.20,15.55,14.65,15.13
1908,14.72,13.10,15.88,14.99,13.70,16.78,16.47,15.73,12.72,14.30,14.18,13.40,12.88,15.80,14.84,15.43,15.88,15.18,15.53,14.75,12.76,12.66,13.11,15.42,15.28,15.16,15.42,14.46,14.97
1909,15.29,13.64,16.48,15.69,14.29,17.34,17.03,16.30,13.29,14.85,14.70,13.94,13.43,16.33,15.41,16.03,16.47,15.77,16.14,15.31,13.32,13.23,13.67,16.01,15.86,15.79,16.01,14.91,15.53
1910,15.92,14.15,17.01,16.36,14.95,17.83,17.53,16.79,13.83,15.61,15.43,14.49,14.00,17.21,15.94,16.81,17.27,16.52,16.90,15.87,13.81,13.82,14.25,16.54,16.65,16.52,16.78,15.77,16.27
1911,15.28,13.68,16.31,15.38,14.29,17.23,16.87,16.17,13.39,14.93,14.94,13.93,13.56,16.49,15.34,16.04,16.51,15.74,16.13,15.21,13.23,13.29,13.75,15.93,15.88,15.68,16.05,15.36,15.66
1912,14.70,13.16,15.83,14.99,13.73,16.77,16.42,15.76,12.78,14.29,14.14,13.45,12.92,15.72,14.89,15.31,15.77,15.07,15.42,14.72,12.80,12.71,13.16,15.44,15.16,15.15,15.35,14.40,14.95
1913,15.07,13.25,16.28,15.72,14.11,17.04,16.81,15.96,12.86,14.64,14.46,13.58,13.02,16.21,15.08,16.01,16.45,15.72,16.15,15.14,12.93,12.86,13.28,15.77,15.79,15.79,15.90,14.83,15.30
1914,14.77,13.11,15.90,15.20,13.81,16.82,16.50,15.80,12.73,14.34,14.19,13.41,12.88,15.85,14.86,15.52,15.99,15.26,15.63,14.80,12.77,12.68,13.08,15.51,15.41,15.31,15.53,14.41,15.01
1915,15.69,13.96,16.93,16.07,14.74,17.74,17.44,16.71,13.60,15.30,15.08,14.33,13.78,16.77,15.81,16.46,16.92,16.19,16.57,15.75,13.71,13.60,14.03,16.42,16.26,16.24,16.44,15.30,15.92
1916,16.14,14.50,17.25,16.23,15.20,18.22,17.90,17.19,14.18,15.75,15.66,14.80,14.36,17.25,16.27,16.81,17.33,16.57,16.87,16.19,14.17,14.11,14.58,16.90,16.69,16.47,16.90,15.90,16.42
1917,15.43,13.72,16.64,15.89,14.48,17.45,17.18,16.40,13.38,15.01,14.81,14.02,13.54,16.51,15.51,16.27,16.72,16.01,16.42,15.49,13.38,13.32,13.76,16.15,16.08,16.01,16.20,15.02,15.64
1918,15.52,13.77,16.73,15.96,14.56,17.55,17.27,16.50,13.41,15.10,14.92,14.12,13.60,16.62,15.59,16.37,16.81,16.09,16.51,15.57,13.50,13.41,13.85,16.23,16.15,16.07,16.29,15.12,15.77
1919,15.33,13.68,16.58,15.80,14.32,17.38,17.10,16.34,13.28,14.87,14.70,13.96,13.43,16.34,15.41,16.09,16.47,15.88,16.26,15.40,13.34,13.23,13.67,16.03,15.91,15.92,16.01,14.82,15.52
1920,14.99,13.40,16.06,15.23,14.01,16.97,16.66,15.94,13.10,14.55,14.56,13.61,13.26,16.13,15.05,15.74,16.21,15.47,15.88,15.00,12.95,12.94,13.39,15.68,15.57,15.41,15.75,14.95,15.29
1921,15.18,13.50,16.29,15.52,14.20,17.08,16.84,16.03,13.18,14.75,14.72,13.76,13.35,16.32,15.20,16.03,16.48,15.75,16.17,15.17,13.08,13.09,13.54,15.82,15.85,15.69,15.97,15.22,15.46
1922,15.00,13.45,16.26,15.26,14.06,17.17,16.82,16.16,13.04,14.51,14.27,13.73,13.17,15.91,15.19,15.62,16.05,15.39,15.72,15.11,13.13,12.97,13.42,15.82,15.48,15.42,15.65,14.46,15.18
1923,16.35,14.62,17.54,16.76,15.39,18.35,18.08,17.31,14.29,15.96,15.81,14.94,14.48,17.50,16.41,17.17,17.61,16.88,17.30,16.40,14.30,14.27,14.71,17.05,16.94,16.89,17.12,16.08,16.65
1924,14.88,13.34,16.05,15.10,13.89,16.95,16.62,15.95,12.95,14.45,14.35,13.63,13.11,15.88,15.07,15.48,15.94,15.25,15.60,14.91,13.00,12.90,13.35,15.63,15.34,15.26,15.52,14.58,15.14
1925,15.74,13.99,16.94,16.23,14.77,17.76,17.48,16.71,13.59,15.33,15.12,14.35,13.76,16.86,15.81,16.58,17.02,16.31,16.72,15.78,13.71,13.61,14.02,16.45,16.39,16.32,16.51,15.36,15.99
1926,15.94,14.42,16.98,16.05,14.94,17.99,17.58,17.01,14.10,15.59,15.53,14.70,14.30,17.06,16.11,16.51,17.01,16.25,16.62,15.88,14.06,14.02,14.49,16.62,16.35,16.28,16.59,15.84,16.29
1927,16.12,14.59,17.27,16.31,15.13,18.23,17.84,17.21,14.26,15.69,15.54,14.86,14.43,17.13,16.28,16.73,17.20,16.48,16.87,16.16,14.21,14.17,14.66,16.85,16.56,16.50,16.77,15.82,16.39
1928,15.30,13.83,16.45,15.38,14.26,17.42,16.99,16.42,13.49,14.85,14.84,14.07,13.69,16.26,15.47,15.83,16.26,15.61,15.94,15.30,13.43,13.39,13.88,16.00,15.68,15.65,15.87,15.16,15.56
1929,15.03,13.47,16.12,15.28,14.09,17.11,16.72,16.09,13.08,14.62,14.43,13.77,13.26,16.04,15.24,15.66,16.11,15.43,15.79,15.03,13.15,13.04,13.51,15.82,15.53,15.43,15.71,14.64,15.21
1930,16.31,14.61,17.40,16.61,15.42,18.34,17.98,17.28,14.21,15.96,15.71,14.98,14.42,17.47,16.46,17.09,17.54,16.81,17.16,16.38,14.33,14.26,14.71,17.08,16.95,16.73,17.13,15.91,16.61
1931,15.54,14.00,16.75,15.61,14.63,17.71,17.34,16.73,13.55,15.15,14.81,14.33,13.71,16.49,15.79,16.11,16.57,15.88,16.16,15.61,13.75,13.52,13.97,16.39,16.01,15.89,16.22,14.92,15.70
1932,15.72,14.12,16.96,15.89,14.76,17.88,17.53,16.86,13.68,15.29,15.04,14.47,13.81,16.71,15.92,16.37,16.81,16.15,16.40,15.81,13.89,13.66,14.07,16.51,16.28,16.16,16.42,15.16,15.92
1933,14.40,12.94,15.53,14.36,13.43,16.53,16.12,15.55,12.54,13.98,13.89,13.24,12.73,15.38,14.63,14.90,15.36,14.63,14.96,14.39,12.61,12.49,12.94,15.20,14.75,14.61,15.01,14.03,14.69
1934,16.74,15.13,17.83,16.81,15.83,18.76,18.43,17.72,14.70,16.40,16.20,15.47,14.90,17.87,16.96,17.42,17.88,17.13,17.48,16.77,14.83,14.72,15.11,17.53,17.31,17.04,17.49,16.49,17.05
1935,15.88,14.27,17.22,16.01,14.99,18.10,17.80,17.06,13.84,15.47,15.10,14.62,13.99,16.82,16.14,16.48,16.93,16.27,16.52,16.02,14.02,13.82,14.25,16.78,16.38,16.28,16.57,15.25,15.97
1936,16.15,14.45,17.44,16.43,15.26,18.35,18.04,17.25,13.98,15.75,15.28,14.82,14.08,17.18,16.38,16.91,17.35,16.67,16.99,16.32,14.22,13.99,14.39,17.03,16.80,16.65,16.95,15.44,16.24
1937,16.55,14.87,17.92,16.73,15.68,18.82,18.49,17.75,14.42,16.15,15.67,15.25,14.54,17.50,16.83,17.17,17.64,16.97,17.21,16.69,14.68,14.43,14.87,17.48,17.06,17.01,17.28,15.75,16.58
1938,15.92,14.13,17.19,16.31,15.02,18.03,17.74,16.97,13.72,15.54,15.18,14.50,13.88,17.03,16.09,16.71,17.17,16.47,16.85,16.05,13.89,13.74,14.15,16.73,16.59,16.47,16.72,15.37,16.09
1939,16.02,14.28,17.30,16.36,15.13,18.15,17.86,17.08,13.86,15.63,15.30,14.64,14.01,17.10,16.19,16.79,17.23,16.54,16.89,16.16,14.03,13.87,14.28,16.84,16.65,16.55,16.81,15.51,16.18
1940,14.09,12.47,15.59,14.49,13.06,16.51,16.10,15.53,12.03,13.54,13.14,12.75,12.13,14.86,14.27,14.67,15.07,14.60,14.78,14.26,12.28,11.94,12.42,14.94,14.52,14.74,14.65,13.21,14.04
1941,14.87,13.34,16.15,15.06,13.92,17.11,16.72,16.10,12.88,14.43,14.05,13.66,12.98,15.77,15.11,15.44,15.89,15.27,15.53,14.96,13.07,12.82,13.25,15.70,15.36,15.33,15.52,14.19,14.97
1942,14.70,13.21,15.84,14.69,13.75,16.90,16.43,15.92,12.80,14.30,14.08,13.49,12.95,15.70,14.94,15.26,15.74,15.05,15.24,14.74,12.89,12.73,13.17,15.47,15.19,14.97,15.39,14.25,14.90
1943,15.52,13.94,16.56,15.67,14.57,17.55,17.15,16.51,13.58,15.17,15.04,14.24,13.75,16.64,15.71,16.23,16.71,15.92,16.31,15.57,13.61,13.55,13.97,16.27,16.09,15.80,16.26,15.29,15.84
1944,15.29,13.59,16.59,15.71,14.31,17.40,17.14,16.34,13.19,14.85,14.64,13.92,13.37,16.34,15.40,16.08,16.51,15.76,16.14,15.36,13.31,13.18,13.62,16.03,15.83,15.86,16.00,14.85,15.48
1945,15.71,14.10,16.72,15.83,14.80,17.79,17.39,16.76,13.82,15.34,15.22,14.44,14.03,16.81,15.84,16.40,16.84,16.14,16.47,15.65,13.77,13.75,14.22,16.47,16.24,16.09,16.43,15.43,16.01
1946,16.28,14.56,17.41,16.63,15.34,18.26,17.99,17.20,14.31,15.90,15.80,14.84,14.51,17.47,16.36,17.07,17.51,16.76,17.17,16.29,14.20,14.23,14.75,17.01,16.90,16.73,17.05,16.12,16.64
1947,16.04,14.45,17.20,16.19,15.08,18.20,17.82,17.15,14.11,15.60,15.46,14.71,14.28,17.07,16.20,16.68,17.11,16.44,16.73,16.05,14.12,14.02,14.51,16.82,16.52,16.44,16.68,15.76,16.22
1948,15.41,13.65,16.45,15.77,14.42,17.32,17.04,16.26,13.43,15.08,15.10,13.92,13.71,16.69,15.41,16.23,16.71,15.91,16.37,15.38,13.27,13.40,13.95,16.05,16.03,15.82,16.22,15.44,15.87
1949,15.49,13.64,16.60,15.92,14.52,17.34,17.14,16.26,13.42,15.15,15.21,13.95,13.71,16.79,15.43,16.36,16.83,16.06,16.51,15.51,13.26,13.43,13.93,16.11,16.20,15.99,16.36,15.57,15.96
1950,16.83,15.21,17.82,16.93,15.92,18.90,18.53,17.86,14.88,16.49,16.37,15.52,15.06,17.96,17.00,17.48,17.95,17.18,17.48,16.90,14.87,14.84,15.30,17.62,17.38,17.15,17.58,16.60,17.13
1951,16.57,14.77,17.61,16.81,15.67,18.38,18.18,17.25,14.62,16.27,16.28,15.18,14.92,17.82,16.65,17.34,17.84,17.07,17.48,16.57,14.34,14.68,15.15,17.31,17.15,17.01,17.34,16.58,17.02
1952,16.70,15.12,17.81,16.71,15.75,18.74,18.41,17.77,14.75,16.36,16.23,15.47,14.97,17.82,16.92,17.27,17.82,17.02,17.30,16.73,14.82,14.77,15.21,17.46,17.26,16.98,17.45,16.43,17.02
1953,15.25,13.45,16.32,15.55,14.33,17.07,16.91,16.00,13.20,14.98,14.90,13.87,13.49,16.52,15.33,16.00,16.55,15.72,16.16,15.25,13.06,13.31,13.76,15.95,15.85,15.70,16.03,15.15,15.71
1954,15.08,13.35,16.40,15.47,14.08,17.25,16.99,16.25,12.84,14.59,14.37,13.70,13.03,16.12,15.23,15.85,16.33,15.58,15.97,15.20,13.22,12.91,13.35,15.88,15.68,15.60,15.86,14.60,15.24
1955,15.83,14.17,17.10,16.03,14.87,17.99,17.66,16.99,13.71,15.40,15.12,14.49,13.83,16.86,16.00,16.49,16.99,16.28,16.54,15.93,13.96,13.71,14.12,16.63,16.45,16.31,16.60,15.33,15.99
1956,14.74,13.26,15.91,14.86,13.74,16.85,16.44,15.91,12.78,14.31,14.16,13.49,12.93,15.77,14.90,15.34,15.86,15.10,15.41,14.74,12.93,12.73,13.15,15.46,15.27,15.10,15.43,14.41,14.96
1957,15.91,14.13,17.03,16.26,14.95,17.81,17.56,16.76,13.84,15.59,15.47,14.51,14.08,17.16,15.99,16.73,17.22,16.42,16.88,15.90,13.76,13.90,14.35,16.60,16.50,16.40,16.68,15.72,16.30
1958,16.13,14.40,17.27,16.29,15.21,18.13,17.83,17.09,14.10,15.83,15.68,14.77,14.28,17.37,16.26,16.84,17.37,16.56,16.91,16.15,14.09,14.14,14.59,16.88,16.74,16.52,16.92,15.87,16.51
1959,15.18,13.38,16.37,15.51,14.24,17.15,16.92,16.06,13.08,14.83,14.70,13.70,13.25,16.45,15.20,15.98,16.55,15.66,16.12,15.21,13.03,13.10,13.54,15.89,15.80,15.63,15.99,14.95,15.56
1960,16.20,14.48,17.44,16.57,15.27,18.29,17.99,17.21,14.03,15.77,15.57,14.76,14.19,17.35,16.25,17.00,17.48,16.74,17.14,16.28,14.18,14.03,14.48,16.98,16.80,16.75,16.99,15.77,16.45
1961,16.10,14.63,17.25,16.33,15.12,18.14,17.79,17.17,14.23,15.67,15.50,14.86,14.35,17.07,16.27,16.71,17.11,16.53,16.79,16.12,14.21,14.15,14.60,16.79,16.64,16.54,16.80,15.83,16.23
1962,15.81,14.30,17.21,16.12,14.81,18.12,17.78,17.13,13.71,15.25,14.91,14.53,13.71,16.63,15.98,16.46,16.80,16.32,16.50,15.94,14.12,13.66,14.10,16.61,16.42,16.36,16.54,14.97,15.74
