Variable:,tasmax
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1901,29.23,28.85,30.25,29.45,28.79,28.16,28.21,30.66,27.70,27.20,27.47
1902,29.25,28.99,30.53,29.41,28.62,28.17,28.17,30.76,27.94,27.17,27.38
1903,29.38,29.18,30.68,29.54,28.70,28.32,28.33,30.87,28.13,27.32,27.52
1904,28.84,28.41,29.71,29.11,28.48,27.84,27.87,30.22,27.27,26.91,27.15
1905,29.38,29.11,30.50,29.56,28.87,28.31,28.35,30.77,28.04,27.32,27.58
1906,28.82,28.44,29.80,29.08,28.40,27.80,27.82,30.23,27.34,26.82,27.05
1907,28.59,28.16,29.49,28.88,28.24,27.56,27.59,29.97,27.05,26.58,26.81
1908,29.21,28.92,30.30,29.41,28.70,28.14,28.18,30.62,27.83,27.14,27.39
1909,28.99,28.64,29.96,29.21,28.64,27.94,27.98,30.33,27.54,26.97,27.21
1910,28.73,28.24,29.59,29.03,28.48,27.66,27.71,30.09,27.05,26.66,26.93
1911,28.84,28.36,29.60,29.13,28.65,27.81,27.86,30.13,27.17,26.84,27.13
1912,29.38,29.07,30.41,29.57,28.99,28.37,28.38,30.72,27.91,27.37,27.63
1913,29.51,29.25,30.63,29.65,29.04,28.50,28.50,30.87,28.12,27.53,27.77
1914,29.67,29.48,30.90,29.78,29.17,28.66,28.64,31.02,28.37,27.65,27.90
1915,29.28,29.02,30.41,29.44,28.88,28.28,28.26,30.60,27.92,27.26,27.50
1916,29.37,29.12,30.52,29.51,28.91,28.35,28.33,30.72,28.01,27.34,27.56
1917,29.08,28.79,30.45,29.25,28.49,27.93,27.95,30.62,27.70,26.89,27.11
1918,28.70,28.31,29.37,28.96,28.59,27.84,27.84,29.77,27.17,26.88,27.12
1919,29.11,28.69,29.74,29.36,29.04,28.21,28.25,30.17,27.50,27.29,27.57
1920,29.33,29.06,30.32,29.48,28.98,28.35,28.33,30.61,27.97,27.37,27.59
1921,28.98,28.68,30.06,29.18,28.51,27.95,27.94,30.38,27.59,26.92,27.14
1922,29.87,29.62,31.02,30.00,29.39,28.77,28.82,31.29,28.51,27.81,28.07
1923,29.60,29.33,30.60,29.74,29.22,28.59,28.59,30.90,28.22,27.64,27.88
1924,28.98,28.60,29.90,29.23,28.67,27.99,28.02,30.28,27.45,27.00,27.25
1925,28.79,28.38,29.49,29.03,28.70,28.03,28.00,29.80,27.25,27.09,27.30
1926,29.14,28.77,29.88,29.37,28.99,28.33,28.32,30.21,27.62,27.39,27.62
1927,29.32,28.91,29.85,29.54,29.32,28.45,28.47,30.36,27.72,27.55,27.84
1928,29.66,29.29,30.56,29.89,29.32,28.58,28.65,31.01,28.12,27.62,27.92
1929,29.35,28.88,30.04,29.62,29.26,28.42,28.50,30.49,27.70,27.50,27.81
1930,29.11,28.68,29.87,29.36,28.99,28.12,28.19,30.27,27.51,27.19,27.48
1931,29.94,29.68,31.09,30.05,29.52,28.77,28.83,31.33,28.59,27.83,28.12
1932,29.71,29.38,30.45,29.88,29.56,28.75,28.78,30.86,28.20,27.86,28.15
1933,29.57,29.05,29.93,29.86,29.68,28.72,28.78,30.59,27.77,27.86,28.18
1934,29.47,29.09,29.96,29.69,29.37,28.79,28.73,30.49,27.88,27.84,28.08
1935,29.03,28.64,29.76,29.28,28.80,28.03,28.12,30.23,27.46,27.10,27.42
1936,29.15,28.74,29.75,29.40,29.07,28.19,28.29,30.22,27.58,27.30,27.64
1937,29.25,28.91,29.88,29.44,29.20,28.40,28.40,30.25,27.75,27.52,27.79
1938,29.43,29.12,30.03,29.63,29.23,28.65,28.61,30.52,27.92,27.72,27.95
1939,28.68,28.07,28.81,29.06,28.86,27.89,27.97,29.64,26.78,27.06,27.36
1940,29.54,29.18,29.88,29.78,29.31,29.06,28.87,30.59,27.97,28.13,28.24
1941,30.09,29.71,30.41,30.22,30.09,29.61,29.41,31.04,28.51,28.69,28.92
1942,29.85,29.45,30.54,30.10,29.65,28.76,28.81,31.14,28.27,27.79,28.11
1943,29.09,28.75,29.72,29.44,28.74,28.00,28.07,30.38,27.60,26.93,27.28
1944,29.79,29.44,30.12,29.95,29.82,29.06,28.97,30.76,28.32,28.17,28.45
1945,29.73,29.15,29.80,29.95,30.09,28.99,29.03,30.60,27.89,28.22,28.60
1946,29.97,29.61,30.25,30.09,30.00,29.34,29.26,30.90,28.41,28.50,28.74
1947,29.99,29.72,30.50,30.13,29.88,29.15,29.13,31.01,28.57,28.22,28.52
1948,29.45,29.13,29.69,29.66,29.43,28.87,28.79,30.30,27.99,27.96,28.23
1949,30.00,29.67,30.65,30.08,29.90,29.29,29.28,31.05,28.49,28.45,28.73
1950,29.63,29.51,30.24,29.75,29.17,29.04,28.93,30.70,28.39,28.10,28.24
1951,29.33,28.92,29.80,29.48,29.31,28.56,28.56,30.37,27.70,27.77,28.07
1952,29.63,29.19,30.10,29.78,29.60,28.90,28.89,30.68,27.89,28.11,28.39
1953,28.93,28.42,29.28,29.20,28.98,28.23,28.26,29.87,27.19,27.42,27.72
1954,29.24,29.01,29.95,29.35,28.89,28.53,28.44,30.38,27.92,27.64,27.76
1955,28.72,28.48,29.58,28.97,28.20,27.70,27.71,30.04,27.38,26.70,26.92
1956,29.14,28.91,29.55,29.34,28.86,28.49,28.43,30.12,27.72,27.58,27.76
1957,29.92,29.82,30.86,29.96,29.41,29.02,28.93,31.20,28.79,28.02,28.20
1958,29.64,29.28,30.05,29.81,29.63,28.97,28.91,30.58,28.10,28.15,28.39
1959,29.81,29.63,30.70,29.89,29.33,28.93,28.90,31.09,28.52,28.02,28.21
1960,29.47,29.21,30.33,29.58,29.24,28.46,28.35,30.73,28.12,27.45,27.67
1961,29.14,28.86,29.66,29.37,28.95,28.33,28.24,30.22,27.70,27.37,27.55
1962,29.82,29.54,29.92,30.00,29.91,29.35,29.30,30.48,28.38,28.40,28.65
1963,29.06,28.74,29.49,29.28,28.95,28.37,28.33,30.02,27.59,27.44,27.59
1964,29.52,29.11,30.21,29.66,29.46,28.66,28.70,30.61,27.90,27.78,28.10
1965,29.65,29.36,30.23,29.76,29.46,29.06,28.97,30.68,28.15,28.13,28.31
1966,29.65,29.27,30.22,29.84,29.59,28.94,28.88,30.65,28.02,28.02,28.23
1967,28.73,28.40,29.69,28.99,28.46,27.56,27.54,30.03,27.25,26.59,26.86
1968,29.23,29.02,30.52,29.34,28.69,28.12,28.11,30.66,27.93,27.26,27.45
1969,29.40,28.93,29.68,29.71,29.59,28.49,28.61,30.24,27.75,27.74,28.07
1970,30.17,30.03,31.02,30.24,29.74,29.47,29.42,31.26,28.95,28.66,28.77
1971,29.27,28.97,30.23,29.46,28.95,28.16,28.22,30.55,27.95,27.36,27.58
1972,29.45,28.97,30.06,29.67,29.44,28.83,28.79,30.46,27.76,27.98,28.11
1973,29.46,29.06,30.34,29.64,29.22,28.45,28.50,30.77,27.88,27.59,27.83
1974,28.41,28.12,29.02,28.71,28.05,27.49,27.53,29.58,26.98,26.62,26.81
1975,28.94,28.54,29.70,29.17,28.83,27.79,27.87,30.15,27.45,26.93,27.22
1976,28.35,28.09,29.04,28.63,28.02,27.44,27.36,29.49,26.98,26.43,26.62
1977,29.52,29.18,30.28,29.69,29.35,28.57,28.59,30.68,28.09,27.67,27.99
1978,29.09,28.58,29.15,29.44,29.34,28.30,28.40,29.87,27.43,27.42,27.83
1979,29.62,29.23,30.00,29.87,29.65,28.78,28.86,30.54,28.13,27.91,28.26
1980,29.30,28.79,29.78,29.55,29.50,28.18,28.32,30.33,27.73,27.42,27.83
1981,29.12,28.63,29.71,29.36,29.11,27.93,28.03,30.34,27.48,27.14,27.49
1982,29.87,29.55,30.48,29.96,29.79,28.91,28.97,30.94,28.53,28.10,28.42
1983,30.45,30.18,31.22,30.49,30.27,29.63,29.73,31.51,29.03,28.88,29.18
1984,30.12,29.58,30.59,30.33,30.23,29.32,29.44,31.13,28.27,28.58,28.92
1985,29.91,29.44,30.26,30.15,29.87,29.31,29.31,30.88,28.18,28.44,28.71
1986,29.80,29.54,30.07,29.96,29.76,29.19,29.17,30.60,28.42,28.32,28.58
1987,30.40,30.12,31.56,30.44,30.06,29.24,29.29,31.79,29.09,28.36,28.76
1988,29.47,29.17,30.40,29.67,28.99,28.63,28.56,30.80,28.10,27.66,27.82
1989,29.46,29.14,30.34,29.63,29.24,28.35,28.37,30.69,27.94,27.35,27.75
1990,30.03,29.68,30.95,30.15,29.80,29.00,29.10,31.25,28.54,28.17,28.52
1991,29.73,29.57,30.66,29.82,29.32,28.73,28.73,30.97,28.61,27.80,28.06
1992,30.87,30.63,31.60,30.89,30.64,30.23,30.23,31.89,29.51,29.41,29.67
1993,29.98,29.63,30.39,30.15,29.87,29.23,29.32,30.98,28.45,28.49,28.70
1994,29.76,29.43,30.82,29.91,29.47,28.60,28.76,31.01,28.43,27.95,28.23
1995,30.12,29.89,31.25,30.24,29.63,28.93,28.99,31.53,28.96,28.10,28.38
1996,29.43,29.08,30.59,29.69,28.82,28.02,28.12,31.07,28.09,27.19,27.51
1997,29.68,29.41,30.64,29.85,29.25,28.31,28.43,31.14,28.52,27.48,27.84
1998,30.51,30.28,31.27,30.66,30.10,29.59,29.65,31.70,29.31,28.78,29.08
1999,30.18,29.83,30.51,30.40,30.04,29.22,29.36,31.25,28.71,28.49,28.93
2000,29.24,28.85,29.90,29.53,29.12,27.81,27.96,30.56,27.77,26.84,27.27
2001,29.84,29.54,30.67,30.06,29.49,28.74,28.75,31.19,28.45,27.71,28.03
2002,30.22,30.05,31.11,30.28,29.81,29.46,29.40,31.35,29.05,28.52,28.75
2003,30.51,30.29,31.14,30.52,30.22,30.05,29.88,31.56,29.18,29.16,29.28
2004,30.43,30.16,31.11,30.54,30.26,29.73,29.70,31.40,29.01,28.88,29.08
2005,30.95,30.89,32.20,30.83,30.42,30.26,30.01,32.23,29.85,29.25,29.35
2006,29.79,29.50,30.42,29.98,29.72,28.88,28.95,30.73,28.42,28.03,28.38
2007,30.26,30.17,30.92,30.31,30.17,29.70,29.54,30.94,29.14,28.77,29.00
2008,30.41,30.32,31.08,30.51,30.24,29.84,29.70,31.16,29.27,28.89,29.10
2009,30.44,30.26,31.11,30.62,30.10,29.68,29.61,31.49,29.14,28.65,28.89
2010,30.55,30.30,31.19,30.57,30.57,29.85,29.73,31.47,29.26,28.98,29.23
2011,30.07,29.91,30.73,30.09,29.98,29.32,29.20,31.01,28.93,28.38,28.65
2012,30.46,30.43,31.02,30.39,30.33,30.02,29.73,31.24,29.52,29.03,29.19
2013,30.28,30.00,30.57,30.31,30.45,29.81,29.62,31.00,28.97,28.96,29.19
2014,30.24,29.92,30.62,30.35,30.36,29.68,29.50,31.07,28.82,28.78,29.00
2015,31.10,30.99,31.75,31.00,31.10,30.61,30.31,31.89,29.94,29.71,29.84
