Variable:,tasmax
,"Central African Republic",Bamingui-Bangoran,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga,Bangui
1901,31.32,32.99,31.03,30.86,31.13,31.55,30.19,29.65,30.65,32.54,29.31,30.74,31.48,32.19,30.36,29.41,33.85,30.79
1902,31.37,32.99,31.03,30.86,31.13,31.56,30.28,29.83,30.65,32.54,29.52,30.82,31.48,32.25,30.53,29.56,33.85,30.83
1903,31.38,32.99,31.03,30.86,31.13,31.56,30.31,29.90,30.65,32.54,29.58,30.84,31.48,32.26,30.56,29.64,33.85,30.83
1904,31.34,32.99,31.03,30.86,31.13,31.56,30.23,29.73,30.65,32.54,29.34,30.80,31.48,32.22,30.37,29.48,33.85,30.81
1905,31.43,32.99,31.03,30.86,31.13,31.56,30.35,30.04,30.65,32.54,29.97,30.87,31.48,32.35,30.94,29.71,33.85,30.85
1906,31.41,32.99,31.03,30.86,31.13,31.56,30.33,29.98,30.65,32.54,29.77,30.86,31.48,32.31,30.76,29.68,33.85,30.84
1907,31.36,32.99,31.03,30.86,31.13,31.56,30.35,29.91,30.65,32.54,29.43,30.85,31.48,32.22,30.36,29.70,33.85,30.85
1908,31.39,32.99,31.03,30.86,31.13,31.56,30.23,29.81,30.65,32.54,29.71,30.81,31.48,32.32,30.79,29.47,33.85,30.81
1909,31.40,32.99,31.03,30.86,31.13,31.56,30.39,30.04,30.65,32.54,29.71,30.88,31.48,32.27,30.62,29.78,33.85,30.87
1910,31.24,32.98,31.03,30.64,31.02,31.55,30.21,29.61,30.62,32.54,29.08,30.77,31.48,32.16,30.16,29.42,33.62,30.79
1911,31.29,32.98,31.03,30.69,31.05,31.56,30.33,29.82,30.63,32.54,29.22,30.83,31.48,32.17,30.21,29.67,33.68,30.84
1912,31.29,32.98,31.03,30.64,31.02,31.55,30.34,29.88,30.62,32.54,29.31,30.83,31.48,32.18,30.28,29.71,33.63,30.85
1913,31.27,32.97,31.03,30.58,30.99,31.56,30.24,29.73,30.61,32.54,29.39,30.80,31.48,32.24,30.48,29.47,33.56,30.82
1914,31.37,32.99,31.03,30.87,31.14,31.56,30.35,29.92,30.65,32.54,29.43,30.85,31.48,32.22,30.41,29.72,33.86,30.86
1915,31.34,32.99,31.03,30.81,31.11,31.56,30.31,29.85,30.65,32.54,29.42,30.83,31.48,32.22,30.41,29.62,33.80,30.83
1916,31.27,32.97,31.03,30.53,30.96,31.56,30.31,29.85,30.60,32.54,29.41,30.83,31.48,32.23,30.43,29.62,33.51,30.83
1917,31.28,32.97,31.03,30.53,30.96,31.56,30.31,29.86,30.60,32.54,29.49,30.83,31.48,32.24,30.52,29.62,33.51,30.83
1918,31.45,33.29,31.07,30.86,31.33,31.59,30.31,29.81,30.76,32.65,29.28,30.82,31.60,32.22,30.29,29.62,34.14,30.83
1919,31.61,33.46,31.10,31.19,31.62,31.60,30.31,29.85,30.87,32.71,29.42,30.83,31.66,32.27,30.46,29.62,34.67,30.83
1920,31.09,32.52,30.97,30.36,30.55,31.52,30.31,29.89,30.40,32.37,29.58,30.83,31.31,32.22,30.59,29.62,33.00,30.83
1921,31.33,32.91,31.01,30.72,31.01,31.55,30.31,29.89,30.59,32.51,29.57,30.83,31.44,32.25,30.56,29.62,33.86,30.83
1922,31.14,32.48,30.95,30.53,30.63,31.51,30.31,29.89,30.41,32.34,29.58,30.83,31.28,32.21,30.61,29.62,33.32,30.83
1923,31.30,32.84,31.01,30.74,30.96,31.55,30.31,29.89,30.58,32.48,29.59,30.83,31.42,32.25,30.62,29.62,33.65,30.83
1924,31.52,33.25,31.07,31.03,31.40,31.58,30.31,29.89,30.76,32.64,29.59,30.83,31.57,32.29,30.60,29.62,34.34,30.83
1925,31.43,33.16,31.05,30.92,31.29,31.57,30.31,29.81,30.72,32.60,29.28,30.82,31.55,32.21,30.29,29.62,34.25,30.83
