Variable:,tasmax
,"Cocos (Keeling) Islands","Administrative unit not available"
1901,28.92,28.92
1902,28.92,28.92
1903,28.92,28.92
1904,28.92,28.92
1905,28.92,28.92
1906,28.92,28.92
1907,28.92,28.92
1908,28.92,28.92
1909,28.92,28.92
1910,28.79,28.79
1911,28.82,28.82
1912,28.78,28.78
1913,28.93,28.93
1914,28.99,28.99
1915,29.02,29.02
1916,28.82,28.82
1917,28.92,28.92
1918,29.04,29.04
1919,28.80,28.80
1920,28.75,28.75
1921,28.73,28.73
1922,28.79,28.79
1923,28.70,28.70
1924,28.73,28.73
1925,28.68,28.68
1926,28.76,28.76
1927,28.75,28.75
1928,28.84,28.84
1929,29.05,29.05
1930,28.96,28.96
1931,28.91,28.91
1932,28.92,28.92
1933,28.92,28.92
1934,28.88,28.88
1935,28.92,28.92
1936,28.92,28.92
1937,28.92,28.92
1938,28.92,28.92
1939,28.92,28.92
1940,28.92,28.92
1941,28.92,28.92
1942,28.92,28.92
1943,28.92,28.92
1944,28.92,28.92
1945,28.92,28.92
1946,28.92,28.92
1947,28.92,28.92
1948,28.92,28.92
1949,29.16,29.16
1950,28.85,28.85
1951,28.78,28.78
1952,29.43,29.43
1953,29.40,29.40
1954,29.14,29.14
1955,28.86,28.86
1956,28.78,28.78
1957,29.36,29.36
1958,29.72,29.72
1959,29.35,29.35
1960,28.68,28.68
1961,28.96,28.96
1962,28.88,28.88
1963,28.82,28.82
1964,28.81,28.81
1965,28.75,28.75
1966,28.81,28.81
1967,29.13,29.13
1968,28.43,28.43
1969,29.20,29.20
1970,28.93,28.93
1971,28.88,28.88
1972,29.13,29.13
1973,29.13,29.13
1974,28.69,28.69
1975,28.73,28.73
1976,29.03,29.03
1977,29.28,29.28
1978,28.83,28.83
1979,29.29,29.29
1980,28.98,28.98
1981,28.81,28.81
1982,28.74,28.74
1983,29.54,29.54
1984,29.20,29.20
1985,29.12,29.12
1986,28.43,28.43
1987,29.17,29.17
1988,28.97,28.97
1989,28.97,28.97
1990,28.90,28.90
1991,28.93,28.93
1992,28.69,28.69
1993,28.81,28.81
1994,28.76,28.76
1995,28.98,28.98
1996,29.18,29.18
1997,28.92,28.92
1998,29.58,29.58
1999,29.34,29.34
2000,28.76,28.76
2001,28.87,28.87
2002,29.34,29.34
2003,29.19,29.19
2004,29.11,29.11
2005,28.99,28.99
2006,28.90,28.90
2007,29.03,29.03
2008,28.90,28.90
2009,29.08,29.08
2010,29.28,29.28
2011,29.21,29.21
2012,29.37,29.37
2013,29.33,29.33
2014,29.53,29.53
2015,29.66,29.66
2016,29.50,29.50
2017,29.16,29.16
2018,29.23,29.23
2019,29.31,29.31
2020,29.36,29.36
