Variable:,tasmax
,Switzerland,Aargau,"Appenzell Ausser-rhoden","Appenzell Inner-rhoden",Basel-landschaft,Basel-stadt,Bern,Fribourg,Geneve,Glarus,Graubunden,Jura,Luzern,Neuchatel,Nidwalden,Obwalden,"Sankt Gallen",Schaffhausen,Schwyz,Solothurn,Thurgau,Ticino,Uri,Valais,Vaud,Zug,Zurich
1901,7.44,11.32,9.72,9.88,11.94,11.32,8.55,9.83,12.54,6.40,2.84,11.63,10.23,11.00,4.89,4.81,9.23,11.46,8.97,12.04,11.71,6.66,3.69,3.64,9.71,11.06,11.13
1902,7.70,11.55,9.94,10.10,12.16,11.45,8.81,10.06,12.90,6.66,3.09,11.83,10.49,11.19,5.18,5.10,9.46,11.69,9.23,12.28,11.89,6.92,3.98,3.94,9.94,11.30,11.37
1903,8.01,11.88,10.33,10.48,12.51,11.80,9.11,10.37,13.05,7.01,3.45,12.11,10.83,11.48,5.52,5.45,9.85,12.03,9.57,12.61,12.36,7.19,4.30,4.20,10.21,11.66,11.73
1904,8.62,12.49,10.89,11.05,13.10,12.36,9.74,11.01,13.73,7.58,4.01,12.73,11.44,12.13,6.13,6.05,10.41,12.57,10.15,13.22,12.87,7.83,4.91,4.85,10.87,12.24,12.29
1905,7.82,11.70,10.06,10.21,12.30,11.66,8.93,10.18,12.94,6.77,3.21,11.98,10.62,11.35,5.31,5.23,9.58,11.84,9.35,12.40,12.04,7.05,4.09,4.06,10.08,11.43,11.50
1906,8.16,12.01,10.38,10.55,12.64,11.86,9.30,10.57,13.31,7.11,3.52,12.33,10.98,11.70,5.66,5.58,9.91,12.06,9.68,12.78,12.32,7.38,4.44,4.40,10.44,11.76,11.80
1907,8.03,11.88,10.29,10.45,12.53,11.86,9.15,10.43,13.08,7.00,3.44,12.24,10.83,11.61,5.52,5.44,9.81,11.94,9.56,12.65,12.21,7.24,4.31,4.23,10.29,11.64,11.69
1908,7.70,11.53,9.97,10.14,12.14,11.47,8.80,10.05,12.90,6.70,3.13,11.89,10.49,11.26,5.20,5.12,9.50,11.51,9.24,12.27,11.81,6.95,4.01,3.94,9.98,11.31,11.33
1909,7.43,11.26,9.63,9.80,11.92,11.27,8.55,9.83,12.55,6.38,2.83,11.71,10.21,11.06,4.90,4.83,9.16,11.27,8.93,12.05,11.53,6.67,3.68,3.66,9.73,11.01,11.05
1910,7.87,11.72,10.14,10.30,12.36,11.84,8.98,10.24,12.86,6.84,3.28,12.20,10.64,11.55,5.34,5.26,9.66,11.78,9.38,12.47,12.06,7.10,4.12,4.06,10.16,11.46,11.51
1911,9.01,12.92,11.22,11.38,13.59,13.15,10.16,11.46,14.09,7.93,4.34,13.43,11.82,12.78,6.49,6.41,10.73,12.97,10.48,13.69,13.20,8.14,5.31,5.18,11.37,12.57,12.63
1912,7.75,11.62,9.97,10.13,12.31,11.79,8.90,10.21,12.89,6.67,3.06,12.12,10.53,11.48,5.21,5.14,9.49,11.73,9.24,12.41,11.96,6.91,3.99,3.97,10.12,11.32,11.39
1913,8.17,12.03,10.39,10.55,12.71,12.25,9.31,10.60,13.29,7.09,3.48,12.57,10.95,11.90,5.66,5.58,9.91,12.11,9.65,12.82,12.38,7.33,4.44,4.38,10.54,11.73,11.79
1914,7.89,11.72,10.14,10.30,12.42,11.90,9.01,10.31,12.94,6.84,3.26,12.26,10.65,11.62,5.36,5.28,9.66,11.80,9.39,12.53,12.07,7.07,4.17,4.08,10.23,11.45,11.51
1915,7.82,11.67,10.00,10.16,12.36,11.87,8.97,10.27,12.86,6.71,3.15,12.27,10.59,11.60,5.29,5.22,9.52,11.71,9.27,12.49,11.94,7.03,4.07,4.05,10.18,11.35,11.40
1916,8.15,11.97,10.47,10.62,12.59,12.16,9.24,10.48,13.14,7.14,3.57,12.48,10.88,11.81,5.63,5.56,9.98,12.14,9.67,12.70,12.44,7.37,4.40,4.33,10.42,11.74,11.82
1917,7.35,11.18,9.60,9.76,11.80,11.27,8.45,9.69,12.33,6.32,2.76,11.64,10.12,10.99,4.84,4.76,9.13,11.28,8.87,11.92,11.58,6.58,3.64,3.57,9.61,10.94,11.00
1918,8.18,12.07,10.46,10.61,12.70,12.33,9.31,10.56,13.26,7.13,3.52,12.56,10.97,11.90,5.66,5.58,9.98,12.21,9.72,12.79,12.53,7.32,4.45,4.36,10.52,11.80,11.88
1919,7.68,11.55,9.76,9.93,12.28,11.71,8.88,10.21,12.82,6.53,2.93,12.17,10.50,11.53,5.15,5.07,9.29,11.51,9.13,12.42,11.70,6.84,3.94,3.90,10.13,11.22,11.25
1920,8.88,12.74,11.05,11.21,13.44,12.95,10.04,11.35,14.02,7.77,4.21,13.29,11.66,12.65,6.32,6.24,10.57,12.79,10.34,13.55,13.04,8.03,5.11,5.10,11.28,12.42,12.48
1921,9.42,13.29,11.61,11.77,13.99,13.53,10.56,11.84,14.60,8.33,4.73,13.65,12.22,13.09,6.92,6.85,11.13,13.32,10.91,14.03,13.59,8.60,5.70,5.70,11.73,12.99,13.04
1922,7.61,11.42,9.76,9.92,12.02,11.50,8.75,10.03,12.83,6.51,2.94,11.80,10.38,11.20,5.11,5.04,9.29,11.40,9.10,12.12,11.71,6.84,3.90,3.95,9.91,11.18,11.20
1923,8.55,12.35,10.73,10.89,12.97,12.35,9.69,10.96,13.76,7.47,3.90,12.69,11.32,12.10,6.05,5.98,10.26,12.40,10.05,13.08,12.67,7.79,4.84,4.87,10.82,12.12,12.16
1924,7.86,11.62,10.03,10.19,12.26,11.69,9.01,10.31,13.14,6.77,3.21,12.07,10.59,11.48,5.35,5.28,9.55,11.53,9.30,12.38,11.85,7.09,4.11,4.24,10.19,11.36,11.37
1925,7.93,11.74,10.13,10.29,12.40,11.91,9.07,10.35,13.22,6.84,3.28,12.12,10.69,11.56,5.41,5.33,9.65,11.81,9.40,12.46,12.09,7.15,4.20,4.26,10.24,11.47,11.53
1926,8.71,12.50,10.89,11.05,13.14,12.59,9.86,11.16,14.00,7.61,4.03,12.90,11.45,12.34,6.19,6.12,10.42,12.62,10.17,13.23,12.89,7.90,4.93,5.05,11.05,12.24,12.31
1927,8.57,12.30,10.80,10.96,12.89,12.23,9.68,10.95,13.76,7.53,4.01,12.68,11.29,12.07,6.03,5.95,10.32,12.31,10.06,13.03,12.64,7.83,4.85,4.91,10.83,12.11,12.13
1928,9.05,12.86,11.21,11.37,13.48,12.86,10.24,11.56,14.28,7.91,4.34,13.33,11.82,12.70,6.52,6.44,10.73,12.91,10.49,13.62,13.18,8.23,5.30,5.38,11.42,12.56,12.61
1929,8.48,12.33,10.69,10.85,12.98,12.36,9.61,10.88,13.66,7.43,3.85,12.64,11.28,12.04,6.00,5.93,10.22,12.32,9.97,13.07,12.60,7.72,4.79,4.77,10.76,12.04,12.08
1930,8.82,12.71,11.13,11.29,13.29,12.68,9.89,11.12,13.93,7.82,4.26,12.89,11.63,12.27,6.34,6.26,10.65,12.79,10.38,13.36,13.09,8.07,5.13,5.03,10.99,12.45,12.51
1931,7.84,11.67,10.03,10.20,12.32,11.65,8.95,10.20,13.02,6.76,3.24,11.95,10.64,11.34,5.36,5.28,9.55,11.60,9.33,12.42,11.88,7.13,4.14,4.14,10.10,11.40,11.41
1932,8.25,12.13,10.56,10.72,12.71,12.12,9.30,10.55,13.31,7.27,3.76,12.31,11.05,11.71,5.79,5.72,10.08,12.23,9.82,12.77,12.50,7.52,4.57,4.45,10.40,11.90,11.96
1933,7.86,11.74,9.97,10.14,12.40,11.85,9.04,10.34,13.15,6.72,3.15,12.13,10.69,11.54,5.35,5.28,9.50,11.64,9.29,12.49,11.86,7.08,4.12,4.18,10.22,11.39,11.41
1934,9.29,13.19,11.65,11.81,13.79,13.27,10.35,11.61,14.38,8.32,4.76,13.41,12.10,12.81,6.82,6.75,11.16,13.29,10.84,13.84,13.59,8.52,5.61,5.47,11.48,12.92,12.98
1935,8.42,12.29,10.61,10.77,12.89,12.22,9.56,10.83,13.61,7.35,3.77,12.55,11.26,11.95,5.96,5.88,10.14,12.30,9.95,12.99,12.58,7.67,4.74,4.71,10.68,12.03,12.06
1936,8.42,12.26,10.64,10.80,12.85,12.16,9.53,10.81,13.63,7.36,3.81,12.53,11.22,11.92,5.92,5.84,10.17,12.30,9.94,12.97,12.57,7.65,4.70,4.70,10.68,12.02,12.06
1937,8.81,12.71,10.97,11.13,13.36,12.71,10.00,11.29,14.06,7.68,4.07,13.09,11.65,12.47,6.30,6.22,10.49,12.76,10.29,13.48,12.99,7.96,5.08,5.09,11.16,12.39,12.44
1938,8.61,12.55,10.84,11.00,13.19,12.57,9.75,11.01,13.68,7.56,3.95,12.79,11.48,12.17,6.16,6.08,10.37,12.61,10.16,13.26,12.86,7.80,4.94,4.82,10.86,12.25,12.30
1939,7.98,11.90,10.23,10.39,12.54,11.91,9.10,10.35,13.03,6.94,3.37,12.13,10.83,11.52,5.51,5.43,9.75,12.00,9.53,12.62,12.23,7.21,4.29,4.17,10.19,11.61,11.68
1940,7.46,11.35,9.63,9.79,11.97,11.29,8.62,9.88,12.56,6.36,2.80,11.62,10.31,11.01,5.01,4.93,9.15,11.34,8.96,12.08,11.59,6.68,3.79,3.72,9.71,11.05,11.08
1941,7.66,11.52,9.90,10.06,12.13,11.50,8.78,10.04,12.75,6.60,3.04,11.79,10.45,11.20,5.16,5.08,9.42,11.62,9.19,12.22,11.88,6.93,3.94,3.89,9.88,11.26,11.32
