Variable:,tasmax
,Cameroon,Adamaoua,Centre,Est,"Extrême - Nord",Littoral,Nord,"Nord - Ouest",Ouest,Sud,"Sud - Ouest"
1901,29.73,28.84,28.95,29.08,34.69,29.48,32.37,27.50,27.05,28.35,28.97
1902,29.97,29.12,29.22,29.31,34.77,29.75,32.60,27.79,27.31,28.61,29.24
1903,30.06,29.18,29.34,29.42,34.77,29.88,32.62,27.89,27.43,28.75,29.36
1904,29.74,28.81,28.97,29.13,34.56,29.55,32.32,27.49,27.04,28.45,29.03
1905,30.52,29.93,29.76,29.67,35.42,30.13,33.38,28.52,27.95,28.88,29.67
1906,30.30,29.58,29.57,29.56,35.11,30.02,33.03,28.23,27.72,28.82,29.54
1907,29.90,28.81,29.26,29.42,34.36,29.92,32.17,27.63,27.27,28.87,29.34
1908,30.17,29.60,29.33,29.31,35.32,29.69,33.19,28.12,27.53,28.44,29.27
1909,30.24,29.33,29.58,29.63,34.77,30.14,32.68,28.09,27.67,29.02,29.59
1910,29.52,28.46,28.68,28.96,34.52,29.36,32.13,27.09,26.68,28.35,28.80
1911,29.75,28.58,29.02,29.28,34.40,29.78,32.12,27.30,26.96,28.81,29.15
1912,29.91,28.81,29.15,29.38,34.72,29.86,32.37,27.49,27.12,28.87,29.25
1913,29.90,29.08,29.00,29.15,35.14,29.55,32.81,27.59,27.08,28.44,29.05
1914,30.02,29.00,29.26,29.43,34.83,29.93,32.56,27.65,27.26,28.89,29.34
1915,29.92,28.94,29.16,29.33,34.71,29.78,32.46,27.63,27.20,28.71,29.23
1916,29.95,29.00,29.16,29.32,34.86,29.79,32.59,27.64,27.19,28.71,29.23
1917,30.08,29.20,29.23,29.36,35.25,29.81,32.90,27.76,27.29,28.72,29.28
1918,29.81,28.74,29.03,29.26,34.61,29.73,32.32,27.41,27.02,28.71,29.14
1919,30.03,29.08,29.17,29.32,35.20,29.79,32.82,27.65,27.20,28.71,29.24
1920,30.14,29.30,29.32,29.40,35.21,29.85,32.94,27.90,27.41,28.72,29.34
1921,30.06,29.20,29.32,29.40,34.87,29.85,32.70,27.88,27.41,28.72,29.34
1922,30.17,29.35,29.32,29.40,35.36,29.85,33.04,27.90,27.42,28.72,29.34
1923,30.26,29.49,29.38,29.41,35.62,29.89,33.21,28.10,27.55,28.72,29.40
1924,30.18,29.38,29.36,29.41,35.35,29.88,33.02,28.00,27.50,28.72,29.35
1925,29.72,28.62,28.99,29.26,34.34,29.70,32.15,27.18,26.90,28.71,29.00
1926,30.04,29.11,29.17,29.31,35.28,29.81,32.85,27.78,27.28,28.71,29.28
1927,30.16,29.32,29.30,29.36,35.44,29.86,33.02,27.98,27.45,28.71,29.36
1928,30.17,29.37,29.38,29.43,35.25,29.86,32.95,27.92,27.47,28.72,29.31
1929,29.80,28.75,29.13,29.33,34.41,29.74,32.17,27.33,27.06,28.71,29.06
1930,30.15,29.27,29.25,29.35,35.60,29.83,33.03,27.92,27.38,28.71,29.38
1931,30.37,29.60,29.33,29.37,36.23,29.91,33.54,28.30,27.60,28.71,29.56
1932,30.05,29.10,29.10,29.26,35.43,29.79,32.94,27.80,27.24,28.71,29.34
1933,29.84,28.76,29.01,29.24,34.81,29.73,32.44,27.46,27.02,28.71,29.20
1934,30.00,29.03,29.08,29.26,35.26,29.77,32.81,27.71,27.19,28.71,29.27
1935,30.20,29.38,29.24,29.33,35.69,29.85,33.21,28.06,27.44,28.71,29.41
1936,29.83,28.77,29.09,29.27,34.63,29.76,32.31,27.54,27.14,28.71,29.19
1937,29.98,29.01,29.15,29.30,35.05,29.81,32.65,27.80,27.27,28.71,29.34
1938,30.17,29.27,29.23,29.31,35.63,29.88,33.05,28.15,27.48,28.71,29.55
1939,30.53,29.96,29.62,29.51,35.99,30.02,33.64,28.68,27.95,28.72,29.72
