Variable:,tasmax
,"Cook Islands","Administrative unit not available"
1901,27.02,27.33
1902,26.94,27.27
1903,26.77,27.19
1904,26.93,27.17
1905,27.03,27.33
1906,27.05,27.36
1907,25.99,26.36
1908,26.36,26.67
1909,26.43,26.75
1910,26.36,26.67
1911,26.13,26.45
1912,26.24,26.55
1913,26.12,26.44
1914,25.96,26.28
1915,26.12,26.43
1916,26.56,26.87
1917,26.53,26.84
1918,25.88,26.19
1919,26.64,26.94
1920,26.64,26.95
1921,26.83,27.13
1922,26.69,26.98
1923,26.29,26.59
1924,26.87,27.16
1925,26.42,26.71
1926,26.37,26.67
1927,27.59,27.88
1928,26.89,27.17
1929,26.70,27.00
1930,26.53,26.83
1931,26.44,26.73
1932,27.01,27.31
1933,26.98,27.26
1934,26.88,27.17
1935,26.93,27.24
1936,26.86,27.14
1937,26.99,27.32
1938,27.18,27.47
1939,27.15,27.47
1940,26.44,26.86
1941,26.57,26.95
1942,27.30,27.63
1943,27.23,27.57
1944,26.60,26.95
1945,27.13,27.47
1946,26.98,27.34
1947,27.36,27.71
1948,26.54,26.87
1949,27.01,27.29
1950,27.27,27.51
1951,26.72,27.05
1952,27.28,27.56
1953,26.92,27.20
1954,26.98,27.23
1955,27.09,27.33
1956,26.94,27.19
1957,26.71,27.03
1958,26.24,26.63
1959,26.58,26.95
1960,26.87,27.19
1961,26.95,27.23
1962,26.55,26.87
1963,26.72,27.04
1964,26.86,27.12
1965,26.30,26.64
1966,26.56,26.86
1967,26.43,26.74
1968,26.93,27.17
1969,27.05,27.38
1970,27.39,27.66
1971,26.95,27.19
1972,26.99,27.28
1973,27.55,27.78
1974,27.20,27.43
1975,27.00,27.24
1976,26.93,27.22
1977,26.74,27.06
1978,26.91,27.22
1979,26.74,27.04
1980,27.06,27.38
1981,27.02,27.30
1982,27.01,27.31
1983,27.20,27.51
1984,26.85,27.16
1985,26.88,27.20
1986,26.86,27.20
1987,26.44,26.83
1988,26.98,27.29
1989,27.12,27.38
1990,27.04,27.33
1991,27.14,27.42
1992,27.13,27.46
1993,26.85,27.18
1994,26.78,27.12
1995,27.18,27.49
1996,27.29,27.56
1997,26.69,27.01
1998,26.83,27.16
1999,27.43,27.73
2000,27.23,27.53
2001,27.02,27.32
2002,27.16,27.53
2003,27.21,27.52
2004,27.23,27.54
2005,26.95,27.31
2006,26.97,27.35
2007,26.96,27.33
2008,26.94,27.31
2009,26.95,27.35
2010,26.97,27.39
2011,26.97,27.37
2012,26.94,27.29
2013,26.96,27.29
2014,26.93,27.31
2015,26.93,27.30
2016,26.96,27.35
2017,26.97,27.36
2018,26.94,27.31
2019,26.95,27.32
2020,26.96,27.37
