Variable:,tasmax
,Cyprus,"Girne (Kyrenia)",Famagusta,Larnaca,Limassol,Nicosia,Paphos,"Sovereign Base Areas of Akrotiri and Dhekelia (U.K.)"
1901,24.42,25.58,25.01,24.38,22.71,24.86,23.24,23.85
1902,23.74,24.94,24.31,23.66,22.03,24.20,22.57,23.16
1903,22.81,24.01,23.32,22.68,21.13,23.29,21.70,22.21
1904,23.22,24.38,23.68,23.12,21.58,23.68,22.12,22.64
1905,23.46,24.65,23.92,23.37,21.81,23.94,22.36,22.88
1906,23.62,24.80,24.08,23.54,21.97,24.09,22.50,23.04
1907,23.01,24.17,23.48,22.91,21.38,23.47,21.92,22.44
1908,23.19,24.36,23.68,23.10,21.51,23.65,22.07,22.60
1909,24.23,25.39,24.72,24.17,22.57,24.68,23.09,23.66
1910,23.37,24.58,23.95,23.25,21.65,23.84,22.20,22.78
1911,23.21,24.38,23.70,23.12,21.55,23.66,22.09,22.63
1912,23.52,24.71,24.07,23.43,21.83,23.98,22.37,22.94
1913,23.51,24.69,24.04,23.43,21.81,23.97,22.34,22.93
1914,23.71,24.85,24.17,23.65,22.08,24.16,22.60,23.15
1915,24.37,25.51,24.83,24.32,22.73,24.82,23.25,23.80
1916,24.89,26.01,25.33,24.87,23.28,25.33,23.78,24.34
1917,24.26,25.40,24.72,24.23,22.62,24.70,23.13,23.70
1918,24.08,25.23,24.53,24.02,22.43,24.53,22.96,23.50
1919,24.31,25.46,24.78,24.26,22.67,24.76,23.18,23.74
1920,23.67,24.80,24.09,23.61,22.06,24.12,22.58,23.11
1921,23.37,24.52,23.82,23.30,21.73,23.82,22.26,22.80
1922,24.23,25.39,24.71,24.17,22.58,24.68,23.11,23.67
1923,24.56,25.70,25.03,24.52,22.93,25.00,23.44,24.01
1924,24.10,25.24,24.58,24.07,22.48,24.54,22.99,23.55
1925,24.38,25.51,24.83,24.36,22.76,24.83,23.28,23.83
1926,24.41,25.53,24.82,24.38,22.79,24.85,23.31,23.84
1927,24.67,25.80,25.08,24.63,23.07,25.12,23.58,24.11
1928,24.72,25.87,25.17,24.66,23.08,25.18,23.60,24.15
1929,23.82,24.96,24.32,23.82,22.14,24.26,22.65,23.26
1930,24.49,25.65,25.02,24.45,22.80,24.94,23.33,23.93
1931,24.48,25.63,24.92,24.42,22.85,24.93,23.39,23.91
