Variable:,tasmax
,Algeria,Adrar,Ain-Defla,Ain-Temouchent,Alger,Annaba,Batna,Bechar,Bejaia,Biskra,Blida,"Bordj Bou Arrer",Bouira,Boumerdes,Chlef,Constantine,Djelfa,"El Bayadh","El Oued",El-Tarf,Ghardaia,Guelma,Illizi,Jijel,Khenchela,Laghouat,Mascara,Medea,Mila,Mostaganem,M'Sila,Naama,Oran,Ouargla,"Oum El Bouaghi",Relizane,Saida,Setif,"Sidi Bel Abbes",Skikda,Souk-Ahras,Tamanrasset,Tebessa,Tindouf,Tiaret,Tipaza,Tissemsilt,"Tizi Ouzou",Tlemcen
1901,29.81,33.34,22.28,22.44,22.72,21.57,21.08,29.31,20.45,25.44,21.77,20.14,20.26,21.95,23.18,20.13,22.70,24.66,27.84,22.57,27.83,20.49,29.85,20.22,22.67,23.10,22.43,20.67,20.04,23.44,21.95,22.25,22.79,29.30,20.31,23.24,20.74,19.73,20.76,20.53,20.93,32.03,22.59,31.42,21.05,22.79,20.89,20.72,20.87
1902,29.79,33.28,22.46,22.54,22.92,21.63,21.14,29.11,20.58,25.51,21.94,20.25,20.41,22.14,23.41,20.19,22.86,24.77,27.89,22.64,27.96,20.52,29.84,20.34,22.68,23.30,22.60,20.84,20.10,23.67,22.06,22.27,22.97,29.40,20.34,23.47,20.90,19.81,20.86,20.61,20.96,32.06,22.62,31.03,21.26,22.98,21.08,20.89,20.91
1903,29.66,33.33,22.05,22.38,22.43,20.81,20.43,29.01,19.93,24.85,21.45,19.57,19.78,21.56,23.07,19.48,22.33,24.48,27.27,21.83,27.63,19.72,29.74,19.59,21.95,22.87,22.33,20.31,19.41,23.39,21.42,22.08,22.79,29.02,19.59,23.16,20.62,19.12,20.64,19.88,20.15,32.10,21.84,30.96,20.89,22.57,20.68,20.28,20.77
1904,29.83,33.42,22.55,22.81,22.93,21.28,20.87,29.29,20.45,25.29,21.96,20.06,20.30,22.09,23.57,19.90,22.80,24.91,27.64,22.25,27.99,20.20,29.84,20.07,22.32,23.32,22.79,20.84,19.84,23.87,21.91,22.50,23.26,29.33,20.00,23.63,21.06,19.57,21.09,20.34,20.60,32.12,22.25,31.01,21.37,23.08,21.19,20.80,21.20
1905,29.64,33.23,22.09,22.22,22.53,21.16,20.73,28.95,20.19,25.11,21.57,19.85,20.00,21.73,23.05,19.77,22.46,24.41,27.45,22.17,27.64,20.08,29.77,19.91,22.19,22.91,22.23,20.46,19.71,23.30,21.66,21.94,22.66,29.06,19.89,23.11,20.52,19.41,20.51,20.19,20.49,32.03,22.16,30.97,20.89,22.62,20.72,20.48,20.61
1906,29.66,33.18,22.09,22.31,22.50,21.15,20.68,28.94,20.14,25.05,21.54,19.81,19.97,21.69,23.07,19.77,22.41,24.36,27.44,22.12,27.57,20.03,29.93,19.82,22.19,22.84,22.24,20.43,19.66,23.32,21.62,21.97,22.73,29.05,19.86,23.10,20.52,19.36,20.56,20.15,20.49,32.08,22.13,30.96,20.86,22.60,20.70,20.43,20.69
1907,29.54,33.09,21.94,22.17,22.40,20.96,20.47,28.73,20.04,24.85,21.42,19.66,19.86,21.61,22.91,19.51,22.27,24.23,27.24,21.98,27.45,19.85,29.74,19.71,21.99,22.73,22.13,20.31,19.45,23.20,21.46,21.81,22.57,28.90,19.64,22.97,20.42,19.18,20.43,19.95,20.29,32.02,21.93,30.85,20.75,22.47,20.56,20.35,20.54
1908,29.68,33.22,22.30,22.47,22.78,21.42,20.95,28.91,20.42,25.29,21.79,20.07,20.24,21.98,23.24,20.00,22.61,24.49,27.66,22.42,27.65,20.30,29.75,20.14,22.44,23.01,22.43,20.67,19.93,23.49,21.85,22.12,22.88,29.16,20.11,23.28,20.71,19.63,20.74,20.42,20.73,32.06,22.38,30.93,21.05,22.83,20.90,20.70,20.85
1909,29.60,33.27,21.87,22.11,22.28,21.01,20.49,28.78,19.94,24.89,21.32,19.60,19.78,21.51,22.83,19.56,22.26,24.24,27.35,22.02,27.54,19.85,29.72,19.61,22.03,22.73,22.07,20.22,19.45,23.12,21.42,21.79,22.50,29.04,19.68,22.93,20.36,19.16,20.38,19.95,20.35,32.06,22.02,30.96,20.69,22.38,20.49,20.26,20.49
1910,29.58,33.17,21.81,22.17,22.11,20.69,20.28,28.88,19.70,24.73,21.16,19.39,19.56,21.26,22.77,19.27,22.23,24.42,27.15,21.72,27.63,19.58,29.69,19.39,21.79,22.81,22.15,20.10,19.22,23.11,21.29,21.97,22.52,28.98,19.42,22.93,20.50,18.93,20.51,19.67,20.02,32.06,21.71,30.93,20.77,22.29,20.49,19.98,20.62
