Variable:,tasmax
1901,29.80
1902,29.79
1903,29.53
1904,29.44
1905,29.58
1906,29.58
1907,29.15
1908,29.55
1909,29.63
1910,29.56
1911,29.55
1912,29.66
1913,29.72
1914,29.51
1915,29.70
1916,29.40
1917,29.19
1918,28.99
1919,29.81
1920,28.92
1921,28.98
1922,29.25
1923,29.53
1924,29.52
1925,29.32
1926,30.30
1927,29.96
1928,29.75
1929,29.51
1930,29.56
1931,29.78
1932,29.48
1933,29.65
1934,29.61
1935,29.85
1936,29.76
1937,30.33
1938,29.76
1939,29.49
1940,29.96
1941,29.76
1942,29.53
1943,29.37
1944,29.48
1945,30.18
1946,29.55
1947,30.09
1948,29.93
1949,29.78
1950,29.77
1951,29.12
1952,29.42
1953,29.39
1954,29.21
1955,30.27
1956,29.08
1957,29.29
1958,30.02
1959,29.56
1960,29.70
1961,29.90
1962,29.47
1963,29.80
1964,30.06
1965,29.48
1966,30.12
1967,29.35
1968,29.73
1969,30.18
1970,30.34
1971,29.16
1972,29.02
1973,29.60
1974,29.16
1975,29.55
1976,29.21
1977,29.93
1978,29.83
1979,29.79
1980,29.60
1981,29.79
1982,29.32
1983,30.47
1984,29.57
1985,29.74
1986,29.34
1987,30.87
1988,29.76
1989,29.94
1990,30.37
1991,29.64
1992,29.68
1993,29.44
1994,29.61
1995,30.47
1996,30.19
1997,30.66
1998,30.83
1999,30.12
2000,30.03
2001,30.84
2002,30.59
2003,30.44
2004,30.37
2005,30.58
2006,30.52
2007,30.37
2008,30.46
2009,30.54
2010,31.11
2011,30.45
2012,30.49
2013,30.84
2014,30.54
2015,30.61
2016,30.69
2017,30.95
2018,29.78
2019,30.48
2020,30.96
