Variable:,tasmax
1901,10.12
1902,9.81
1903,9.83
1904,9.99
1905,9.48
1906,9.42
1907,9.48
1908,9.46
1909,9.43
1910,9.78
1911,9.75
1912,9.88
1913,9.62
1914,9.53
1915,9.62
1916,9.93
1917,10.03
1918,9.78
1919,9.92
1920,9.95
1921,9.91
1922,10.04
1923,9.10
1924,9.86
1925,9.59
1926,9.69
1927,9.67
1928,9.65
1929,9.67
1930,9.60
1931,9.53
1932,9.30
1933,9.47
1934,9.52
1935,9.00
1936,9.53
1937,9.04
1938,9.18
1939,8.88
1940,9.69
1941,9.66
1942,9.90
1943,10.28
1944,9.72
1945,9.98
1946,9.35
1947,9.58
1948,9.13
1949,9.61
1950,9.24
1951,9.63
1952,10.00
1953,9.83
1954,9.43
1955,9.55
1956,9.97
1957,9.56
1958,9.43
1959,9.17
1960,9.84
1961,9.01
1962,10.00
1963,9.13
1964,9.27
1965,9.85
1966,9.29
1967,9.45
1968,9.94
1969,9.43
1970,9.75
1971,9.04
1972,9.23
1973,9.35
1974,9.89
1975,9.75
1976,9.03
1977,9.57
1978,9.92
1979,10.13
1980,9.46
1981,9.81
1982,9.82
1983,9.94
1984,9.32
1985,10.43
1986,9.62
1987,9.99
1988,9.81
1989,10.00
1990,9.86
1991,9.48
1992,9.48
1993,9.96
1994,9.49
1995,9.49
1996,10.03
1997,9.42
1998,10.35
1999,9.94
2000,9.38
2001,9.52
2002,9.19
2003,9.78
2004,10.31
2005,9.73
2006,9.90
2007,9.53
2008,9.98
2009,9.77
2010,9.80
2011,10.03
2012,9.79
2013,10.02
2014,9.74
2015,9.78
2016,10.10
2017,10.03
2018,10.00
2019,9.85
2020,10.13
