Variable:,tasmax
,"Federated States of Micronesia","Administrative unit not available"
1901,29.98,30.31
1902,29.98,30.31
1903,29.98,30.31
1904,29.98,30.31
1905,29.98,30.31
1906,29.98,30.31
1907,29.98,30.31
1908,29.98,30.31
1909,29.98,30.31
1910,29.98,30.31
1911,29.98,30.31
1912,29.98,30.31
1913,29.98,30.31
1914,29.98,30.31
1915,29.98,30.31
1916,29.98,30.31
1917,29.98,30.31
1918,29.98,30.31
1919,29.98,30.31
1920,29.98,30.31
1921,29.98,30.28
1922,29.98,30.27
1923,29.98,30.24
1924,29.98,30.23
1925,29.98,30.26
1926,29.83,30.13
1927,29.61,30.08
1928,28.88,29.55
1929,28.80,29.44
1930,28.66,29.36
1931,29.05,29.67
1932,28.74,29.46
1933,28.74,29.41
1934,28.84,29.50
1935,29.47,29.93
1936,29.98,30.29
1937,29.75,30.11
1938,29.98,30.28
1939,29.98,30.29
1940,29.98,30.27
1941,29.60,29.97
1942,29.41,29.82
1943,29.18,29.62
1944,29.98,30.31
1945,29.98,30.28
1946,30.00,30.36
1947,30.00,30.36
1948,30.00,30.31
1949,29.99,30.29
1950,29.87,30.19
1951,29.67,30.11
1952,29.84,30.21
1953,29.76,30.16
1954,29.54,29.98
1955,29.36,29.74
1956,29.55,29.90
1957,29.85,30.19
1958,29.52,30.00
1959,29.49,29.93
1960,29.45,29.91
1961,29.50,29.87
1962,29.54,29.94
1963,29.65,30.04
1964,29.53,29.92
1965,29.09,29.57
1966,29.70,30.08
1967,29.78,30.08
1968,29.74,30.09
1969,29.79,30.16
1970,29.87,30.25
1971,29.60,29.98
1972,29.59,29.96
1973,29.84,30.24
1974,29.95,30.26
1975,29.63,30.02
1976,29.74,30.07
1977,30.22,30.51
1978,30.38,30.62
1979,30.39,30.64
1980,30.29,30.59
1981,30.50,30.78
1982,29.99,30.34
1983,30.48,30.77
1984,30.46,30.77
1985,30.39,30.63
1986,30.18,30.50
1987,30.25,30.56
1988,30.61,30.84
1989,30.30,30.61
1990,30.43,30.70
1991,30.30,30.55
1992,30.16,30.48
1993,29.98,30.31
1994,30.38,30.64
1995,30.11,30.50
1996,30.33,30.63
1997,30.10,30.43
1998,30.23,30.53
1999,29.98,30.32
2000,30.43,30.77
2001,30.38,30.82
2002,30.31,30.72
2003,30.09,30.46
2004,30.03,30.52
2005,30.33,30.71
2006,30.18,30.60
2007,30.31,30.65
2008,30.03,30.40
2009,30.32,30.58
2010,30.16,30.41
2011,30.03,30.38
2012,30.28,30.63
2013,30.68,30.93
2014,30.59,30.81
2015,30.44,30.68
2016,30.38,30.82
2017,30.27,30.63
2018,30.17,30.61
2019,30.23,30.57
2020,30.43,30.70
