Variable:,tasmax
,Gabon,Estuaire,Haut-Ogooue,Moyen-Ogooue,Ngounie,Nyanga,Ogooue-Ivindo,Ogooue-lolo,Ogooue-Maritime,Woleu-Ntem
1901,28.87,28.71,28.64,29.45,28.92,28.71,28.99,29.20,28.91,28.47
1902,29.06,28.96,28.79,29.68,29.11,28.84,29.22,29.39,29.10,28.72
1903,29.21,29.10,28.92,29.82,29.25,28.98,29.36,29.54,29.25,28.86
1904,28.90,28.79,28.63,29.50,28.93,28.68,29.05,29.22,28.93,28.56
1905,29.30,29.22,28.99,29.92,29.33,29.04,29.46,29.62,29.34,28.99
1906,29.21,29.15,28.90,29.84,29.22,28.93,29.40,29.53,29.24,28.92
1907,29.28,29.21,28.97,29.90,29.31,29.01,29.45,29.61,29.31,28.98
1908,28.87,28.77,28.59,29.48,28.89,28.62,29.03,29.19,28.90,28.54
1909,29.44,29.37,29.13,30.07,29.48,29.17,29.61,29.77,29.49,29.14
1910,28.86,28.71,28.63,29.45,28.93,28.71,28.99,29.20,28.91,28.47
1911,29.29,29.18,29.01,29.90,29.35,29.08,29.43,29.63,29.34,28.93
1912,29.35,29.25,29.08,29.96,29.40,29.15,29.50,29.68,29.40,29.00
1913,28.92,28.79,28.67,29.51,28.96,28.73,29.06,29.25,28.95,28.55
1914,29.31,29.25,29.00,29.94,29.34,29.04,29.48,29.64,29.35,29.01
1915,29.14,29.07,28.83,29.77,29.16,28.85,29.32,29.47,29.18,28.83
1916,29.12,29.06,28.81,29.76,29.14,28.81,29.31,29.45,29.16,28.83
1917,29.15,29.07,28.84,29.77,29.18,28.87,29.32,29.47,29.19,28.83
1918,29.14,29.06,28.83,29.77,29.17,28.85,29.31,29.46,29.18,28.83
1919,29.13,29.06,28.83,29.76,29.16,28.84,29.31,29.46,29.17,28.83
1920,29.14,29.07,28.84,29.77,29.17,28.86,29.31,29.47,29.18,28.83
1921,29.14,29.07,28.84,29.77,29.17,28.86,29.32,29.47,29.18,28.83
1922,29.13,29.06,28.83,29.76,29.16,28.84,29.32,29.46,29.17,28.83
1923,29.13,29.06,28.81,29.76,29.14,28.82,29.31,29.45,29.16,28.83
1924,29.18,29.07,28.90,29.79,29.22,28.95,29.33,29.51,29.22,28.83
1925,29.14,29.07,28.84,29.77,29.17,28.86,29.31,29.47,29.18,28.83
1926,29.15,29.07,28.84,29.77,29.17,28.87,29.32,29.47,29.18,28.83
1927,29.15,29.07,28.86,29.78,29.19,28.89,29.32,29.48,29.20,28.83
1928,29.17,29.07,28.89,29.79,29.22,28.94,29.33,29.50,29.22,28.83
1929,29.11,29.06,28.80,29.75,29.13,28.79,29.30,29.44,29.15,28.83
1930,29.15,29.07,28.85,29.78,29.18,28.88,29.32,29.48,29.19,28.83
1931,29.17,29.07,28.88,29.79,29.21,28.92,29.33,29.50,29.21,28.83
1932,29.11,29.06,28.79,29.75,29.12,28.78,29.30,29.43,29.15,28.83
1933,29.19,29.08,28.92,29.80,29.25,28.98,29.33,29.53,29.24,28.83
1934,29.20,29.08,28.94,29.81,29.26,29.02,29.34,29.55,29.25,28.83
1935,29.17,29.07,28.87,29.79,29.21,28.92,29.33,29.49,29.21,28.83
1936,29.13,29.06,28.82,29.76,29.15,28.82,29.31,29.45,29.17,28.83
1937,29.21,29.08,28.95,29.81,29.28,29.04,29.34,29.55,29.26,28.83
1938,29.16,29.07,28.87,29.78,29.20,28.90,29.32,29.49,29.20,28.83
1939,29.18,29.07,28.90,29.79,29.22,28.95,29.33,29.51,29.22,28.83
1940,29.15,29.07,28.86,29.78,29.18,28.88,29.32,29.48,29.19,28.83
1941,29.69,29.59,29.44,30.29,29.71,29.39,29.88,30.03,29.68,29.41
1942,29.54,29.45,29.28,30.14,29.53,29.20,29.75,29.87,29.50,29.28
1943,28.98,28.86,28.72,29.56,28.97,28.68,29.20,29.33,28.94,28.71
1944,29.62,29.53,29.34,30.25,29.68,29.41,29.75,29.94,29.70,29.25
1945,29.56,29.52,29.23,30.19,29.58,29.27,29.72,29.87,29.60,29.27
1946,29.32,29.22,29.05,29.91,29.30,28.97,29.54,29.66,29.27,29.08
1947,29.66,29.57,29.35,30.30,29.72,29.46,29.78,29.98,29.75,29.30
1948,29.24,29.16,28.92,29.87,29.28,28.99,29.39,29.56,29.31,28.91
