Variable:,tasmax
,Guinea,Boke,Conakry,Faranah,Kankan,Kindia,Labe,Mamou,Nzerekore
1901,32.07,32.16,30.90,32.27,32.97,30.87,31.89,30.55,31.81
1902,32.21,32.36,31.03,32.44,33.12,31.03,32.15,30.76,31.71
1903,31.90,32.15,30.83,32.07,32.78,30.78,31.85,30.44,31.36
1904,31.74,31.88,30.55,31.93,32.70,30.54,31.65,30.24,31.26
1905,31.87,32.09,30.75,32.06,32.76,30.74,31.81,30.40,31.39
1906,31.87,32.16,30.82,32.05,32.71,30.79,31.86,30.43,31.34
1907,31.51,31.54,30.26,31.71,32.48,30.26,31.34,29.97,31.19
1908,32.02,32.22,30.86,32.24,32.94,30.86,31.98,30.57,31.46
1909,31.86,32.00,30.66,32.06,32.82,30.66,31.77,30.36,31.35
1910,32.06,32.25,30.91,32.27,32.96,30.90,32.00,30.60,31.59
1911,31.76,31.98,30.61,31.95,32.63,30.61,31.71,30.31,31.29
1912,32.22,32.32,30.96,32.43,33.14,31.00,32.12,30.73,31.82
1913,31.95,32.21,30.85,32.14,32.79,30.84,31.93,30.53,31.44
1914,31.82,31.95,30.57,32.01,32.75,30.59,31.72,30.31,31.40
1915,32.14,32.41,31.09,32.35,32.92,31.06,32.11,30.74,31.72
1916,31.70,31.94,30.57,31.87,32.49,30.57,31.64,30.25,31.41
1917,31.72,31.87,30.59,31.91,32.58,30.56,31.58,30.24,31.42
1918,31.73,32.05,30.73,31.94,32.48,30.69,31.74,30.36,31.25
1919,31.91,32.31,30.90,32.11,32.74,30.89,32.00,30.56,31.12
1920,31.67,31.81,30.52,31.84,32.62,30.47,31.53,30.14,31.23
1921,31.56,31.74,30.36,31.72,32.52,30.35,31.48,30.04,31.11
1922,31.45,31.53,30.20,31.62,32.40,30.18,31.30,29.89,31.18
1923,31.77,31.98,30.61,31.95,32.64,30.60,31.70,30.28,31.34
1924,31.47,31.62,30.25,31.62,32.43,30.24,31.37,29.92,31.05
1925,31.58,31.80,30.43,31.77,32.50,30.42,31.54,30.11,31.01
1926,31.67,32.08,30.71,31.78,32.45,30.67,31.69,30.27,31.12
1927,31.15,31.62,30.26,31.26,31.89,30.20,31.20,29.79,30.55
1928,31.06,31.42,30.07,31.21,31.87,30.02,31.04,29.64,30.48
1929,31.00,31.36,29.99,31.17,31.79,29.96,31.02,29.60,30.45
1930,31.15,31.40,30.06,31.32,31.99,30.05,31.12,29.73,30.64
1931,31.71,31.89,30.48,31.90,32.68,30.49,31.67,30.21,31.17
1932,31.62,31.90,30.58,31.80,32.50,30.53,31.58,30.19,31.05
1933,31.70,31.95,30.60,31.90,32.56,30.59,31.70,30.28,31.12
1934,31.67,31.74,30.40,31.85,32.67,30.41,31.57,30.15,31.22
1935,31.71,31.84,30.43,31.91,32.70,30.47,31.64,30.21,31.21
1936,31.77,32.04,30.66,31.95,32.67,30.64,31.76,30.33,31.16
1937,31.97,32.18,30.79,32.13,32.93,30.77,31.92,30.46,31.43
1938,32.06,32.19,30.81,32.24,33.07,30.82,31.96,30.53,31.55
1939,31.94,32.02,30.66,32.14,32.97,30.67,31.83,30.41,31.47
1940,31.82,31.95,30.62,32.00,32.79,30.59,31.71,30.30,31.35
1941,32.08,32.24,30.86,32.31,33.01,30.88,32.04,30.62,31.54
1942,31.85,32.00,30.65,32.09,32.80,30.64,31.79,30.37,31.32
1943,31.50,31.74,30.36,31.68,32.38,30.35,31.47,30.04,30.99
1944,32.00,32.20,30.82,32.21,32.94,30.82,31.96,30.53,31.45
1945,32.02,32.36,30.96,32.19,32.85,30.94,32.09,30.62,31.38
1946,31.75,31.99,30.61,31.95,32.64,30.61,31.75,30.31,31.18
1947,31.84,31.94,30.58,32.06,32.83,30.59,31.82,30.35,31.27
1948,31.58,31.81,30.45,31.78,32.46,30.44,31.61,30.17,30.99
1949,31.79,31.91,30.54,32.00,32.76,30.56,31.73,30.28,31.27
1950,31.53,31.60,30.22,31.72,32.57,30.22,31.36,29.93,31.11
1951,31.69,31.89,30.48,31.83,32.71,30.43,31.55,30.05,31.21
1952,31.57,31.76,30.44,31.73,32.53,30.38,31.36,29.97,31.21
1953,31.79,32.01,30.71,31.94,32.77,30.61,31.69,30.21,31.29
1954,31.41,31.67,30.34,31.57,32.35,30.23,31.32,29.84,30.90
1955,31.44,31.79,30.34,31.51,32.39,30.27,31.32,29.85,30.93
1956,31.38,31.60,30.17,31.48,32.41,30.11,31.24,29.77,30.88
1957,31.58,31.78,30.42,31.72,32.57,30.35,31.47,30.01,31.13
1958,31.71,31.99,30.57,31.84,32.70,30.48,31.66,30.13,31.16
1959,31.62,31.88,30.39,31.73,32.61,30.38,31.61,30.04,31.07
1960,31.53,31.86,30.50,31.57,32.49,30.35,31.36,29.89,31.10
1961,31.40,31.63,30.30,31.52,32.35,30.21,31.25,29.83,31.00
1962,31.24,31.62,30.33,31.31,32.06,30.17,31.12,29.70,30.90
1963,31.69,31.97,30.65,31.80,32.60,30.55,31.58,30.15,31.24
1964,31.50,31.76,30.36,31.68,32.41,30.32,31.47,30.01,30.97
1965,31.34,31.52,30.17,31.49,32.30,30.11,31.25,29.78,30.88
1966,31.63,31.80,30.40,31.79,32.61,30.38,31.53,30.11,31.13
1967,31.31,31.44,30.18,31.52,32.21,30.16,31.17,29.87,30.89
1968,31.73,31.87,30.43,31.93,32.70,30.49,31.72,30.25,31.17
1969,32.28,32.53,30.97,32.45,33.31,30.99,32.28,30.73,31.58
1970,32.05,32.27,30.79,32.20,33.07,30.78,32.05,30.51,31.40
1971,31.62,31.80,30.26,31.84,32.68,30.37,31.70,30.17,30.75
1972,31.86,32.05,30.65,32.08,32.84,30.69,31.89,30.42,31.10
1973,32.15,32.36,30.94,32.36,33.11,30.97,32.13,30.66,31.51
1974,31.49,31.67,30.33,31.73,32.39,30.33,31.45,30.02,31.00
1975,31.37,31.60,30.16,31.59,32.25,30.19,31.38,29.92,30.81
1976,31.06,31.28,29.96,31.26,31.95,29.95,30.97,29.60,30.54
1977,31.70,31.96,30.53,31.88,32.60,30.56,31.71,30.26,31.09
1978,31.40,31.50,30.26,31.68,32.33,30.23,31.35,29.98,30.84
1979,31.64,31.82,30.51,31.89,32.52,30.52,31.62,30.24,31.10
1980,31.81,31.98,30.56,31.98,32.80,30.59,31.85,30.30,31.17
1981,31.85,32.05,30.72,32.05,32.76,30.69,31.82,30.39,31.31
1982,31.45,31.73,30.38,31.67,32.27,30.39,31.44,30.07,30.90
1983,32.24,32.53,31.08,32.43,33.16,31.08,32.31,30.77,31.53
1984,31.72,31.85,30.52,31.94,32.66,30.55,31.66,30.27,31.18
1985,31.66,31.77,30.41,31.86,32.69,30.42,31.64,30.13,31.09
1986,31.33,31.51,30.18,31.47,32.30,30.15,31.20,29.80,30.86
1987,32.22,32.23,30.87,32.43,33.28,30.88,32.06,30.65,31.80
1988,31.71,31.88,30.54,31.91,32.66,30.52,31.56,30.19,31.27
1989,31.69,31.77,30.38,31.95,32.65,30.45,31.65,30.25,31.17
1990,31.89,32.21,30.75,32.09,32.76,30.75,31.93,30.44,31.27
1991,31.84,32.19,30.85,32.08,32.66,30.83,31.91,30.47,31.08
1992,31.70,32.06,30.65,31.88,32.51,30.65,31.79,30.32,31.02
1993,31.85,32.23,30.80,32.06,32.68,30.80,32.02,30.50,31.07
1994,31.44,31.87,30.43,31.59,32.20,30.43,31.40,29.99,30.91
1995,31.75,32.14,30.70,31.87,32.55,30.67,31.77,30.31,31.23
1996,32.01,32.49,31.00,32.12,32.83,30.96,32.07,30.56,31.33
1997,32.06,32.72,31.10,32.17,32.80,31.07,32.16,30.64,31.32
1998,32.62,33.12,31.55,32.82,33.42,31.55,32.77,31.22,31.87
1999,31.67,32.03,30.62,31.83,32.47,30.61,31.71,30.28,31.09
2000,31.87,32.22,30.76,31.99,32.72,30.78,31.92,30.47,31.26
2001,32.32,32.63,31.09,32.51,33.28,31.14,32.42,30.90,31.53
2002,32.39,32.70,31.27,32.54,33.33,31.25,32.37,30.91,31.72
2003,32.34,32.62,31.19,32.52,33.30,31.18,32.35,30.90,31.65
2004,32.49,32.85,31.35,32.68,33.38,31.38,32.57,31.08,31.74
2005,32.55,32.94,31.48,32.73,33.43,31.47,32.63,31.17,31.80
2006,32.39,32.76,31.30,32.59,33.23,31.30,32.51,31.02,31.64
2007,32.47,32.82,31.36,32.65,33.36,31.36,32.54,31.07,31.76
2008,32.26,32.73,31.20,32.38,33.18,31.18,32.28,30.78,31.46
2009,32.24,32.37,30.91,32.45,33.29,30.93,32.13,30.64,31.67
2010,32.75,33.16,31.70,32.93,33.61,31.70,32.89,31.34,31.96
2011,32.64,32.96,31.47,32.88,33.57,31.52,32.79,31.24,31.77
2012,32.13,32.54,31.15,32.29,32.94,31.14,32.22,30.76,31.37
2013,32.35,32.64,31.22,32.55,33.27,31.24,32.41,30.94,31.60
2014,32.32,32.62,31.16,32.54,33.20,31.22,32.44,30.95,31.56
2015,32.57,32.84,31.31,32.81,33.50,31.38,32.69,31.12,31.82
2016,32.80,33.14,31.66,33.02,33.65,31.70,32.97,31.45,32.03
2017,32.81,33.21,31.65,32.99,33.67,31.71,32.98,31.44,31.98
2018,32.48,32.72,31.32,32.69,33.39,31.34,32.54,31.06,31.83
2019,32.34,32.65,31.20,32.55,33.22,31.23,32.42,30.94,31.64
2020,32.89,33.37,31.86,33.07,33.71,31.87,33.06,31.54,32.02
