Variable:,tasmax
,Guinea-Bissau,Bafata,Biombo,Bolama/bijagos,Cacheu,Gabu,Oio,Quinara,"Sector Autonomo De Bissau",Tombali
1901,32.75,32.97,33.27,32.91,32.58,33.14,32.96,32.03,33.28,31.76
1902,32.96,33.19,33.43,33.07,32.75,33.36,33.16,32.22,33.44,31.94
1903,32.78,33.00,33.32,32.95,32.65,33.15,33.02,32.06,33.33,31.78
1904,32.51,32.74,33.01,32.66,32.33,32.90,32.73,31.79,33.02,31.50
1905,32.72,32.94,33.23,32.89,32.56,33.09,32.94,32.00,33.24,31.72
1906,32.82,33.04,33.33,33.00,32.67,33.18,33.05,32.10,33.34,31.81
1907,32.13,32.36,32.64,32.28,31.95,32.52,32.35,31.40,32.65,31.13
1908,32.85,33.08,33.35,32.98,32.67,33.24,33.08,32.12,33.36,31.83
1909,32.62,32.84,33.12,32.77,32.44,33.00,32.84,31.89,33.13,31.61
1910,32.87,33.09,33.37,33.01,32.70,33.25,33.09,32.14,33.38,31.86
1911,32.62,32.84,33.15,32.78,32.46,32.99,32.84,31.90,33.16,31.61
1912,32.92,33.15,33.41,33.05,32.72,33.32,33.12,32.18,33.42,31.90
1913,32.87,33.09,33.37,33.01,32.70,33.24,33.10,32.13,33.38,31.84
1914,32.56,32.79,33.06,32.70,32.38,32.95,32.78,31.83,33.07,31.54
1915,33.06,33.28,33.56,33.21,32.91,33.43,33.29,32.32,33.57,32.04
1916,32.58,32.81,33.11,32.74,32.42,32.97,32.81,31.86,33.12,31.58
1917,32.48,32.70,33.01,32.65,32.30,32.86,32.70,31.77,33.02,31.49
1918,32.70,32.92,33.22,32.86,32.55,33.07,32.93,31.96,33.23,31.68
1919,32.97,33.19,33.52,33.14,32.84,33.34,33.23,32.23,33.53,31.95
1920,32.44,32.66,32.96,32.62,32.27,32.82,32.65,31.72,32.97,31.43
1921,32.38,32.61,32.90,32.53,32.22,32.76,32.61,31.65,32.91,31.36
1922,32.15,32.38,32.67,32.29,31.97,32.53,32.37,31.43,32.68,31.14
1923,32.62,32.85,33.13,32.77,32.47,33.00,32.86,31.88,33.14,31.60
1924,32.27,32.50,32.79,32.43,32.11,32.65,32.50,31.54,32.80,31.26
1925,32.46,32.69,32.99,32.63,32.31,32.83,32.68,31.72,33.00,31.44
1926,32.77,32.99,33.32,32.96,32.65,33.12,33.00,32.05,33.33,31.76
1927,32.33,32.56,32.89,32.54,32.24,32.67,32.57,31.61,32.90,31.31
1928,32.10,32.32,32.65,32.29,31.98,32.45,32.36,31.40,32.66,31.10
