Variable:,tasmax
,Guatemala,Guatemala,"El Progreso",Sacatepéquez,Chimaltenango,Escuintla,"Santa Rosa",Sololá,Totonicapán,Quetzaltenango,Suchitepéquez,Retalhuleu,"San Marcos",Huehuetenango,Quiché,"Baja Verapaz","Alta Verapaz",Petén,Izabal,Zacapa,Chiquimula,Jalapa,Jutiapa
1901,28.31,25.61,26.17,25.22,24.00,31.39,28.92,22.62,22.04,26.27,30.65,31.66,26.31,24.28,24.85,24.38,28.03,30.63,29.48,28.03,26.70,27.22,28.63
1902,28.41,25.68,26.25,25.30,24.08,31.47,28.99,22.69,22.12,26.34,30.73,31.73,26.38,24.37,24.94,24.47,28.13,30.77,29.58,28.12,26.77,27.28,28.69
1903,28.43,25.69,26.26,25.30,24.08,31.47,29.00,22.70,22.12,26.35,30.73,31.74,26.39,24.39,24.95,24.48,28.14,30.78,29.59,28.13,26.79,27.30,28.71
1904,28.32,25.61,26.17,25.22,24.00,31.39,28.92,22.62,22.04,26.27,30.65,31.66,26.31,24.28,24.85,24.38,28.03,30.65,29.49,28.03,26.70,27.22,28.63
1905,28.33,25.61,26.17,25.22,24.00,31.39,28.92,22.62,22.04,26.27,30.65,31.66,26.31,24.28,24.85,24.38,28.03,30.67,29.49,28.03,26.70,27.22,28.63
1906,28.04,25.38,25.92,25.00,23.77,31.22,28.74,22.39,21.79,26.05,30.47,31.47,26.07,24.00,24.58,24.12,27.74,30.32,29.20,27.77,26.46,26.98,28.44
1907,28.16,25.47,26.03,25.09,23.87,31.28,28.81,22.48,21.89,26.13,30.54,31.55,26.16,24.11,24.68,24.23,27.85,30.45,29.32,27.88,26.56,27.08,28.51
1908,28.14,25.45,26.01,25.07,23.85,31.28,28.80,22.48,21.89,26.13,30.54,31.55,26.15,24.10,24.68,24.22,27.86,30.43,29.30,27.86,26.54,27.06,28.50
1909,28.31,25.59,26.15,25.21,23.99,31.41,28.90,22.61,22.03,26.26,30.66,31.66,26.28,24.28,24.84,24.37,28.02,30.63,29.47,28.02,26.67,27.19,28.61
1910,27.41,24.86,25.37,24.50,23.27,30.78,28.28,21.88,21.25,25.55,30.02,31.04,25.55,23.39,23.97,23.53,27.09,29.53,28.56,27.19,25.92,26.45,27.98
1911,28.09,25.40,25.95,25.03,23.81,31.24,28.76,22.42,21.82,26.08,30.49,31.50,26.10,24.04,24.61,24.16,27.78,30.38,29.25,27.81,26.49,27.00,28.46
1912,28.23,25.52,26.08,25.13,23.91,31.33,28.84,22.53,21.95,26.18,30.59,31.59,26.22,24.18,24.75,24.28,27.92,30.57,29.40,27.94,26.61,27.13,28.54
1913,27.86,25.20,25.74,24.84,23.61,31.07,28.59,22.23,21.61,25.89,30.32,31.34,25.91,23.81,24.38,23.92,27.54,30.11,29.03,27.59,26.29,26.80,28.28
1914,27.87,25.23,25.77,24.85,23.62,31.08,28.59,22.23,21.63,25.89,30.33,31.34,25.92,23.82,24.39,23.95,27.55,30.13,29.04,27.61,26.31,26.84,28.29
1915,28.06,25.38,25.93,25.00,23.77,31.21,28.74,22.39,21.79,26.06,30.46,31.47,26.08,24.01,24.58,24.13,27.75,30.35,29.23,27.78,26.46,26.98,28.44
1916,27.92,25.26,25.82,24.88,23.66,31.11,28.63,22.28,21.66,25.94,30.36,31.37,25.94,23.85,24.43,24.00,27.62,30.19,29.11,27.68,26.36,26.88,28.33
1917,28.20,25.53,26.13,25.12,23.88,31.29,28.89,22.45,21.83,26.00,30.48,31.44,25.98,23.96,24.65,24.28,27.94,30.53,29.48,28.03,26.70,27.20,28.62
1918,28.24,25.55,26.15,25.15,23.91,31.32,28.92,22.48,21.88,26.09,30.53,31.50,26.11,24.07,24.71,24.32,27.98,30.57,29.53,28.05,26.71,27.21,28.64
1919,28.08,25.41,25.98,25.02,23.78,31.22,28.77,22.38,21.78,25.99,30.44,31.43,26.01,23.95,24.57,24.16,27.79,30.37,29.32,27.86,26.53,27.04,28.49
1920,28.12,25.45,26.02,25.06,23.83,31.24,28.79,22.42,21.81,26.04,30.47,31.46,26.05,23.99,24.60,24.19,27.83,30.41,29.35,27.89,26.57,27.08,28.52
1921,28.00,25.34,25.90,24.96,23.72,31.16,28.71,22.31,21.70,25.94,30.38,31.37,25.95,23.87,24.49,24.07,27.70,30.27,29.22,27.77,26.46,26.97,28.43
1922,28.44,25.71,26.30,25.30,24.08,31.46,29.03,22.68,22.08,26.28,30.69,31.67,26.30,24.29,24.92,24.50,28.17,30.80,29.68,28.20,26.85,27.35,28.75
1923,28.23,25.54,26.11,25.14,23.92,31.32,28.87,22.52,21.92,26.15,30.56,31.55,26.16,24.12,24.72,24.29,27.93,30.55,29.44,27.97,26.64,27.16,28.58
1924,28.11,25.44,26.01,25.05,23.81,31.23,28.79,22.39,21.79,26.01,30.45,31.44,26.03,23.98,24.60,24.18,27.82,30.41,29.35,27.89,26.57,27.07,28.51
1925,28.00,25.36,25.94,24.95,23.71,31.13,28.74,22.27,21.66,25.85,30.32,31.29,25.86,23.82,24.47,24.09,27.73,30.29,29.29,27.83,26.52,27.01,28.47
1926,28.18,25.51,26.10,25.11,23.87,31.28,28.87,22.43,21.83,26.03,30.47,31.44,26.03,24.02,24.65,24.26,27.91,30.49,29.46,27.99,26.66,27.16,28.60
1927,28.24,25.55,26.14,25.15,23.91,31.32,28.90,22.50,21.89,26.11,30.54,31.52,26.12,24.08,24.71,24.33,27.98,30.55,29.53,28.05,26.73,27.21,28.65
1928,28.22,25.55,26.14,25.15,23.91,31.32,28.89,22.50,21.91,26.12,30.54,31.53,26.13,24.10,24.72,24.31,27.95,30.52,29.46,28.01,26.68,27.20,28.62
1929,28.37,25.66,26.26,25.26,24.02,31.42,28.99,22.62,22.03,26.25,30.65,31.65,26.27,24.23,24.86,24.44,28.11,30.71,29.64,28.16,26.82,27.32,28.72
1930,28.03,25.38,25.95,24.99,23.76,31.19,28.76,22.34,21.74,25.96,30.40,31.38,25.97,23.92,24.54,24.13,27.76,30.30,29.27,27.83,26.51,27.02,28.47
1931,28.05,25.38,25.93,25.00,23.78,31.18,28.71,22.37,21.78,25.99,30.42,31.40,26.01,23.97,24.58,24.13,27.77,30.35,29.23,27.78,26.46,26.98,28.44
1932,28.28,25.57,26.16,25.18,23.95,31.33,28.91,22.53,21.94,26.15,30.56,31.55,26.16,24.15,24.79,24.36,28.01,30.61,29.49,28.04,26.71,27.21,28.63
1933,28.34,25.63,26.21,25.23,24.00,31.40,28.97,22.60,22.02,26.22,30.63,31.61,26.25,24.25,24.85,24.41,28.07,30.69,29.53,28.08,26.74,27.26,28.68
1934,28.04,25.35,25.92,24.96,23.73,31.12,28.67,22.33,21.74,25.95,30.36,31.35,25.96,23.94,24.56,24.12,27.76,30.36,29.24,27.78,26.45,26.96,28.38
1935,28.12,25.41,26.00,25.01,23.78,31.15,28.74,22.37,21.78,25.95,30.38,31.35,25.97,23.98,24.61,24.19,27.85,30.47,29.35,27.89,26.56,27.05,28.48
