Variable:,tasmax
,Guyana,"Barima Waini (region N°1)","Cuyuni/mazaruni (region N°7)","Demerara Mahaica (region N°4)","East Berbice/corentyne (region N°6)","Essequibo Islands/west Demerara (region N°3)","Mahaica Berbice (region N°5)","Pomeroon/supenaam (region N°2","Potaro/siparuni (region N°8)","Upper Demerara/berbice (region N°10)","Upper Takutu/upper Essequibo (region N°9)"
1901,30.57,30.21,29.69,30.56,31.07,30.47,30.80,30.37,30.14,30.78,31.23
1902,30.48,29.99,29.51,30.50,31.06,30.37,30.78,30.22,30.07,30.73,31.20
1903,30.47,30.02,29.52,30.50,31.04,30.37,30.76,30.23,30.06,30.73,31.18
1904,30.11,29.70,29.18,30.11,30.67,30.00,30.36,29.90,29.68,30.33,30.81
1905,30.32,29.85,29.36,30.33,30.89,30.20,30.60,30.06,29.91,30.57,31.05
1906,30.22,29.79,29.29,30.20,30.75,30.08,30.46,29.96,29.79,30.43,30.94
1907,30.05,29.67,29.15,30.02,30.58,29.92,30.26,29.82,29.61,30.24,30.75
1908,30.21,29.75,29.26,30.20,30.77,30.08,30.46,29.96,29.79,30.43,30.93
1909,30.23,29.75,29.27,30.24,30.81,30.11,30.49,29.99,29.80,30.47,30.95
1910,30.23,29.77,29.29,30.21,30.78,30.10,30.47,29.98,29.81,30.44,30.95
1911,30.01,29.62,29.15,29.75,30.46,29.70,29.95,29.66,29.60,30.04,30.82
1912,30.35,29.84,29.41,30.13,30.85,30.04,30.36,29.95,29.97,30.44,31.20
1913,29.91,29.48,29.01,29.64,30.40,29.58,29.85,29.53,29.48,29.93,30.74
1914,29.95,29.37,28.94,29.65,30.52,29.57,29.87,29.48,29.54,29.99,30.88
1915,30.24,29.80,29.32,30.07,30.76,29.99,30.32,29.94,29.83,30.35,31.03
1916,29.78,29.38,28.87,29.59,30.30,29.52,29.82,29.47,29.34,29.86,30.58
1917,29.74,29.59,29.02,29.65,30.09,29.61,29.82,29.62,29.30,29.81,30.36
1918,29.94,29.72,29.16,29.82,30.35,29.77,30.01,29.75,29.51,30.02,30.62
1919,29.99,29.60,29.09,29.84,30.50,29.76,30.06,29.71,29.57,30.10,30.76
1920,29.87,29.46,28.96,29.71,30.38,29.63,29.95,29.57,29.44,29.97,30.64
1921,29.85,29.64,29.07,29.75,30.25,29.70,29.93,29.70,29.40,29.94,30.50
1922,29.70,29.46,28.91,29.62,30.13,29.57,29.81,29.54,29.25,29.80,30.37
1923,29.74,29.48,28.92,29.61,30.20,29.55,29.82,29.54,29.27,29.82,30.43
1924,29.78,29.44,28.91,29.63,30.27,29.57,29.85,29.53,29.32,29.87,30.52
1925,29.87,29.53,29.01,29.71,30.37,29.64,29.92,29.61,29.41,29.96,30.62
1926,30.21,30.02,29.45,30.19,30.62,30.13,30.39,30.10,29.77,30.35,30.81
1927,29.70,29.51,28.93,29.67,30.12,29.61,29.87,29.60,29.23,29.83,30.30
1928,29.79,29.58,29.01,29.73,30.22,29.67,29.94,29.66,29.33,29.90,30.42
1929,29.60,29.38,28.81,29.54,30.04,29.48,29.72,29.45,29.14,29.71,30.25
1930,29.84,29.63,29.06,29.81,30.25,29.73,30.02,29.71,29.38,29.98,30.46
1931,30.34,30.15,29.58,30.38,30.72,30.30,30.59,30.27,29.90,30.53,30.91
1932,30.27,30.23,29.59,30.28,30.60,30.25,30.46,30.27,29.80,30.40,30.78
1933,29.79,29.59,29.02,29.73,30.23,29.67,29.94,29.66,29.34,29.91,30.41
1934,29.77,29.63,29.03,29.69,30.17,29.65,29.88,29.66,29.30,29.86,30.37
1935,29.99,29.70,29.15,29.87,30.47,29.81,30.09,29.80,29.55,30.11,30.69
1936,30.09,29.80,29.24,29.96,30.58,29.89,30.17,29.87,29.63,30.18,30.78
1937,30.24,30.06,29.47,30.18,30.66,30.13,30.37,30.13,29.80,30.37,30.85
