Variable:,tasmax
,Iraq,Anbar,Basrah,Muthanna,Qadissiya,Najaf,Erbil,Kirkuk,Babil,Baghdad,Thi-Qar,Dahuk,Diyala,Kerbala,Missan,Ninewa,"Salah al-Din",Sulaymaniyah,Wassit
1901,29.28,28.31,32.55,31.80,31.57,30.77,23.70,28.84,31.13,30.76,32.04,22.22,30.59,30.82,32.20,26.97,29.79,24.31,31.47
1902,28.91,28.03,31.96,31.41,31.30,30.60,23.07,28.38,30.93,30.57,31.59,21.51,30.27,30.69,31.73,26.50,29.50,23.77,31.15
1903,28.28,27.26,31.16,30.62,30.64,29.98,22.83,27.97,30.38,30.06,30.85,21.23,29.74,30.18,31.03,26.05,29.00,23.38,30.56
1904,28.46,27.58,31.46,30.95,30.90,30.24,22.55,27.90,30.59,30.23,31.13,20.87,29.85,30.37,31.26,25.96,29.09,23.23,30.76
1905,28.48,27.61,31.40,30.86,30.83,30.18,22.75,28.02,30.54,30.21,31.06,21.07,29.87,30.34,31.21,26.08,29.14,23.38,30.72
1906,28.59,27.73,31.42,30.89,30.88,30.24,23.08,28.21,30.59,30.27,31.10,21.48,29.96,30.40,31.25,26.33,29.26,23.59,30.76
1907,28.24,27.36,31.17,30.68,30.65,30.02,22.42,27.76,30.37,30.04,30.85,20.69,29.66,30.19,30.99,25.78,28.90,23.12,30.53
1908,28.31,27.39,31.66,31.05,30.82,30.19,22.16,27.58,30.46,30.07,31.17,20.56,29.66,30.26,31.25,25.59,28.81,22.94,30.65
1909,28.92,28.16,32.04,31.46,31.29,30.64,22.82,28.29,30.92,30.54,31.62,21.12,30.25,30.68,31.73,26.34,29.48,23.59,31.13
1910,28.48,27.63,31.21,30.64,30.78,30.08,22.82,28.17,30.54,30.25,30.96,21.28,29.98,30.34,31.18,26.26,29.24,23.52,30.74
1911,27.66,27.03,30.42,30.10,30.15,29.69,21.27,26.84,29.93,29.55,30.18,19.64,28.98,29.83,30.28,24.93,28.23,22.02,29.94
1912,28.76,27.90,31.46,30.91,31.04,30.30,23.31,28.52,30.77,30.49,31.22,21.70,30.24,30.54,31.43,26.58,29.54,23.91,30.98
1913,28.39,27.56,31.20,30.70,30.69,30.11,22.82,27.94,30.42,30.10,30.88,21.23,29.75,30.25,31.03,26.06,29.01,23.35,30.56
1914,28.85,27.99,31.77,31.18,31.15,30.45,23.28,28.47,30.82,30.49,31.43,21.61,30.24,30.59,31.60,26.49,29.49,23.90,31.05
1915,29.15,28.33,32.06,31.45,31.40,30.68,23.61,28.77,31.04,30.70,31.70,21.95,30.47,30.78,31.87,26.84,29.77,24.16,31.28
1916,29.12,28.50,31.74,31.26,31.30,30.63,23.49,28.71,30.99,30.67,31.48,21.82,30.39,30.78,31.63,26.86,29.76,24.00,31.17
1917,29.18,28.38,31.91,31.33,31.38,30.62,23.85,28.92,31.05,30.75,31.62,22.23,30.55,30.80,31.83,27.02,29.88,24.33,31.30
1918,28.83,28.12,31.42,31.00,31.04,30.39,23.22,28.49,30.78,30.49,31.16,21.57,30.19,30.58,31.32,26.60,29.54,23.78,30.94
1919,29.07,28.32,32.02,31.48,31.33,30.68,23.29,28.62,30.98,30.62,31.61,21.52,30.35,30.75,31.73,26.66,29.66,23.94,31.18
1920,28.48,27.79,31.69,31.20,30.95,30.43,22.03,27.60,30.59,30.19,31.24,20.22,29.73,30.41,31.27,25.56,28.91,22.86,30.69
1921,28.47,27.62,31.92,31.28,30.97,30.34,22.21,27.66,30.58,30.17,31.38,20.49,29.76,30.36,31.45,25.59,28.90,23.00,30.78
1922,29.23,28.38,32.19,31.56,31.48,30.74,23.73,28.86,31.10,30.75,31.81,22.14,30.55,30.83,31.98,26.98,29.84,24.26,31.37
1923,29.09,28.38,31.79,31.34,31.31,30.66,23.54,28.65,30.98,30.65,31.51,21.98,30.36,30.76,31.64,26.85,29.71,24.00,31.16
1924,29.22,28.40,32.38,31.72,31.53,30.79,23.42,28.67,31.12,30.75,31.92,21.78,30.50,30.85,32.05,26.73,29.75,24.06,31.39
1925,29.08,28.34,31.71,31.26,31.27,30.61,23.72,28.74,30.94,30.63,31.44,22.14,30.39,30.72,31.60,26.91,29.72,24.14,31.13
1926,28.93,28.18,31.84,31.32,31.21,30.56,23.15,28.39,30.87,30.52,31.48,21.54,30.21,30.64,31.60,26.49,29.49,23.72,31.06
1927,28.99,28.29,31.99,31.49,31.31,30.69,22.99,28.34,30.94,30.57,31.60,21.33,30.24,30.72,31.68,26.43,29.52,23.62,31.12
1928,28.70,28.16,31.72,31.44,31.13,30.69,22.09,27.70,30.77,30.34,31.35,20.34,29.80,30.58,31.27,25.85,29.15,22.76,30.79
1929,28.70,28.02,31.69,31.30,31.11,30.54,22.63,27.92,30.74,30.30,31.33,20.93,29.86,30.51,31.33,25.98,29.10,23.23,30.83
1930,29.38,28.74,31.84,31.48,31.49,30.81,23.92,29.11,31.22,30.96,31.61,22.28,30.64,31.02,31.67,27.27,30.18,24.35,31.28
1931,28.74,28.12,31.66,31.30,31.12,30.57,22.59,27.95,30.76,30.33,31.32,20.88,29.88,30.57,31.30,26.02,29.21,23.21,30.83
1932,28.84,28.31,31.44,31.16,31.08,30.55,22.93,28.21,30.77,30.40,31.21,21.25,30.00,30.61,31.22,26.35,29.43,23.48,30.82
1933,28.31,27.58,31.21,30.81,30.67,30.16,22.36,27.69,30.36,29.96,30.86,20.65,29.59,30.15,30.92,25.64,28.89,22.99,30.46
1934,28.66,28.04,31.43,31.13,30.99,30.47,22.69,28.00,30.64,30.22,31.14,20.98,29.80,30.47,31.14,26.05,29.20,23.24,30.70
1935,29.39,28.67,32.20,31.76,31.65,30.97,23.76,28.94,31.25,30.91,31.90,22.10,30.56,31.06,31.96,27.05,29.99,24.24,31.42
1936,28.98,28.29,31.70,31.31,31.26,30.65,23.24,28.47,30.94,30.56,31.44,21.55,30.22,30.73,31.53,26.52,29.57,23.85,31.06
1937,29.34,28.71,31.82,31.44,31.39,30.77,23.89,29.07,31.11,30.85,31.56,22.29,30.55,30.93,31.64,27.30,30.13,24.31,31.21
1938,28.96,28.00,31.97,31.36,31.29,30.57,23.50,28.68,30.94,30.61,31.60,21.81,30.36,30.66,31.77,26.59,29.62,24.10,31.21
1939,29.18,28.51,31.86,31.41,31.36,30.74,23.55,28.79,31.03,30.70,31.58,21.91,30.42,30.86,31.70,26.84,29.83,24.12,31.19
1940,29.38,28.54,32.28,31.67,31.59,30.86,23.92,29.12,31.24,30.95,31.90,22.26,30.74,31.01,32.07,27.08,30.07,24.50,31.48
1941,29.18,28.39,32.05,31.52,31.39,30.75,23.65,28.80,31.06,30.75,31.69,21.99,30.45,30.84,31.81,26.83,29.79,24.17,31.24
1942,28.96,28.17,32.07,31.55,31.35,30.72,23.04,28.32,30.95,30.54,31.66,21.30,30.19,30.71,31.75,26.28,29.43,23.69,31.14
1943,28.76,27.91,31.61,31.16,31.16,30.46,23.12,28.36,30.80,30.38,31.37,21.42,30.10,30.53,31.48,26.34,29.36,23.70,30.98
1944,29.11,28.25,32.01,31.45,31.34,30.67,23.62,28.82,31.03,30.71,31.65,21.92,30.49,30.76,31.80,26.80,29.82,24.17,31.25
1945,28.59,27.73,31.60,31.14,31.07,30.37,22.83,28.04,30.59,30.13,31.32,21.14,29.81,30.33,31.41,26.04,29.08,23.37,30.83
1946,28.85,28.14,31.99,31.51,31.25,30.65,22.82,28.09,30.80,30.35,31.54,21.11,29.92,30.57,31.58,26.14,29.24,23.42,30.95
1947,29.63,28.99,32.48,31.94,31.65,31.08,24.07,29.25,31.37,31.11,32.00,22.44,30.79,31.19,32.04,27.37,30.31,24.53,31.50
1948,28.67,27.70,31.82,31.23,31.12,30.37,23.02,28.23,30.66,30.26,31.43,21.32,30.04,30.37,31.57,26.17,29.26,23.63,30.94
1949,28.44,27.56,31.35,30.95,30.94,30.22,22.74,27.97,30.48,30.05,31.10,21.07,29.73,30.20,31.21,25.97,29.02,23.27,30.69
1950,28.59,27.82,31.55,31.15,31.08,30.43,22.67,27.91,30.66,30.21,31.29,20.96,29.78,30.43,31.34,25.95,29.06,23.26,30.77
1951,29.28,28.61,32.60,32.03,31.60,31.13,23.15,28.39,31.06,30.65,32.09,21.43,30.29,30.95,32.14,26.45,29.56,23.80,31.34
1952,29.60,28.84,32.62,32.09,31.80,31.29,23.89,29.10,31.38,30.98,32.15,22.22,30.70,31.26,32.21,27.20,30.16,24.38,31.61
1953,28.70,27.82,32.26,31.60,31.06,30.46,22.70,27.97,30.54,30.06,31.67,20.88,29.81,30.32,31.72,25.94,29.06,23.38,30.84
1954,29.20,28.59,32.27,31.74,31.27,30.87,23.36,28.56,30.80,30.38,31.71,21.79,30.10,30.75,31.76,26.78,29.66,23.78,31.04
1955,30.14,29.43,32.83,32.40,32.24,31.69,24.70,29.92,31.89,31.54,32.43,23.10,31.21,31.78,32.54,28.03,30.86,25.00,32.02
1956,28.71,27.93,31.99,31.43,31.08,30.58,22.55,27.94,30.68,30.30,31.52,20.79,29.94,30.48,31.59,25.97,29.10,23.31,30.88
1957,28.50,28.02,31.19,30.82,30.50,30.16,22.75,27.92,30.22,29.92,30.70,21.19,29.54,30.11,30.73,26.17,28.99,23.20,30.23
1958,29.61,28.67,32.94,32.40,32.00,31.26,23.75,29.07,31.57,31.14,32.49,21.98,30.89,31.27,32.52,27.02,30.12,24.45,31.81
