Variable:,tasmax
,"Korea, Republic of",Cheju-do,Chollabuk-do,Chollanam-do,Chungchongbuk-do,Chungchongnam-do,Inchon,Kang-won-do,Kwangju,Kyonggi-do,Kyongsangbuk-do,Kyongsangnam-do,Pusan,Seoul,Taegu,Taejon
1901,14.89,17.20,14.75,16.23,14.61,15.45,15.30,13.54,16.33,14.91,15.07,15.50,16.60,14.91,15.67,15.33
1902,15.41,17.91,15.30,16.82,15.15,16.08,15.87,13.95,16.97,15.42,15.60,16.03,17.15,15.39,16.18,15.98
1903,15.30,17.59,15.17,16.64,15.04,15.88,15.72,13.92,16.73,15.31,15.48,15.89,16.99,15.30,16.06,15.77
1904,15.39,17.86,15.31,16.83,15.12,15.99,15.73,13.89,16.95,15.32,15.59,16.09,17.18,15.29,16.24,15.90
1905,15.31,17.83,15.21,16.67,15.11,15.90,15.65,13.80,16.70,15.18,15.59,16.03,17.16,15.13,16.26,15.77
1906,14.74,17.31,14.64,16.11,14.52,15.37,15.13,13.19,16.11,14.66,15.00,15.48,16.65,14.62,15.70,15.21
1907,15.05,17.52,14.95,16.41,14.87,15.65,15.42,13.51,16.42,14.92,15.35,15.79,16.94,14.87,15.99,15.51
1908,14.94,17.54,14.88,16.38,14.73,15.55,15.21,13.30,16.39,14.75,15.25,15.74,16.84,14.69,15.91,15.37
1909,14.84,17.39,14.74,16.25,14.64,15.41,15.13,13.22,16.25,14.66,15.19,15.62,16.75,14.61,15.83,15.26
1910,14.55,17.10,14.48,15.98,14.36,15.11,14.82,12.92,16.01,14.35,14.89,15.33,16.44,14.30,15.52,14.98
1911,14.95,17.52,14.88,16.40,14.78,15.48,15.05,13.32,16.39,14.64,15.33,15.76,16.90,14.54,15.96,15.41
1912,14.73,17.28,14.65,16.14,14.52,15.27,14.93,13.12,16.16,14.49,15.09,15.53,16.68,14.42,15.75,15.16
1913,14.50,17.13,14.42,15.91,14.29,15.07,14.80,12.89,15.93,14.33,14.83,15.30,16.45,14.29,15.50,14.91
1914,15.82,18.42,15.76,17.25,15.62,16.41,16.08,14.19,17.24,15.60,16.15,16.62,17.75,15.54,16.78,16.28
1915,15.05,17.73,14.99,16.51,14.85,15.58,15.19,13.38,16.50,14.73,15.43,15.91,17.09,14.66,16.09,15.48
1916,15.23,17.94,15.18,16.70,15.01,15.72,15.31,13.58,16.66,14.89,15.60,16.08,17.26,14.81,16.26,15.64
1917,14.22,16.61,14.10,15.57,14.01,14.79,14.58,12.70,15.58,14.11,14.53,14.95,16.05,14.07,15.17,14.62
1918,14.73,17.13,14.62,16.09,14.51,15.31,15.14,13.20,16.11,14.64,15.03,15.46,16.54,14.61,15.66,15.13
1919,15.33,17.82,15.26,16.77,15.11,15.84,15.60,13.74,16.77,15.11,15.66,16.13,17.33,15.06,16.31,15.75
1920,15.40,17.94,15.31,16.82,15.16,15.94,15.71,13.83,16.83,15.23,15.72,16.17,17.36,15.19,16.31,15.81
1921,14.77,17.32,14.69,16.23,14.54,15.29,15.05,13.19,16.22,14.56,15.08,15.57,16.78,14.52,15.71,15.18
1922,15.34,18.06,15.27,16.84,15.09,15.79,15.51,13.70,16.80,15.05,15.68,16.23,17.53,15.00,16.36,15.70
1923,14.80,17.55,14.73,16.29,14.55,15.27,14.97,13.17,16.26,14.51,15.14,15.65,16.92,14.45,15.78,15.19
1924,15.10,17.57,15.02,16.52,14.89,15.62,15.38,13.52,16.54,14.90,15.43,15.87,17.05,14.85,16.02,15.52
1925,14.81,17.43,14.72,16.26,14.56,15.29,15.00,13.24,16.24,14.54,15.14,15.63,16.89,14.48,15.77,15.20
1926,14.83,17.50,14.77,16.32,14.58,15.32,15.07,13.21,16.30,14.60,15.13,15.67,16.83,14.56,15.84,15.23
1927,15.11,17.68,15.05,16.57,14.89,15.63,15.39,13.52,16.58,14.91,15.43,15.90,17.05,14.87,16.06,15.53
1928,15.09,17.79,15.01,16.56,14.86,15.58,15.28,13.49,16.54,14.83,15.43,15.94,17.23,14.77,16.06,15.50
1929,15.50,17.97,15.44,16.94,15.31,16.05,15.76,13.90,16.95,15.30,15.83,16.28,17.40,15.24,16.46,15.95
1930,15.60,18.17,15.54,17.05,15.39,16.12,15.81,13.98,17.06,15.35,15.94,16.40,17.59,15.28,16.58,16.03
1931,14.88,17.64,14.80,16.34,14.65,15.36,15.02,13.26,16.29,14.59,15.23,15.74,17.03,14.51,15.86,15.28
1932,15.24,17.68,15.17,16.71,15.02,15.78,15.57,13.63,16.70,15.07,15.55,16.02,17.15,15.03,16.19,15.68
1933,14.84,17.59,14.76,16.35,14.59,15.32,15.01,13.20,16.31,14.56,15.18,15.71,17.01,14.51,15.84,15.22
1934,14.62,17.42,14.57,16.14,14.38,15.11,14.85,12.97,16.10,14.38,14.94,15.50,16.76,14.34,15.60,15.01
1935,15.56,18.13,15.50,17.04,15.34,16.10,15.91,13.94,17.01,15.40,15.85,16.35,17.48,15.36,16.47,15.99
1936,14.34,17.09,14.29,15.85,14.12,14.83,14.59,12.69,15.81,14.11,14.66,15.19,16.42,14.06,15.31,14.75
1937,15.67,18.33,15.62,17.16,15.46,16.21,15.90,14.03,17.14,15.44,15.99,16.47,17.60,15.38,16.67,16.12
1938,15.36,17.91,15.25,16.77,15.15,15.85,15.61,13.79,16.75,15.16,15.70,16.15,17.39,15.10,16.31,15.77
1939,16.19,18.54,16.00,17.49,16.04,16.64,16.47,14.69,17.50,16.04,16.57,16.89,18.17,15.99,17.21,16.55
1940,15.57,18.20,15.41,16.98,15.34,16.04,15.80,14.00,16.91,15.35,15.93,16.42,17.74,15.30,16.58,15.95
1941,15.64,18.25,15.48,17.03,15.46,16.07,15.90,14.11,17.03,15.46,15.99,16.41,17.72,15.41,16.58,15.98
1942,15.82,18.47,15.67,17.23,15.61,16.21,16.02,14.29,17.22,15.61,16.15,16.64,17.93,15.56,16.80,16.13
1943,16.01,18.38,15.92,17.32,15.85,16.50,16.30,14.53,17.34,15.87,16.31,16.69,17.88,15.81,16.86,16.43
1944,15.74,18.31,15.63,17.14,15.52,16.17,15.93,14.19,17.14,15.50,16.10,16.59,17.84,15.44,16.69,16.09
1945,15.12,17.88,15.05,16.61,14.87,15.55,15.26,13.50,16.58,14.83,15.45,16.04,17.27,14.77,16.08,15.48
1946,15.96,18.58,15.84,17.39,15.73,16.40,16.09,14.45,17.40,15.69,16.30,16.75,17.97,15.63,16.83,16.32
1947,14.53,17.39,14.45,16.11,14.23,14.90,14.58,12.90,16.02,14.16,14.87,15.51,16.75,14.10,15.55,14.82
1948,16.25,18.88,16.17,17.65,16.06,16.75,16.44,14.72,17.64,16.01,16.58,17.02,18.21,15.95,17.13,16.66
