Variable:,tasmax
,Laos,Attapu,Bokeo,Bolikhamxai,Champasak,Houaphan,Khammouan,Louangphabang,Louang-Namtha,Oudomxai,Phongsali,Salavan,Savannakhet,Xaignabouli,Xekong,"Vientiane capital",Vientiane,Xiangkhouang
1901,28.05,28.64,29.30,28.08,30.50,26.30,29.15,27.18,27.77,27.86,26.23,28.89,29.87,28.98,26.45,29.06,27.81,25.69
1902,28.01,28.66,29.14,28.08,30.50,26.32,29.18,27.11,27.62,27.75,26.12,28.93,29.90,28.88,26.50,29.00,27.74,25.65
1903,27.79,28.47,29.04,27.80,30.27,26.12,28.92,26.90,27.56,27.60,26.08,28.70,29.64,28.58,26.28,28.66,27.42,25.40
1904,27.70,28.34,28.90,27.72,30.10,26.09,28.80,26.86,27.44,27.52,26.01,28.55,29.51,28.52,26.17,28.58,27.35,25.35
1905,28.47,29.24,29.42,28.59,31.23,26.56,29.68,27.51,27.84,28.09,26.27,29.50,30.48,29.45,26.93,29.67,28.35,26.12
1906,28.50,29.23,29.54,28.60,31.23,26.59,29.68,27.53,27.95,28.15,26.32,29.50,30.48,29.49,26.93,29.69,28.38,26.14
1907,27.85,28.49,29.03,27.88,30.29,26.19,28.98,26.98,27.54,27.63,26.07,28.73,29.69,28.69,26.32,28.79,27.54,25.49
1908,27.91,28.53,29.12,27.93,30.36,26.21,29.01,27.04,27.64,27.71,26.14,28.78,29.74,28.77,26.34,28.85,27.61,25.54
1909,27.94,28.56,29.17,27.97,30.39,26.26,29.06,27.06,27.67,27.73,26.16,28.81,29.78,28.79,26.40,28.88,27.63,25.58
1910,27.80,28.47,28.99,27.83,30.25,26.15,28.94,26.93,27.52,27.59,26.07,28.69,29.65,28.61,26.29,28.69,27.46,25.44
1911,28.16,28.85,29.19,28.25,30.76,26.40,29.34,27.26,27.67,27.86,26.16,29.12,30.08,29.07,26.63,29.24,27.95,25.82
1912,28.00,28.71,29.14,28.04,30.57,26.26,29.15,27.08,27.63,27.73,26.13,28.95,29.90,28.84,26.49,28.97,27.70,25.63
1913,27.79,28.44,28.99,27.82,30.23,26.14,28.90,26.93,27.50,27.59,26.04,28.67,29.62,28.63,26.26,28.71,27.48,25.44
1914,27.96,28.68,29.03,28.04,30.50,26.30,29.18,27.03,27.54,27.65,26.08,28.94,29.89,28.75,26.51,28.88,27.62,25.60
1915,27.83,28.47,29.07,27.86,30.24,26.22,28.99,26.93,27.59,27.63,26.12,28.73,29.68,28.61,26.34,28.67,27.44,25.46
1916,27.77,28.22,29.03,27.77,29.95,26.27,28.75,27.08,27.56,27.71,26.19,28.45,29.39,28.68,26.09,28.67,27.50,25.52
1917,27.68,28.22,28.90,27.70,29.97,26.13,28.70,26.94,27.40,27.56,25.96,28.43,29.37,28.57,26.06,28.60,27.41,25.42
