Variable:,tasmax
,Libya,"Ajdabiya (agedabia)","Al Aziziyah","Al Fatah","Al Jabal Al Akhdar","Al Jufrah","Al Khoms","Al Kufrah","Ash Shati","Awbari (ubari)","Az Zawia (azzawiya)",Banghazi,Darnah,Ghadamis,Gharyan,Misurata,Murzuq,"Nuqat Al Khams",Sabha,"Sawfajjin (sofuljeen)","Surt (sirte)",Tarhunah,"Tripoli (tarabulus)","Tubruq (tobruk)","Yafran (yefren)","Zeleitin (zliten)"
1901,29.31,29.03,24.75,25.20,24.49,29.00,24.25,30.89,29.16,29.99,25.02,26.63,25.15,28.01,26.91,24.90,30.76,25.11,29.70,26.75,27.30,24.56,24.52,26.98,25.31,24.86
1902,29.25,28.94,24.82,25.10,24.36,28.92,24.31,30.86,29.07,29.90,25.09,26.54,24.95,28.02,26.91,24.93,30.71,25.17,29.59,26.74,27.23,24.63,24.61,26.74,25.37,24.90
1903,29.13,28.83,24.32,24.88,24.11,28.83,23.88,30.83,28.92,29.91,24.57,26.34,24.68,27.60,26.52,24.49,30.74,24.62,29.56,26.36,26.99,24.17,24.15,26.45,24.86,24.46
1904,29.19,28.85,24.61,24.94,24.17,28.92,24.18,30.78,29.07,30.01,24.88,26.40,24.75,27.84,26.75,24.77,30.78,24.92,29.65,26.58,27.12,24.45,24.43,26.49,25.14,24.76
1905,29.17,28.88,24.35,24.92,24.20,28.82,23.86,30.84,28.95,29.95,24.64,26.38,24.85,27.69,26.56,24.50,30.75,24.72,29.57,26.36,26.97,24.18,24.14,26.69,24.93,24.45
1906,29.30,28.98,24.25,24.92,24.19,29.06,23.76,30.95,29.25,30.24,24.53,26.39,24.84,27.79,26.63,24.41,30.88,24.62,29.89,26.38,27.09,24.06,24.04,26.75,24.85,24.36
1907,29.10,28.78,24.21,24.70,23.93,28.75,23.69,30.84,28.89,29.91,24.48,26.16,24.58,27.62,26.45,24.31,30.73,24.57,29.50,26.20,26.81,24.01,23.98,26.43,24.80,24.29
1908,29.16,28.83,24.46,24.84,24.09,28.83,23.98,30.88,28.95,29.89,24.74,26.30,24.71,27.73,26.63,24.58,30.72,24.83,29.54,26.44,27.00,24.28,24.26,26.54,25.01,24.55
1909,29.17,28.94,24.31,24.93,24.24,28.65,23.83,31.00,28.77,29.82,24.58,26.34,24.96,27.57,26.44,24.44,30.70,24.65,29.37,26.24,26.80,24.12,24.10,27.06,24.86,24.40
1910,29.06,28.79,24.19,24.80,24.06,28.63,23.71,30.86,28.70,29.76,24.46,26.23,24.70,27.48,26.33,24.30,30.66,24.52,29.33,26.14,26.75,24.02,23.98,26.59,24.75,24.27
