Variable:,tasmax
,Liechtenstein,Balzers,Eschen,Gamprin,Mauren,Planken,Ruggell,Schaan,Schellenberg,Triesen,Triesenberg,Vaduz
1901,8.16,8.27,8.15,8.14,8.14,8.14,8.14,8.24,8.14,8.14,8.14,8.14
1902,8.39,8.50,8.38,8.37,8.37,8.37,8.37,8.47,8.37,8.37,8.37,8.37
1903,8.85,8.95,8.84,8.83,8.83,8.83,8.83,8.93,8.83,8.83,8.83,8.83
1904,9.34,9.45,9.33,9.32,9.32,9.32,9.32,9.42,9.32,9.32,9.32,9.32
1905,8.55,8.65,8.54,8.53,8.53,8.53,8.53,8.63,8.53,8.53,8.53,8.53
1906,8.75,8.86,8.74,8.73,8.73,8.73,8.73,8.84,8.73,8.73,8.73,8.73
1907,8.69,8.80,8.68,8.67,8.67,8.67,8.67,8.78,8.67,8.67,8.67,8.67
1908,8.33,8.44,8.32,8.31,8.31,8.31,8.31,8.42,8.31,8.31,8.31,8.31
1909,8.00,8.11,7.99,7.98,7.98,7.98,7.98,8.09,7.98,7.98,7.98,7.98
1910,8.55,8.66,8.54,8.53,8.53,8.53,8.53,8.63,8.53,8.53,8.53,8.53
1911,9.66,9.77,9.65,9.64,9.64,9.64,9.64,9.74,9.64,9.64,9.64,9.64
1912,8.39,8.50,8.38,8.37,8.37,8.37,8.37,8.47,8.37,8.37,8.37,8.37
1913,8.86,8.97,8.85,8.84,8.84,8.84,8.84,8.94,8.84,8.84,8.84,8.84
1914,8.58,8.69,8.57,8.56,8.56,8.56,8.56,8.66,8.56,8.56,8.56,8.56
1915,8.46,8.57,8.45,8.44,8.44,8.44,8.44,8.54,8.44,8.44,8.44,8.44
1916,8.95,9.05,8.94,8.93,8.93,8.93,8.93,9.03,8.93,8.93,8.93,8.93
1917,8.08,8.18,8.07,8.06,8.06,8.06,8.06,8.16,8.06,8.06,8.06,8.06
1918,8.97,9.07,8.96,8.95,8.95,8.95,8.95,9.05,8.95,8.95,8.95,8.95
1919,8.13,8.24,8.12,8.11,8.11,8.11,8.11,8.22,8.11,8.11,8.11,8.11
1920,9.49,9.60,9.48,9.47,9.47,9.47,9.47,9.57,9.47,9.47,9.47,9.47
1921,10.05,10.16,10.04,10.03,10.03,10.03,10.03,10.13,10.03,10.03,10.03,10.03
1922,8.19,8.30,8.18,8.17,8.17,8.17,8.17,8.27,8.17,8.17,8.17,8.17
1923,9.15,9.26,9.14,9.13,9.13,9.13,9.13,9.23,9.13,9.13,9.13,9.13
1924,8.40,8.51,8.39,8.38,8.38,8.38,8.38,8.49,8.38,8.38,8.38,8.38
1925,8.60,8.71,8.59,8.58,8.58,8.58,8.58,8.68,8.58,8.58,8.58,8.58
1926,9.36,9.47,9.35,9.34,9.34,9.34,9.34,9.44,9.34,9.34,9.34,9.34
1927,9.21,9.32,9.20,9.19,9.19,9.19,9.19,9.29,9.19,9.19,9.19,9.19
1928,9.63,9.74,9.62,9.61,9.61,9.61,9.61,9.71,9.61,9.61,9.61,9.61
1929,9.10,9.21,9.09,9.08,9.08,9.08,9.08,9.18,9.08,9.08,9.08,9.08
1930,9.57,9.68,9.56,9.55,9.55,9.55,9.55,9.65,9.55,9.55,9.55,9.55
1931,8.36,8.48,8.35,8.34,8.34,8.34,8.34,8.45,8.34,8.34,8.34,8.34
1932,9.00,9.11,8.99,8.98,8.98,8.98,8.98,9.08,8.98,8.98,8.98,8.98
1933,8.33,8.44,8.32,8.31,8.31,8.31,8.31,8.42,8.31,8.31,8.31,8.31
1934,10.13,10.23,10.12,10.11,10.11,10.11,10.11,10.21,10.11,10.11,10.11,10.11
1935,9.05,9.16,9.04,9.03,9.03,9.03,9.03,9.13,9.03,9.03,9.03,9.03
1936,9.06,9.17,9.05,9.04,9.04,9.04,9.04,9.14,9.04,9.04,9.04,9.04
1937,9.39,9.50,9.38,9.37,9.37,9.37,9.37,9.47,9.37,9.37,9.37,9.37
