Variable:,tasmax
,"Macao SAR, China","Administrative unit not available"
1901,25.49,25.49
1902,26.05,26.05
1903,25.38,25.38
1904,25.26,25.26
1905,25.76,25.76
1906,25.83,25.83
1907,25.73,25.73
1908,25.67,25.67
1909,26.00,26.00
1910,25.63,25.63
1911,25.64,25.64
1912,26.00,26.00
1913,25.77,25.77
1914,26.26,26.26
1915,26.55,26.55
1916,26.13,26.13
1917,25.38,25.38
1918,25.68,25.68
1919,25.99,25.99
1920,25.53,25.53
1921,26.07,26.07
1922,26.16,26.16
1923,26.53,26.53
1924,26.18,26.18
1925,25.58,25.58
1926,25.83,25.83
1927,26.01,26.01
1928,26.25,26.25
1929,26.45,26.45
1930,26.30,26.30
1931,26.47,26.47
1932,26.21,26.21
1933,26.41,26.41
1934,25.76,25.76
1935,26.34,26.34
1936,26.03,26.03
1937,26.64,26.64
1938,26.43,26.43
1939,26.65,26.65
1940,27.11,27.11
1941,26.98,26.98
1942,26.94,26.94
1943,27.11,27.11
1944,26.58,26.58
1945,25.93,25.93
1946,27.15,27.15
1947,25.78,25.78
1948,26.26,26.26
1949,26.79,26.79
1950,26.70,26.70
1951,26.02,26.02
1952,26.86,26.86
1953,26.37,26.37
1954,26.56,26.56
1955,26.75,26.75
1956,26.26,26.26
1957,26.04,26.04
1958,26.63,26.63
1959,26.64,26.64
1960,26.73,26.73
1961,26.61,26.61
1962,26.53,26.53
1963,27.01,27.01
1964,26.31,26.31
1965,26.43,26.43
1966,27.09,27.09
1967,26.02,26.02
1968,26.13,26.13
1969,25.93,25.93
1970,25.78,25.78
1971,26.05,26.05
1972,26.01,26.01
1973,26.37,26.37
1974,26.11,26.11
1975,25.93,25.93
1976,25.68,25.68
1977,26.74,26.74
1978,26.09,26.09
1979,26.26,26.26
1980,26.38,26.38
1981,26.27,26.27
1982,26.03,26.03
1983,25.98,25.98
1984,25.36,25.36
1985,25.58,25.58
1986,26.22,26.22
1987,26.68,26.68
1988,25.93,25.93
1989,26.21,26.21
1990,26.40,26.40
1991,26.72,26.72
1992,25.96,25.96
1993,26.22,26.22
1994,26.57,26.57
1995,25.87,25.87
1996,26.08,26.08
1997,26.22,26.22
1998,27.02,27.02
1999,26.82,26.82
2000,26.42,26.42
2001,26.58,26.58
2002,26.83,26.83
2003,27.00,27.00
2004,26.67,26.67
2005,26.18,26.18
2006,26.63,26.63
2007,26.58,26.58
2008,25.86,25.86
2009,26.44,26.44
2010,26.08,26.08
2011,25.78,25.78
2012,25.89,25.89
2013,26.11,26.11
2014,26.67,26.67
2015,26.88,26.88
2016,26.83,26.83
2017,27.04,27.04
2018,27.08,27.08
2019,27.49,27.49
2020,27.40,27.40
