Variable:,tasmax
,"Marshall Islands","Administrative unit not available"
1901,30.04,30.23
1902,30.04,30.23
1903,30.04,30.23
1904,30.04,30.23
1905,30.04,30.23
1906,30.04,30.23
1907,30.04,30.23
1908,30.04,30.23
1909,30.04,30.23
1910,30.04,30.23
1911,30.04,30.23
1912,30.04,30.23
1913,30.04,30.23
1914,30.04,30.23
1915,30.04,30.23
1916,30.04,30.23
1917,30.04,30.23
1918,30.04,30.23
1919,30.04,30.23
1920,30.04,30.23
1921,30.00,30.17
1922,30.01,30.19
1923,29.95,30.11
1924,29.96,30.12
1925,30.12,30.34
1926,30.06,30.25
1927,30.32,30.61
1928,30.28,30.57
1929,30.23,30.48
1930,30.09,30.31
1931,30.18,30.41
1932,30.22,30.47
1933,30.18,30.41
1934,30.20,30.44
1935,30.18,30.45
1936,30.04,30.24
1937,30.08,30.30
1938,30.02,30.20
1939,30.01,30.18
1940,29.96,30.11
1941,29.99,30.16
1942,30.04,30.23
1943,30.04,30.23
1944,30.03,30.21
1945,30.00,30.18
1946,30.28,30.46
1947,30.33,30.49
1948,30.15,30.28
1949,30.01,30.14
1950,30.02,30.18
1951,30.46,30.63
1952,30.69,30.87
1953,30.63,30.81
1954,30.33,30.53
1955,29.68,29.87
1956,29.56,29.83
1957,29.93,30.17
1958,30.13,30.32
1959,29.90,30.13
1960,29.67,29.91
1961,29.78,30.00
1962,29.78,30.01
1963,29.93,30.20
1964,29.56,29.80
1965,29.63,29.88
1966,29.86,30.10
1967,29.83,30.07
1968,29.90,30.13
1969,30.07,30.31
1970,29.85,30.08
1971,29.41,29.68
1972,29.63,29.86
1973,29.76,30.02
1974,29.61,29.84
1975,29.38,29.61
1976,29.60,29.81
1977,30.21,30.36
1978,30.27,30.46
1979,30.28,30.47
1980,30.35,30.56
1981,30.29,30.50
1982,30.23,30.41
1983,30.43,30.64
1984,30.45,30.64
1985,30.43,30.61
1986,30.51,30.66
1987,30.36,30.51
1988,30.33,30.48
1989,30.33,30.48
1990,30.58,30.72
1991,30.39,30.56
1992,30.37,30.55
1993,30.23,30.43
1994,30.48,30.65
1995,30.13,30.34
1996,30.33,30.52
1997,29.90,30.14
1998,29.93,30.16
1999,29.47,29.69
2000,29.71,29.94
2001,30.21,30.42
2002,30.38,30.62
2003,30.46,30.68
2004,30.83,31.00
2005,30.88,31.04
2006,30.68,30.86
2007,30.38,30.59
2008,29.97,30.18
2009,30.32,30.50
2010,29.67,29.87
2011,30.16,30.36
2012,30.47,30.68
2013,30.51,30.71
2014,30.43,30.65
2015,30.52,30.72
2016,30.57,30.79
2017,30.54,30.76
2018,30.31,30.54
2019,30.48,30.73
2020,30.61,30.84
