Variable:,tasmax
,"Northern Mariana Islands","Administrative unit not available"
1901,30.19,30.19
1902,30.19,30.19
1903,30.19,30.19
1904,30.19,30.19
1905,30.19,30.19
1906,30.19,30.19
1907,30.19,30.19
1908,30.19,30.19
1909,30.19,30.19
1910,30.19,30.19
1911,30.19,30.19
1912,30.19,30.19
1913,30.19,30.19
1914,30.19,30.19
1915,30.19,30.19
1916,30.19,30.19
1917,30.19,30.19
1918,30.19,30.19
1919,30.19,30.19
1920,30.19,30.19
1921,29.94,29.94
1922,29.83,29.83
1923,29.84,29.84
1924,29.86,29.86
1925,30.03,30.03
1926,30.42,30.42
1927,30.45,30.45
1928,30.39,30.39
1929,29.98,29.98
1930,30.14,30.14
1931,30.33,30.33
1932,30.30,30.30
1933,30.22,30.22
1934,30.22,30.22
1935,30.18,30.18
1936,30.43,30.43
1937,30.39,30.39
1938,30.44,30.44
1939,30.41,30.41
1940,30.33,30.33
1941,30.19,30.19
1942,30.19,30.19
1943,30.19,30.19
1944,30.19,30.19
1945,29.65,29.65
1946,30.25,30.25
1947,30.00,30.00
1948,29.23,29.23
1949,29.57,29.57
1950,29.57,29.57
1951,29.98,29.98
1952,29.77,29.77
1953,29.86,29.86
1954,29.88,29.88
1955,29.35,29.35
1956,29.33,29.33
1957,29.92,29.92
1958,29.67,29.67
1959,29.87,29.87
1960,29.76,29.76
1961,29.67,29.67
1962,29.89,29.89
1963,29.84,29.84
1964,30.09,30.09
1965,29.96,29.96
1966,30.39,30.39
1967,29.58,29.58
1968,29.88,29.88
1969,30.54,30.54
1970,30.34,30.34
1971,30.29,30.29
1972,29.75,29.75
1973,30.00,30.00
1974,29.84,29.84
1975,29.64,29.64
1976,29.63,29.63
1977,30.08,30.08
1978,29.91,29.91
1979,30.11,30.11
1980,30.15,30.15
1981,30.46,30.46
1982,30.08,30.08
1983,30.67,30.67
1984,30.94,30.94
1985,30.49,30.49
1986,30.38,30.38
1987,30.75,30.75
1988,31.00,31.00
1989,30.73,30.73
1990,30.70,30.70
1991,30.64,30.64
1992,30.58,30.58
1993,30.55,30.55
1994,30.53,30.53
1995,30.31,30.31
1996,30.40,30.40
1997,30.34,30.34
1998,30.21,30.21
1999,30.23,30.23
2000,30.32,30.32
2001,30.39,30.39
2002,30.25,30.25
2003,30.06,30.06
2004,30.24,30.24
2005,30.24,30.24
2006,30.23,30.23
2007,30.78,30.78
2008,30.87,30.87
2009,30.59,30.59
2010,30.47,30.47
2011,30.34,30.34
2012,30.51,30.51
2013,30.89,30.89
2014,30.72,30.72
2015,30.48,30.48
2016,31.05,31.05
2017,30.73,30.73
2018,31.03,31.03
2019,30.58,30.58
2020,30.58,30.58
