Variable:,tasmax
,Montserrat,Brodericks,Central,East,North,Plymouth,Salem,South
1901,28.29,28.29,28.29,28.29,28.29,28.29,28.29,28.29
1902,27.92,27.92,27.92,27.92,27.92,27.92,27.92,27.92
1903,28.01,28.01,28.01,28.01,28.01,28.01,28.01,28.01
1904,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53
1905,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88
1906,27.68,27.68,27.68,27.68,27.68,27.68,27.68,27.68
1907,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38
1908,27.59,27.59,27.59,27.59,27.59,27.59,27.59,27.59
1909,27.39,27.39,27.39,27.39,27.39,27.39,27.39,27.39
1910,27.38,27.38,27.38,27.38,27.38,27.38,27.38,27.38
1911,27.54,27.54,27.54,27.54,27.54,27.54,27.54,27.54
1912,27.87,27.87,27.87,27.87,27.87,27.87,27.87,27.87
1913,27.23,27.23,27.23,27.23,27.23,27.23,27.23,27.23
1914,27.62,27.62,27.62,27.62,27.62,27.62,27.62,27.62
1915,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08
1916,27.67,27.67,27.67,27.67,27.67,27.67,27.67,27.67
1917,27.51,27.51,27.51,27.51,27.51,27.51,27.51,27.51
1918,27.72,27.72,27.72,27.72,27.72,27.72,27.72,27.72
1919,27.73,27.73,27.73,27.73,27.73,27.73,27.73,27.73
1920,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60
1921,27.53,27.53,27.53,27.53,27.53,27.53,27.53,27.53
1922,27.37,27.37,27.37,27.37,27.37,27.37,27.37,27.37
1923,27.88,27.88,27.88,27.88,27.88,27.88,27.88,27.88
1924,28.08,28.08,28.08,28.08,28.08,28.08,28.08,28.08
1925,27.78,27.78,27.78,27.78,27.78,27.78,27.78,27.78
1926,28.25,28.25,28.25,28.25,28.25,28.25,28.25,28.25
1927,27.89,27.89,27.89,27.89,27.89,27.89,27.89,27.89
1928,27.93,27.93,27.93,27.93,27.93,27.93,27.93,27.93
1929,27.60,27.60,27.60,27.60,27.60,27.60,27.60,27.60
1930,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85
1931,28.30,28.30,28.30,28.30,28.30,28.30,28.30,28.30
1932,28.50,28.50,28.50,28.50,28.50,28.50,28.50,28.50
1933,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12
1934,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12
1935,27.85,27.85,27.85,27.85,27.85,27.85,27.85,27.85
1936,28.12,28.12,28.12,28.12,28.12,28.12,28.12,28.12
1937,28.34,28.34,28.34,28.34,28.34,28.34,28.34,28.34
1938,27.83,27.83,27.83,27.83,27.83,27.83,27.83,27.83
1939,28.18,28.18,28.18,28.18,28.18,28.18,28.18,28.18
1940,28.65,28.65,28.65,28.65,28.65,28.65,28.65,28.65
1941,28.76,28.76,28.76,28.76,28.76,28.76,28.76,28.76
1942,28.77,28.77,28.77,28.77,28.77,28.77,28.77,28.77
1943,28.13,28.13,28.13,28.13,28.13,28.13,28.13,28.13
1944,28.51,28.51,28.51,28.51,28.51,28.51,28.51,28.51
1945,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.97
1946,28.06,28.06,28.06,28.06,28.06,28.06,28.06,28.06
1947,28.28,28.28,28.28,28.28,28.28,28.28,28.28,28.28
1948,28.28,28.28,28.28,28.28,28.28,28.28,28.28,28.28
1949,27.97,27.97,27.97,27.97,27.97,27.97,27.97,27.97
1950,27.58,27.58,27.58,27.58,27.58,27.58,27.58,27.58
