Variable:,tasmax
,"New Zealand",Auckland,"Bay Of Plenty",Canterbury,"East Cape","Hawke's Bay",Nelson-marlborough,Northland,Otago,Southland,Taranaki,Waikato,Wanganui-manawatu,Wellington,Westland
1901,13.80,17.89,16.55,12.61,16.82,15.58,13.21,18.18,11.45,10.42,15.80,16.84,15.17,15.10,11.86
1902,13.30,17.39,16.10,12.07,16.41,15.16,12.74,17.69,10.87,9.83,15.37,16.37,14.75,14.70,11.34
1903,13.76,17.94,16.62,12.50,16.87,15.61,13.13,18.22,11.33,10.33,15.82,16.92,15.17,15.01,11.78
1904,13.66,17.62,16.37,12.51,16.61,15.41,13.05,17.85,11.39,10.38,15.64,16.65,15.01,14.92,11.73
1905,13.83,18.07,16.74,12.50,17.02,15.79,13.19,18.38,11.33,10.28,15.97,17.01,15.37,15.26,11.78
1906,13.71,17.84,16.58,12.46,16.84,15.65,13.09,18.09,11.25,10.19,15.80,16.86,15.23,15.15,11.70
1907,14.65,18.86,17.57,13.41,17.81,16.59,14.08,19.11,12.12,11.03,16.79,17.85,16.18,16.07,12.67
1908,14.49,18.66,17.37,13.25,17.61,16.41,13.88,18.85,12.02,10.92,16.63,17.66,16.01,15.88,12.51
1909,14.78,18.92,17.66,13.54,17.91,16.67,14.23,19.14,12.30,11.22,16.90,17.92,16.28,16.20,12.81
1910,15.02,19.10,17.74,13.83,18.00,16.81,14.38,19.41,12.70,11.64,17.04,18.04,16.43,16.36,13.04
1911,14.56,18.67,17.33,13.37,17.59,16.36,13.85,19.11,12.22,11.14,16.62,17.63,15.97,15.83,12.57
1912,13.72,17.92,16.60,12.45,16.87,15.68,13.01,18.31,11.26,10.15,15.86,16.88,15.26,15.10,11.65
1913,14.11,18.34,17.01,12.81,17.25,16.10,13.47,18.71,11.60,10.52,16.29,17.31,15.71,15.58,12.02
1914,14.34,18.45,17.13,13.12,17.40,16.26,13.71,18.75,11.93,10.85,16.42,17.42,15.86,15.81,12.30
1915,14.58,18.85,17.48,13.27,17.76,16.56,13.89,19.38,12.10,11.00,16.72,17.78,16.15,16.06,12.44
1916,15.20,19.29,17.94,13.94,18.17,17.01,14.49,19.66,12.89,11.86,17.23,18.26,16.65,16.51,13.14
1917,14.84,18.87,17.56,13.60,17.78,16.67,14.18,19.16,12.56,11.54,16.87,17.88,16.30,16.23,12.80
1918,13.95,18.03,16.68,12.73,16.90,15.75,13.30,18.48,11.61,10.56,15.98,17.02,15.38,15.32,11.95
1919,13.94,18.03,16.69,12.71,16.91,15.78,13.30,18.46,11.58,10.52,15.98,17.00,15.42,15.42,11.89
1920,14.15,18.17,16.81,12.99,17.06,15.87,13.50,18.63,11.88,10.80,16.10,17.11,15.51,15.50,12.18
1921,14.38,18.53,17.18,13.11,17.42,16.25,13.77,18.95,11.97,10.90,16.48,17.48,15.88,15.80,12.35
1922,14.39,18.45,17.09,13.17,17.33,16.16,13.75,18.86,12.08,11.04,16.41,17.42,15.80,15.69,12.42
1923,13.98,17.87,16.53,12.85,16.76,15.63,13.38,18.15,11.79,10.76,15.95,16.87,15.31,15.30,12.08
1924,15.05,18.78,17.44,13.99,17.66,16.56,14.34,19.09,13.08,12.10,16.87,17.78,16.24,16.21,13.14
1925,13.92,17.91,16.56,12.70,16.80,15.64,13.15,18.29,11.73,10.73,15.92,16.89,15.29,15.16,11.89
1926,14.03,17.89,16.57,12.92,16.81,15.69,13.42,18.21,11.85,10.83,15.96,16.90,15.34,15.36,12.10
1927,13.87,17.83,16.48,12.74,16.70,15.54,13.22,18.32,11.64,10.61,15.80,16.79,15.17,15.13,11.95
1928,14.79,18.67,17.33,13.65,17.54,16.40,14.04,19.04,12.69,11.71,16.68,17.67,16.05,15.95,12.82
1929,14.15,18.14,16.75,12.97,16.98,15.81,13.41,18.66,11.97,10.96,16.10,17.10,15.45,15.36,12.15
1930,13.62,17.70,16.32,12.37,16.53,15.39,12.94,18.16,11.30,10.30,15.68,16.67,15.04,14.96,11.60
1931,13.74,17.72,16.37,12.55,16.59,15.44,13.06,18.21,11.54,10.52,15.73,16.70,15.09,15.07,11.72
1932,13.86,17.91,16.50,12.64,16.72,15.56,13.10,18.47,11.62,10.63,15.89,16.85,15.22,15.08,11.86
1933,14.35,18.35,16.98,13.20,17.21,16.03,13.67,18.82,12.13,11.10,16.33,17.31,15.67,15.61,12.38
1934,14.42,18.33,16.99,13.24,17.23,16.07,13.70,18.72,12.30,11.33,16.36,17.31,15.72,15.65,12.41
