Variable:,tasmax
,Pakistan,Balochistan,"Federally Administered Tribal Areas",Islamabad,"North-West Frontier",Punjab,Sindh,"Administrative unit not available","Administrative unit not available"
1901,27.50,28.71,24.68,27.13,19.82,32.09,33.87,19.48,5.81
1902,27.82,29.08,24.92,27.36,20.06,32.36,34.32,19.68,5.97
1903,26.93,28.23,23.94,26.39,19.01,31.55,33.39,18.74,4.94
1904,27.40,28.64,24.50,26.99,19.65,31.94,33.81,19.34,5.72
1905,26.99,28.35,24.08,26.45,19.15,31.48,33.41,18.73,5.05
1906,27.24,28.43,24.49,27.03,19.70,31.80,33.47,19.35,5.85
1907,26.96,28.28,23.97,26.47,19.04,31.48,33.46,18.80,5.11
1908,27.00,28.14,24.32,26.91,19.53,31.62,33.18,19.25,5.66
1909,26.89,28.04,24.32,26.90,19.63,31.33,33.02,19.22,5.88
1910,26.87,28.05,24.12,26.68,19.37,31.39,33.12,19.00,5.53
1911,27.13,28.28,24.27,26.79,19.43,31.74,33.50,19.15,5.71
1912,27.45,28.65,24.56,27.08,19.86,31.89,33.81,19.45,6.19
1913,27.03,28.28,24.26,26.71,19.47,31.47,33.38,19.02,5.44
1914,27.38,28.54,24.75,27.22,20.11,31.78,33.58,19.58,6.32
1915,27.89,28.93,25.45,28.02,20.79,32.41,34.01,20.29,6.86
1916,27.29,28.38,24.60,27.21,19.86,31.89,33.54,19.58,6.12
1917,26.86,28.02,24.38,26.90,19.80,31.14,32.92,19.22,6.04
1918,27.05,28.23,24.11,26.79,19.38,31.60,33.47,19.05,5.54
1919,26.95,28.22,23.90,26.36,19.21,31.38,33.40,18.70,5.44
1920,26.89,28.31,23.58,26.13,18.63,31.39,33.61,18.43,4.69
1921,27.67,28.92,24.55,27.14,19.68,32.32,34.25,19.44,5.77
1922,27.45,28.61,24.63,27.17,19.95,31.97,33.74,19.53,6.22
1923,27.00,28.20,23.95,26.54,19.22,31.56,33.45,18.92,5.52
1924,27.20,28.44,24.14,26.70,19.44,31.66,33.70,19.07,5.76
1925,27.28,28.53,24.32,26.80,19.63,31.66,33.73,19.09,5.88
1926,27.09,28.36,24.16,26.65,19.44,31.43,33.53,19.00,5.75
1927,26.92,28.15,24.12,26.61,19.39,31.35,33.13,18.97,5.75
1928,27.34,28.58,24.28,26.85,19.38,32.05,33.75,19.19,5.51
1929,27.10,28.34,24.06,26.60,19.19,31.73,33.62,18.98,5.24
1930,26.94,28.22,23.89,26.37,19.04,31.45,33.46,18.78,5.22
1931,27.24,28.39,24.28,26.86,19.36,31.94,33.78,19.24,5.48
1932,27.50,28.62,24.69,27.26,19.79,32.20,33.94,19.60,5.88
1933,27.13,28.31,24.33,26.85,19.58,31.60,33.55,19.19,5.75
1934,27.31,28.55,24.33,26.99,19.45,31.97,33.73,19.32,5.45
1935,26.79,27.93,23.90,26.46,19.10,31.41,33.28,18.85,5.20
1936,27.37,28.49,24.81,27.23,20.08,31.89,33.65,19.53,5.97
1937,26.94,28.10,24.14,26.58,19.32,31.56,33.36,18.90,5.32
1938,27.36,28.54,24.51,26.92,19.69,31.98,33.70,19.24,5.80
1939,27.37,28.58,24.48,26.83,19.70,31.90,33.77,19.16,5.81
1940,27.62,28.89,24.83,27.10,20.05,32.05,33.96,19.41,6.13
1941,28.41,29.57,25.76,28.11,20.99,33.04,34.51,20.42,7.03
1942,27.57,28.80,24.77,27.18,19.93,32.14,33.84,19.51,6.00
1943,27.41,28.56,24.60,27.05,19.67,32.13,33.77,19.37,5.73
1944,27.30,28.48,24.57,27.01,19.90,31.77,33.58,19.33,6.00
1945,26.98,28.18,24.24,26.73,19.45,31.52,33.24,19.07,5.47
1946,27.96,28.93,25.58,28.15,20.88,32.73,33.92,20.48,6.86
1947,28.15,29.29,25.60,28.10,20.85,32.76,34.18,20.37,6.85
1948,27.58,28.85,24.73,27.10,19.82,32.12,34.01,19.36,5.81
1949,27.30,28.42,24.41,27.13,19.48,32.03,33.78,19.42,5.61
1950,26.40,27.44,23.59,26.27,18.94,30.97,32.84,18.63,5.18
1951,27.39,28.52,24.50,27.07,19.72,32.02,33.77,19.48,5.98
1952,27.55,28.71,24.69,27.37,19.91,32.22,33.79,19.66,6.04
1953,28.04,29.36,25.13,27.67,20.17,32.70,34.24,20.02,6.20
1954,27.36,28.63,24.48,27.07,19.44,32.09,33.83,19.19,5.08
1955,27.34,28.47,24.81,27.18,20.02,31.83,33.68,19.38,5.91
1956,27.22,28.22,24.80,27.40,20.12,31.81,33.32,19.67,6.27
1957,26.37,27.51,23.37,25.92,18.40,30.97,33.12,18.27,4.63
1958,27.95,29.22,25.08,27.67,20.10,32.53,34.36,19.84,6.17
1959,27.48,28.81,24.61,27.06,19.72,31.92,33.86,19.37,5.79
1960,27.37,28.50,24.67,27.27,19.79,32.07,33.60,19.55,5.92
1961,27.21,28.45,24.58,27.05,19.94,31.51,33.34,19.38,6.20
1962,27.28,28.62,24.35,26.83,19.54,31.73,33.56,19.19,5.72
1963,27.88,29.13,25.05,27.35,20.26,32.30,34.27,19.73,6.46
1964,26.83,27.94,23.96,26.47,19.08,31.45,33.34,18.82,5.42
1965,27.16,28.44,24.02,26.51,19.21,31.58,33.72,18.89,5.72
1966,27.28,28.53,24.31,26.88,19.58,31.75,33.71,19.19,5.75
1967,27.06,28.50,23.83,26.49,19.02,31.46,33.49,18.89,5.23
1968,26.92,28.06,23.66,26.33,18.99,31.48,33.54,18.76,5.63
1969,27.66,28.93,24.44,27.12,19.42,32.32,34.30,19.48,5.72
1970,27.90,29.11,25.23,27.81,20.60,32.38,33.95,20.20,6.65
1971,27.70,28.90,25.05,27.55,20.51,32.10,33.68,20.00,6.70
1972,26.80,27.82,23.61,26.53,18.92,31.63,33.38,18.94,5.35
1973,27.61,28.84,24.65,27.39,20.10,32.07,33.71,19.80,6.66
1974,27.11,28.24,24.09,26.82,19.34,31.76,33.70,19.07,5.35
1975,26.86,28.22,23.77,26.27,18.99,31.22,33.34,18.62,5.24
1976,27.11,28.48,23.99,26.52,19.19,31.44,33.64,18.93,5.47
1977,27.99,29.60,24.79,27.25,19.95,32.18,34.37,19.59,6.13
1978,27.58,29.07,24.54,27.11,19.79,31.86,33.79,19.48,5.97
