Variable:,tasmax
,Portugal,Aveiro,Beja,Braga,Braganca,"Castelo Branco",Coimbra,Evora,Faro,Guarda,Leiria,Lisboa,Portalegre,Porto,Santarem,Setubal,"Viana Do Castelo","Vila Real",Viseu
1901,18.34,18.08,19.93,15.52,16.22,18.31,18.33,20.00,19.43,17.10,18.67,19.05,19.75,16.76,19.24,19.68,15.73,15.04,17.07
1902,18.27,18.07,19.77,15.48,16.23,18.28,18.31,19.88,19.24,17.11,18.60,18.94,19.68,16.75,19.17,19.54,15.68,15.03,17.07
1903,18.59,18.41,20.05,15.84,16.57,18.59,18.66,20.19,19.51,17.42,18.95,19.26,19.99,17.08,19.51,19.84,16.07,15.38,17.40
1904,18.96,18.78,20.43,16.19,16.93,18.98,19.02,20.57,19.88,17.81,19.30,19.62,20.37,17.46,19.85,20.21,16.38,15.74,17.77
1905,18.23,18.02,19.72,15.43,16.18,18.24,18.28,19.84,19.19,17.06,18.58,18.90,19.64,16.69,19.13,19.51,15.64,14.98,17.02
1906,18.63,18.48,20.07,15.93,16.65,18.64,18.72,20.22,19.54,17.48,18.98,19.30,20.02,17.15,19.54,19.87,16.15,15.45,17.46
1907,18.38,18.22,19.83,15.66,16.38,18.39,18.45,19.95,19.29,17.23,18.74,19.06,19.77,16.90,19.30,19.62,15.89,15.17,17.21
1908,18.76,18.61,20.17,16.04,16.75,18.78,18.86,20.34,19.61,17.62,19.13,19.44,20.16,17.30,19.67,19.98,16.26,15.56,17.60
1909,18.18,18.00,19.66,15.43,16.11,18.17,18.23,19.80,19.14,16.98,18.56,18.88,19.59,16.68,19.11,19.45,15.64,14.93,16.97
1910,18.20,18.02,19.65,15.47,16.19,18.21,18.26,19.80,19.10,17.05,18.55,18.87,19.61,16.72,19.12,19.44,15.69,15.00,17.02
1911,18.31,18.17,19.70,15.66,16.48,18.32,18.37,19.86,19.16,17.23,18.59,18.89,19.69,16.89,19.16,19.46,15.88,15.22,17.19
