Variable:,tasmax
,Qatar,"Ad Dawhah","Al Ghuwayriyah","Al Jumayliyah","Al Khawr",Al-wakrah,"Ar Rayyan","Ash Shamal","Jarayan Al Batnah","Umm Salal"
1901,33.03,34.08,32.40,32.93,32.74,33.61,32.98,33.03,33.10,32.82
1902,32.41,33.45,31.75,32.30,32.09,33.00,32.35,32.37,32.50,32.18
1903,31.44,32.48,30.78,31.33,31.12,32.03,31.38,31.40,31.53,31.21
1904,31.83,32.88,31.17,31.72,31.51,32.42,31.78,31.80,31.92,31.61
1905,31.72,32.77,31.06,31.61,31.40,32.31,31.67,31.69,31.81,31.50
1906,31.65,32.70,31.00,31.55,31.34,32.25,31.60,31.63,31.74,31.43
1907,31.55,32.60,30.90,31.45,31.24,32.14,31.50,31.53,31.63,31.33
1908,32.21,33.25,31.55,32.10,31.89,32.81,32.15,32.17,32.31,31.98
1909,32.41,33.46,31.76,32.30,32.10,33.00,32.36,32.39,32.50,32.19
1910,31.29,32.34,30.64,31.19,30.98,31.89,31.24,31.26,31.38,31.07
1911,30.67,31.72,30.02,30.56,30.36,31.26,30.62,30.65,30.76,30.45
1912,31.61,32.65,30.96,31.50,31.30,32.20,31.55,31.59,31.69,31.38
1913,31.42,32.47,30.76,31.31,31.10,32.02,31.37,31.40,31.51,31.20
1914,32.05,33.10,31.39,31.94,31.73,32.64,32.00,32.02,32.13,31.83
1915,32.36,33.41,31.71,32.26,32.05,32.96,32.31,32.33,32.45,32.14
1916,32.03,33.08,31.36,31.91,31.70,32.63,31.98,31.98,32.13,31.81
1917,32.18,33.23,31.51,32.07,31.85,32.78,32.13,32.13,32.27,31.96
1918,31.89,32.94,31.21,31.76,31.55,32.50,31.83,31.83,32.00,31.66
1919,32.51,33.56,31.86,32.40,32.20,33.10,32.46,32.48,32.59,32.29
1920,32.22,33.26,31.56,32.10,31.90,32.81,32.16,32.18,32.31,31.99
1921,32.48,33.53,31.81,32.37,32.15,33.07,32.43,32.44,32.57,32.25
1922,32.56,33.61,31.91,32.45,32.25,33.15,32.51,32.54,32.65,32.34
1923,32.07,33.12,31.41,31.96,31.75,32.67,32.02,32.03,32.17,31.85
1924,32.89,33.94,32.24,32.79,32.58,33.48,32.84,32.87,32.97,32.67
1925,31.97,33.01,31.30,31.85,31.64,32.58,31.91,31.92,32.08,31.74
1926,32.28,33.32,31.62,32.16,31.96,32.87,32.22,32.24,32.37,32.05
1927,32.44,33.48,31.79,32.33,32.13,33.03,32.38,32.41,32.52,32.21
1928,32.32,33.37,31.66,32.21,32.00,32.91,32.27,32.29,32.40,32.10
1929,32.23,33.28,31.58,32.13,31.92,32.82,32.18,32.22,32.32,32.01
1930,32.18,33.23,31.53,32.08,31.87,32.78,32.13,32.17,32.27,31.96
1931,32.18,33.23,31.53,32.07,31.87,32.77,32.13,32.16,32.27,31.96
1932,31.73,32.78,31.08,31.63,31.42,32.33,31.68,31.71,31.82,31.51
1933,31.50,32.55,30.85,31.40,31.19,32.10,31.45,31.48,31.59,31.28
1934,31.83,32.88,31.18,31.72,31.52,32.42,31.78,31.80,31.92,31.61
1935,32.57,33.62,31.92,32.47,32.26,33.17,32.52,32.55,32.66,32.35
1936,31.90,32.95,31.26,31.80,31.60,32.49,31.85,31.88,31.98,31.68
1937,32.08,33.13,31.42,31.97,31.76,32.68,32.03,32.05,32.17,31.86
1938,32.20,33.24,31.55,32.10,31.88,32.78,32.15,32.19,32.28,31.98
1939,32.05,33.12,31.39,31.94,31.73,32.65,31.99,32.02,32.13,31.82
1940,32.56,33.62,31.91,32.45,32.25,33.15,32.52,32.53,32.64,32.35
1941,32.32,33.42,31.67,32.20,32.02,32.94,32.28,32.30,32.40,32.11
1942,32.48,33.53,31.85,32.37,32.19,33.06,32.43,32.48,32.54,32.27
1943,31.92,32.99,31.25,31.79,31.59,32.53,31.88,31.87,32.02,31.70
1944,32.27,33.33,31.60,32.15,31.94,32.87,32.22,32.22,32.36,32.05
1945,32.01,33.07,31.34,31.90,31.68,32.62,31.96,31.96,32.11,31.79
1946,32.58,33.63,31.94,32.47,32.28,33.17,32.53,32.57,32.66,32.36
1947,32.99,34.02,32.38,32.90,32.72,33.54,32.92,33.03,33.03,32.77
1948,32.20,33.27,31.53,32.09,31.87,32.81,32.15,32.15,32.30,31.98
1949,31.68,32.73,31.01,31.56,31.35,32.29,31.63,31.62,31.78,31.46
1950,31.81,32.87,31.15,31.71,31.49,32.41,31.77,31.78,31.90,31.59
1951,33.36,34.42,32.78,33.27,33.13,33.91,33.32,33.42,33.39,33.17
1952,33.21,34.26,32.61,33.12,32.95,33.76,33.16,33.27,33.24,33.00
1953,33.30,34.37,32.72,33.21,33.08,33.86,33.25,33.38,33.32,33.10
1954,33.49,34.56,32.87,33.39,33.23,34.07,33.45,33.51,33.54,33.29
1955,33.35,34.39,32.78,33.28,33.12,33.88,33.29,33.44,33.35,33.15
1956,32.80,33.91,32.19,32.69,32.55,33.39,32.78,32.84,32.83,32.62
1957,32.17,33.22,31.46,32.06,31.80,32.79,32.13,32.08,32.30,31.94
1958,33.02,33.99,32.39,32.95,32.70,33.54,32.92,33.04,33.08,32.77
1959,32.32,33.35,31.67,32.22,32.01,32.89,32.27,32.31,32.40,32.10
1960,33.24,34.20,32.59,33.16,32.91,33.76,33.17,33.22,33.31,33.01
1961,32.29,33.32,31.61,32.19,31.94,32.87,32.23,32.24,32.38,32.05
1962,33.69,34.62,33.02,33.61,33.33,34.22,33.64,33.64,33.79,33.46
1963,33.00,33.99,32.31,32.90,32.64,33.57,32.95,32.94,33.12,32.77
1964,31.85,32.85,31.18,31.77,31.51,32.40,31.78,31.82,31.94,31.61
1965,32.98,33.99,32.27,32.85,32.61,33.58,32.91,32.89,33.11,32.73
1966,33.14,34.16,32.44,33.03,32.77,33.73,33.08,33.07,33.25,32.90
1967,31.75,32.88,31.06,31.62,31.44,32.42,31.68,31.68,31.86,31.51
1968,32.10,33.16,31.41,31.97,31.76,32.72,32.03,32.03,32.21,31.86
1969,32.73,33.82,32.05,32.60,32.40,33.37,32.66,32.66,32.85,32.49
1970,32.97,34.10,32.27,32.84,32.64,33.64,32.89,32.89,33.10,32.72
1971,32.05,33.18,31.37,31.92,31.75,32.69,31.98,32.03,32.15,31.82
1972,31.21,32.29,30.53,31.09,30.88,31.84,31.16,31.15,31.32,30.98
1973,32.48,33.51,31.84,32.39,32.17,33.03,32.45,32.49,32.54,32.28
1974,32.09,33.14,31.43,31.99,31.77,32.68,32.05,32.05,32.18,31.87
1975,31.94,33.07,31.27,31.80,31.63,32.58,31.88,31.92,32.03,31.72
1976,31.68,32.77,31.02,31.56,31.37,32.30,31.63,31.66,31.77,31.46
1977,32.87,33.96,32.19,32.74,32.55,33.50,32.83,32.83,32.97,32.65
1978,32.60,33.71,31.94,32.47,32.31,33.23,32.55,32.60,32.68,32.39
1979,33.09,34.18,32.44,32.98,32.78,33.69,33.05,33.06,33.16,32.88
1980,33.00,34.08,32.36,32.89,32.70,33.60,32.96,32.99,33.07,32.79
1981,33.21,34.25,32.58,33.10,32.91,33.79,33.15,33.21,33.27,32.99
1982,31.89,32.89,31.25,31.79,31.57,32.45,31.84,31.89,31.96,31.68
1983,32.17,33.17,31.53,32.07,31.85,32.73,32.11,32.19,32.24,31.95
1984,32.73,33.74,32.10,32.64,32.42,33.29,32.68,32.74,32.80,32.52
1985,32.99,33.99,32.36,32.90,32.68,33.53,32.93,32.98,33.05,32.77
1986,32.57,33.59,31.93,32.48,32.25,33.13,32.55,32.57,32.64,32.38
1987,33.41,34.40,32.79,33.32,33.12,33.95,33.37,33.42,33.47,33.21
1988,33.17,34.17,32.54,33.09,32.87,33.72,33.11,33.18,33.24,32.95
1989,32.33,33.34,31.71,32.26,32.04,32.86,32.29,32.37,32.38,32.13
1990,33.30,34.26,32.66,33.22,32.98,33.83,33.26,33.27,33.37,33.09
1991,32.18,33.27,31.51,32.05,31.86,32.80,32.12,32.16,32.27,31.95
1992,31.49,32.57,30.81,31.36,31.16,32.12,31.43,31.44,31.59,31.26
1993,32.63,33.70,31.98,32.51,32.32,33.23,32.58,32.62,32.71,32.41
1994,33.13,34.20,32.46,33.02,32.81,33.73,33.08,33.12,33.21,32.91
1995,32.51,33.55,31.88,32.41,32.23,33.08,32.47,32.52,32.56,32.30
1996,33.01,34.05,32.38,32.92,32.72,33.58,32.96,33.02,33.08,32.80
1997,32.38,33.40,31.75,32.29,32.09,32.93,32.33,32.39,32.44,32.17
1998,33.97,34.99,33.34,33.87,33.68,34.53,33.91,33.99,34.02,33.75
1999,34.11,35.18,33.48,34.01,33.83,34.70,34.09,34.13,34.17,33.92
2000,33.45,34.52,32.81,33.33,33.16,34.04,33.39,33.47,33.51,33.23
2001,33.88,34.88,33.30,33.81,33.63,34.38,33.87,33.96,33.90,33.71
2002,33.63,34.62,33.04,33.56,33.36,34.14,33.62,33.67,33.66,33.45
2003,33.42,34.40,32.82,33.35,33.13,33.93,33.41,33.46,33.46,33.24
2004,33.48,34.58,32.84,33.36,33.21,34.09,33.44,33.49,33.54,33.28
2005,33.13,34.12,32.53,33.05,32.85,33.65,33.11,33.17,33.16,32.95
2006,33.23,34.29,32.61,33.14,32.96,33.80,33.20,33.24,33.28,33.03
2007,33.49,34.54,32.88,33.40,33.22,34.05,33.49,33.51,33.53,33.32
2008,33.35,34.36,32.76,33.27,33.09,33.86,33.34,33.41,33.37,33.18
2009,33.44,34.46,32.84,33.35,33.18,33.98,33.42,33.46,33.47,33.26
2010,34.25,35.26,33.68,34.17,34.01,34.75,34.25,34.36,34.25,34.09
2011,33.12,34.14,32.52,33.03,32.85,33.67,33.11,33.17,33.16,32.94
2012,33.30,34.37,32.69,33.19,33.04,33.87,33.27,33.35,33.33,33.11
2013,32.97,34.02,32.34,32.86,32.68,33.54,32.91,33.00,33.02,32.75
2014,33.69,34.70,33.02,33.58,33.37,34.27,33.62,33.66,33.78,33.46
2015,34.06,35.07,33.43,33.97,33.77,34.62,33.99,34.08,34.12,33.84
2016,34.22,35.22,33.61,34.14,33.95,34.75,34.17,34.26,34.25,34.01
2017,34.11,35.11,33.51,34.03,33.85,34.65,34.03,34.17,34.15,33.89
2018,34.44,35.45,33.84,34.37,34.17,34.96,34.36,34.51,34.47,34.21
2019,34.13,35.16,33.46,34.02,33.79,34.73,34.08,34.08,34.24,33.91
2020,33.94,34.98,33.25,33.82,33.59,34.53,33.88,33.88,34.04,33.70
