Variable:,tasmax
1901,24.11
1902,24.24
1903,24.13
1904,24.13
1905,24.16
1906,24.16
1907,24.14
1908,24.26
1909,24.15
1910,24.09
1911,24.10
1912,24.32
1913,24.17
1914,24.23
1915,24.24
1916,24.05
1917,24.01
1918,24.11
1919,24.19
1920,24.10
1921,24.08
1922,23.99
1923,24.28
1924,24.20
1925,24.18
1926,24.49
1927,24.22
1928,24.27
1929,24.30
1930,24.14
1931,23.93
1932,24.06
1933,24.06
1934,23.98
1935,24.12
1936,24.16
1937,24.18
1938,24.19
1939,24.20
1940,23.93
1941,24.10
1942,24.04
1943,23.90
1944,24.03
1945,24.02
1946,24.04
1947,24.05
1948,24.08
1949,24.08
1950,23.90
1951,23.76
1952,23.94
1953,24.04
1954,23.95
1955,24.02
1956,24.11
1957,24.51
1958,24.35
1959,23.81
1960,23.67
1961,24.85
1962,23.95
1963,23.71
1964,23.47
1965,23.29
1966,24.06
1967,24.11
1968,23.85
1969,24.60
1970,24.08
1971,23.93
1972,24.33
1973,24.20
1974,23.91
1975,24.01
1976,24.28
1977,24.13
1978,23.54
1979,23.51
1980,23.35
1981,23.56
1982,23.50
1983,23.92
1984,23.40
1985,23.52
1986,23.94
1987,24.77
1988,24.38
1989,23.81
1990,24.14
1991,24.37
1992,23.99
1993,24.21
1994,24.45
1995,24.25
1996,24.10
1997,24.39
1998,24.53
1999,24.37
2000,24.06
2001,24.69
2002,24.39
2003,24.60
2004,24.38
2005,24.33
2006,24.63
2007,24.46
2008,24.25
2009,24.93
2010,24.88
2011,25.13
2012,24.62
2013,24.58
2014,24.98
2015,24.83
2016,24.58
2017,25.13
2018,24.92
2019,25.30
2020,24.52
