Variable:,tasmax
,"Saudi Arabia",Asir,Baha,"Eastern Province",Hail,Jawf,Jizan,Madinah,Makkah,Najran,"Northern Frontier",Quassim,Riyad,Tabuk
1901,31.19,27.95,29.70,32.40,30.74,28.29,30.33,31.71,31.48,29.60,29.83,32.27,32.21,28.78
1902,30.89,27.92,29.63,31.99,30.55,27.68,30.32,31.56,31.40,29.56,29.48,32.03,31.90,28.26
1903,30.31,27.88,29.58,31.26,29.98,26.69,30.31,31.18,31.30,29.47,28.67,31.51,31.31,27.39
1904,30.52,27.89,29.56,31.52,30.23,27.23,30.30,31.19,31.20,29.48,29.05,31.71,31.51,27.87
1905,30.57,27.90,29.60,31.47,30.30,27.48,30.30,31.39,31.33,29.50,29.07,31.71,31.49,28.20
1906,30.68,27.97,29.95,31.41,30.43,27.80,30.38,31.86,31.77,29.48,29.18,31.76,31.45,28.65
1907,30.44,27.88,29.64,31.30,30.17,27.21,30.28,31.36,31.38,29.45,28.85,31.60,31.34,28.03
1908,30.82,27.95,29.73,31.91,30.37,27.41,30.32,31.60,31.57,29.58,29.07,31.93,31.85,28.27
1909,31.07,27.92,29.77,31.96,30.79,28.44,30.27,32.17,31.72,29.54,29.71,32.12,31.88,29.22
1910,30.39,27.89,29.69,31.10,30.19,27.38,30.36,31.48,31.44,29.43,28.89,31.52,31.19,28.20
1911,30.14,27.93,29.89,30.64,30.02,27.24,30.41,31.45,31.56,29.36,28.61,31.25,30.83,28.12
1912,30.52,27.89,29.65,31.35,30.29,27.49,30.30,31.44,31.36,29.46,29.10,31.66,31.38,28.23
1913,30.43,27.89,29.61,31.22,30.26,27.53,30.31,31.31,31.23,29.45,29.05,31.57,31.28,28.15
1914,30.81,27.91,29.67,31.70,30.55,27.98,30.30,31.76,31.49,29.52,29.42,31.90,31.67,28.69
1915,31.20,28.00,29.97,32.04,30.89,28.67,30.35,32.46,31.98,29.60,29.77,32.16,31.97,29.52
1916,31.15,28.03,30.04,31.86,30.88,28.93,30.33,32.46,31.99,29.60,29.83,32.05,31.84,29.65
1917,31.07,28.02,29.97,31.94,30.73,28.41,30.35,32.11,31.83,29.60,29.65,32.05,31.89,29.11
1918,30.93,27.99,29.86,31.79,30.59,28.16,30.32,31.97,31.72,29.60,29.44,31.92,31.78,28.91
1919,31.18,27.97,29.84,32.12,30.86,28.54,30.33,32.23,31.79,29.60,29.80,32.18,32.02,29.29
1920,30.92,27.87,29.38,31.96,30.60,28.01,30.21,31.63,31.23,29.60,29.49,32.02,31.90,28.64
1921,30.99,27.95,29.72,32.10,30.56,27.78,30.30,31.78,31.60,29.60,29.34,32.08,32.00,28.58
1922,31.17,27.98,29.86,32.15,30.83,28.43,30.30,32.15,31.77,29.60,29.77,32.19,32.04,29.17
1923,31.05,27.96,29.76,31.89,30.81,28.55,30.29,32.06,31.65,29.60,29.77,32.08,31.86,29.18
1924,31.22,27.94,29.68,32.32,30.84,28.43,30.29,31.96,31.57,29.60,29.86,32.26,32.16,29.07
1925,31.00,27.94,29.70,31.84,30.75,28.50,30.28,32.00,31.58,29.60,29.70,32.03,31.82,29.14
1926,31.01,27.91,29.57,32.00,30.67,28.28,30.28,31.78,31.41,29.60,29.65,32.06,31.93,28.88
1927,31.16,27.99,29.87,32.08,30.86,28.61,30.36,32.13,31.75,29.60,29.84,32.17,31.99,29.26
1928,31.15,27.98,29.96,31.90,30.97,28.94,30.38,32.33,31.85,29.54,29.99,32.17,31.83,29.58
1929,31.01,27.96,29.84,31.87,30.73,28.47,30.32,32.00,31.68,29.56,29.69,32.05,31.81,29.13
1930,31.08,28.03,30.08,31.82,30.87,28.72,30.38,32.24,31.90,29.54,29.93,32.10,31.78,29.37
1931,31.02,27.96,29.86,31.81,30.80,28.50,30.34,32.15,31.74,29.54,29.71,32.06,31.77,29.27
1932,30.85,27.90,29.73,31.47,30.78,28.60,30.29,32.15,31.61,29.48,29.72,31.93,31.50,29.35
1933,30.65,27.94,29.88,31.30,30.50,27.95,30.37,31.95,31.70,29.46,29.18,31.74,31.36,28.92
1934,30.88,27.93,29.81,31.55,30.76,28.49,30.32,32.15,31.68,29.50,29.61,31.94,31.57,29.30
