Variable:,tasmax
,"Sierra Leone",Eastern,Northern,Southern,"Western Area"
1901,31.78,31.85,31.75,31.78,31.04
1902,31.80,31.80,31.86,31.72,31.07
1903,31.45,31.42,31.49,31.40,30.83
1904,31.28,31.26,31.32,31.21,30.59
1905,31.47,31.45,31.50,31.42,30.80
1906,31.46,31.42,31.51,31.41,30.84
1907,31.14,31.17,31.15,31.12,30.42
1908,31.55,31.53,31.62,31.46,30.85
1909,31.39,31.37,31.46,31.31,30.70
1910,31.65,31.65,31.69,31.59,30.94
1911,31.32,31.32,31.37,31.24,30.62
1912,31.80,31.84,31.83,31.73,31.02
1913,31.50,31.47,31.57,31.42,30.82
1914,31.36,31.37,31.40,31.28,30.61
1915,31.78,31.79,31.82,31.72,31.07
1916,31.28,31.31,31.31,31.21,30.52
1917,31.42,31.46,31.41,31.40,30.71
1918,31.39,31.36,31.44,31.32,30.75
1919,31.39,31.26,31.52,31.26,30.83
1920,31.24,31.24,31.27,31.20,30.59
1921,31.04,31.02,31.09,30.96,30.35
1922,30.98,31.04,31.00,30.92,30.22
1923,31.30,31.32,31.35,31.22,30.56
1924,30.90,30.90,30.96,30.81,30.21
1925,31.05,31.01,31.13,30.95,30.39
1926,31.27,31.22,31.33,31.21,30.64
1927,30.73,30.65,30.81,30.65,30.13
1928,30.60,30.54,30.67,30.52,29.99
1929,30.58,30.53,30.64,30.51,29.92
1930,30.73,30.70,30.79,30.66,30.05
1931,31.17,31.15,31.24,31.08,30.47
1932,31.20,31.14,31.26,31.16,30.59
1933,31.26,31.22,31.32,31.17,30.60
1934,31.15,31.15,31.21,31.07,30.43
1935,31.20,31.20,31.26,31.10,30.46
1936,31.28,31.22,31.35,31.20,30.66
1937,31.39,31.34,31.47,31.28,30.74
1938,31.52,31.49,31.59,31.43,30.87
1939,31.42,31.42,31.47,31.33,30.67
1940,31.34,31.34,31.38,31.27,30.64
1941,31.64,31.61,31.71,31.55,30.94
1942,31.40,31.37,31.47,31.30,30.70
1943,31.05,31.04,31.10,30.97,30.34
1944,31.52,31.49,31.59,31.42,30.85
1945,31.52,31.46,31.60,31.44,30.89
1946,31.28,31.25,31.34,31.19,30.57
1947,31.30,31.29,31.36,31.19,30.57
1948,31.10,31.06,31.16,31.01,30.41
1949,31.30,31.30,31.35,31.22,30.61
1950,30.98,31.00,31.01,30.91,30.24
1951,31.12,31.15,31.15,31.05,30.37
1952,31.14,31.19,31.16,31.08,30.37
1953,31.27,31.29,31.32,31.18,30.54
1954,30.88,30.88,30.93,30.78,30.15
1955,30.85,30.90,30.87,30.77,30.16
1956,30.73,30.76,30.77,30.64,30.00
1957,31.00,31.07,31.02,30.93,30.27
1958,31.11,31.14,31.14,31.04,30.40
1959,30.92,30.90,30.99,30.82,30.25
1960,30.96,30.98,30.98,30.93,30.35
1961,30.85,30.83,30.89,30.80,30.21
1962,30.80,30.77,30.82,30.78,30.25
1963,31.13,31.10,31.18,31.05,30.47
1964,30.87,30.83,30.95,30.74,30.17
1965,30.67,30.64,30.74,30.56,29.99
1966,31.01,30.97,31.10,30.88,30.32
1967,30.88,30.85,30.94,30.79,30.18
1968,31.09,31.07,31.18,30.95,30.33
1969,31.46,31.44,31.57,31.28,30.67
1970,31.32,31.29,31.40,31.20,30.59
1971,30.90,30.82,31.01,30.77,30.18
1972,31.33,31.27,31.41,31.23,30.64
1973,31.61,31.56,31.69,31.50,30.93
1974,31.11,31.07,31.19,31.02,30.43
1975,30.89,30.86,30.98,30.77,30.17
1976,30.72,30.69,30.77,30.67,30.09
1977,31.23,31.19,31.30,31.17,30.54
1978,31.00,30.98,31.06,30.92,30.27
1979,31.31,31.28,31.36,31.26,30.59
1980,31.25,31.22,31.30,31.19,30.61
1981,31.37,31.34,31.43,31.31,30.72
1982,31.12,31.07,31.18,31.05,30.44
1983,31.61,31.55,31.71,31.50,30.94
1984,31.30,31.26,31.37,31.22,30.62
1985,31.10,31.07,31.16,31.01,30.43
1986,30.89,30.88,30.93,30.86,30.22
1987,31.72,31.72,31.77,31.63,30.95
1988,31.31,31.29,31.34,31.26,30.64
1989,31.26,31.27,31.32,31.16,30.50
1990,31.41,31.37,31.47,31.33,30.72
1991,31.42,31.34,31.52,31.32,30.79
1992,31.22,31.15,31.30,31.13,30.57
1993,31.34,31.28,31.43,31.24,30.68
1994,31.08,31.06,31.11,31.06,30.45
1995,31.30,31.25,31.34,31.28,30.63
1996,31.48,31.41,31.56,31.40,30.90
1997,31.48,31.37,31.59,31.36,30.90
1998,31.99,31.92,32.10,31.87,31.32
1999,31.23,31.14,31.31,31.18,30.65
2000,31.35,31.27,31.44,31.27,30.77
2001,31.65,31.55,31.79,31.48,30.94
2002,31.75,31.68,31.86,31.62,31.10
2003,31.70,31.65,31.82,31.55,30.99
2004,31.82,31.75,31.96,31.63,31.12
2005,31.86,31.76,32.01,31.68,31.20
2006,31.83,31.73,31.94,31.71,31.17
2007,31.89,31.79,32.00,31.76,31.23
2008,31.59,31.52,31.71,31.44,30.94
2009,31.53,31.54,31.62,31.37,30.78
2010,32.00,31.91,32.15,31.81,31.36
2011,31.88,31.80,32.07,31.63,31.21
2012,31.56,31.44,31.69,31.43,30.97
2013,31.74,31.61,31.90,31.56,31.12
2014,31.68,31.57,31.83,31.50,31.01
2015,31.86,31.78,32.02,31.66,31.17
2016,32.14,32.02,32.31,31.95,31.43
2017,32.08,31.96,32.24,31.89,31.36
2018,31.87,31.83,31.99,31.70,31.20
2019,31.74,31.68,31.87,31.57,31.07
2020,32.19,32.08,32.36,31.97,31.56
