Variable:,tasmax
,Suriname,Brokopondo,Commewijne,Coronie,Marowijne,Nickerie,Para,Paramaribo,Saramacca,Sipaliwini,Wanica
1901,30.66,31.26,31.04,30.92,30.97,30.64,31.40,31.26,31.24,30.54,31.26
1902,30.67,31.28,31.05,30.92,30.99,30.64,31.40,31.26,31.23,30.55,31.26
1903,30.65,31.26,31.03,30.90,30.97,30.62,31.39,31.25,31.22,30.52,31.25
1904,30.26,30.85,30.62,30.51,30.56,30.20,30.98,30.84,30.82,30.14,30.84
1905,30.48,31.08,30.85,30.75,30.79,30.45,31.21,31.07,31.05,30.36,31.07
1906,30.30,30.89,30.67,30.57,30.60,30.29,31.03,30.88,30.87,30.19,30.88
1907,30.14,30.72,30.50,30.39,30.44,30.12,30.86,30.71,30.69,30.03,30.71
1908,30.34,30.94,30.71,30.61,30.66,30.31,31.08,30.93,30.92,30.23,30.93
1909,30.42,31.01,30.78,30.67,30.73,30.38,31.14,31.00,30.98,30.30,31.00
1910,30.36,30.97,30.74,30.61,30.68,30.32,31.09,30.95,30.92,30.24,30.95
1911,29.83,30.32,30.06,30.01,29.98,29.75,30.45,30.30,30.29,29.74,30.30
1912,30.24,30.74,30.50,30.42,30.42,30.19,30.86,30.72,30.70,30.15,30.72
1913,29.77,30.26,29.99,29.91,29.92,29.66,30.37,30.23,30.21,29.69,30.23
1914,29.87,30.34,30.05,29.98,29.98,29.74,30.45,30.28,30.27,29.80,30.28
1915,30.22,30.74,30.47,30.41,30.40,30.14,30.85,30.70,30.69,30.13,30.70
1916,29.76,30.28,30.00,29.91,29.96,29.65,30.39,30.23,30.21,29.67,30.23
1917,29.53,30.04,29.81,29.79,29.72,29.56,30.19,30.06,30.05,29.43,30.06
1918,29.78,30.28,30.02,30.01,29.93,29.78,30.42,30.25,30.27,29.68,30.25
1919,29.98,30.51,30.25,30.16,30.19,29.89,30.62,30.48,30.45,29.88,30.48
1920,29.87,30.40,30.15,30.05,30.09,29.78,30.52,30.37,30.35,29.77,30.37
1921,29.74,30.28,30.04,29.98,29.97,29.73,30.41,30.28,30.27,29.63,30.28
1922,29.66,30.24,30.00,29.90,29.96,29.61,30.36,30.20,30.18,29.55,30.20
1923,29.73,30.30,30.05,29.93,30.01,29.65,30.41,30.26,30.23,29.62,30.26
1924,29.77,30.32,30.05,29.96,30.00,29.69,30.43,30.28,30.25,29.67,30.28
1925,29.86,30.39,30.13,30.04,30.07,29.77,30.50,30.35,30.33,29.76,30.35
1926,30.20,30.82,30.64,30.48,30.56,30.18,30.97,30.85,30.81,30.07,30.85
1927,29.75,30.41,30.22,30.02,30.20,29.70,30.54,30.41,30.36,29.62,30.41
1928,29.81,30.44,30.23,30.06,30.20,29.76,30.57,30.43,30.39,29.69,30.43
1929,29.62,30.23,30.02,29.87,29.98,29.56,30.36,30.22,30.18,29.50,30.22
1930,29.83,30.44,30.23,30.10,30.17,29.82,30.58,30.44,30.41,29.70,30.44
1931,30.32,30.97,30.80,30.69,30.73,30.40,31.14,31.02,30.99,30.18,31.02
1932,30.20,30.84,30.65,30.54,30.58,30.25,31.00,30.86,30.84,30.06,30.86
1933,29.85,30.49,30.29,30.09,30.24,29.78,30.61,30.48,30.43,29.73,30.48
1934,29.77,30.39,30.17,30.00,30.13,29.71,30.51,30.37,30.33,29.64,30.37
1935,30.03,30.63,30.38,30.24,30.34,29.95,30.74,30.58,30.56,29.92,30.58
1936,30.12,30.70,30.45,30.31,30.38,30.02,30.82,30.67,30.63,30.01,30.67
1937,30.22,30.81,30.60,30.48,30.52,30.20,30.94,30.81,30.77,30.10,30.81
1938,30.05,30.64,30.39,30.24,30.36,29.95,30.75,30.59,30.55,29.94,30.59
1939,30.12,30.70,30.43,30.27,30.40,29.97,30.80,30.63,30.58,30.02,30.63
1940,30.57,31.17,30.95,30.84,30.87,30.57,31.31,31.17,31.15,30.44,31.17
