Variable:,tasmax
,"Trinidad and Tobago",Arima,Chaguanas,Couva/Tabaquite/Talparo,"Diego Martin",Penal/Debe,"Point Fortin","Port Of Spain","Princes Town","Rio Claro/Mayaro","San Fernando","San Juan/Laventille","Sangre Grande",Siparia,Tobago,Tunapuna/Piarco
1901,30.19,29.88,29.89,30.30,30.76,30.42,31.04,30.70,30.41,30.41,30.41,29.91,29.93,31.02,29.55,29.88
1902,29.92,29.60,29.61,30.03,30.48,30.15,30.76,30.42,30.14,30.14,30.14,29.63,29.65,30.74,29.29,29.60
1903,29.95,29.64,29.65,30.05,30.53,30.17,30.81,30.47,30.16,30.16,30.16,29.67,29.69,30.79,29.34,29.64
1904,29.65,29.34,29.35,29.76,30.23,29.88,30.52,30.17,29.87,29.87,29.87,29.37,29.39,30.50,29.04,29.34
1905,29.81,29.49,29.50,29.92,30.38,30.04,30.65,30.32,30.03,30.03,30.03,29.52,29.54,30.63,29.19,29.49
1906,29.80,29.50,29.51,29.90,30.35,30.02,30.64,30.29,30.01,30.01,30.01,29.53,29.55,30.62,29.18,29.50
1907,29.66,29.35,29.36,29.77,30.23,29.89,30.53,30.17,29.88,29.88,29.88,29.38,29.40,30.51,29.03,29.35
1908,29.67,29.37,29.38,29.77,30.23,29.89,30.52,30.17,29.88,29.88,29.88,29.40,29.42,30.50,29.08,29.37
1909,29.68,29.38,29.39,29.78,30.28,29.90,30.54,30.22,29.89,29.89,29.89,29.41,29.43,30.52,29.07,29.38
1910,29.70,29.38,29.39,29.81,30.27,29.94,30.56,30.21,29.93,29.93,29.93,29.41,29.43,30.54,29.08,29.38
1911,29.82,29.50,29.51,29.93,30.37,30.06,30.68,30.31,30.05,30.05,30.05,29.53,29.55,30.66,29.18,29.50
1912,29.94,29.63,29.64,30.05,30.50,30.17,30.78,30.44,30.16,30.16,30.16,29.66,29.68,30.76,29.32,29.63
1913,29.64,29.33,29.34,29.74,30.19,29.86,30.50,30.13,29.85,29.85,29.85,29.36,29.38,30.48,29.00,29.33
1914,29.52,29.21,29.22,29.62,30.11,29.74,30.38,30.05,29.73,29.73,29.73,29.24,29.26,30.36,28.90,29.21
1915,29.92,29.62,29.63,30.02,30.53,30.14,30.78,30.47,30.13,30.13,30.13,29.65,29.67,30.76,29.29,29.62
1916,29.56,29.25,29.26,29.66,30.19,29.78,30.45,30.12,29.77,29.77,29.77,29.28,29.30,30.43,28.93,29.25
1917,29.70,29.37,29.38,29.81,30.22,29.94,30.55,30.16,29.93,29.93,29.93,29.40,29.42,30.53,29.03,29.37
1918,29.78,29.46,29.47,29.89,30.32,30.02,30.63,30.26,30.01,30.01,30.01,29.49,29.51,30.61,29.12,29.46
1919,29.70,29.40,29.41,29.80,30.28,29.92,30.56,30.22,29.91,29.91,29.91,29.43,29.45,30.54,29.08,29.40
1920,29.57,29.27,29.28,29.67,30.14,29.79,30.43,30.08,29.78,29.78,29.78,29.30,29.32,30.41,28.95,29.27
1921,29.70,29.37,29.38,29.81,30.23,29.94,30.53,30.17,29.93,29.93,29.93,29.40,29.42,30.51,29.04,29.37
1922,29.51,29.20,29.21,29.62,30.03,29.74,30.35,29.97,29.73,29.73,29.73,29.23,29.25,30.33,28.89,29.20
1923,29.60,29.29,29.30,29.71,30.16,29.83,30.44,30.10,29.82,29.82,29.82,29.32,29.34,30.42,28.98,29.29
1924,29.56,29.26,29.27,29.66,30.14,29.78,30.39,30.08,29.77,29.77,29.77,29.29,29.31,30.37,28.98,29.26
1925,29.64,29.33,29.34,29.74,30.18,29.86,30.48,30.12,29.85,29.85,29.85,29.36,29.38,30.46,29.03,29.33
1926,30.09,29.78,29.79,30.20,30.66,30.32,30.94,30.60,30.31,30.31,30.31,29.81,29.83,30.92,29.44,29.78
1927,29.60,29.29,29.30,29.70,30.18,29.82,30.44,30.12,29.81,29.81,29.81,29.32,29.34,30.42,28.99,29.29
1928,29.70,29.38,29.39,29.81,30.26,29.93,30.53,30.20,29.92,29.92,29.92,29.41,29.43,30.51,29.06,29.38
1929,29.47,29.15,29.16,29.58,30.03,29.70,30.30,29.97,29.69,29.69,29.69,29.18,29.20,30.28,28.87,29.15
