Variable:,tasmax
,Tuvalu,"Administrative unit not available"
1901,31.13,31.25
1902,31.13,31.25
1903,31.13,31.25
1904,31.13,31.25
1905,31.13,31.25
1906,31.13,31.25
1907,31.13,31.25
1908,31.13,31.25
1909,31.13,31.25
1910,31.13,31.25
1911,31.13,31.25
1912,31.13,31.25
1913,31.13,31.25
1914,31.13,31.25
1915,31.13,31.25
1916,31.13,31.25
1917,31.13,31.25
1918,31.13,31.25
1919,31.13,31.25
1920,31.13,31.25
1921,31.13,31.24
1922,31.13,31.24
1923,31.13,31.24
1924,31.13,31.24
1925,31.13,31.25
1926,31.13,31.25
1927,31.13,31.27
1928,31.13,31.28
1929,31.13,31.26
1930,31.13,31.25
1931,31.13,31.26
1932,31.25,31.38
1933,31.48,31.63
1934,31.52,31.66
1935,31.29,31.44
1936,31.70,31.80
1937,31.60,31.73
1938,31.29,31.39
1939,31.13,31.27
1940,31.52,31.60
1941,31.47,31.57
1942,31.05,31.14
1943,31.30,31.40
1944,30.79,30.90
1945,30.84,30.91
1946,31.12,31.18
1947,31.44,31.54
1948,31.05,31.16
1949,31.25,31.36
1950,31.18,31.31
1951,31.20,31.36
1952,31.51,31.68
1953,31.21,31.34
1954,30.98,31.16
1955,30.89,31.04
1956,31.26,31.39
1957,31.34,31.57
1958,31.65,31.87
1959,31.59,31.75
1960,31.35,31.43
1961,31.13,31.07
1962,31.10,31.01
1963,31.23,31.18
1964,31.02,30.97
1965,30.79,30.88
1966,31.12,31.20
1967,30.88,30.88
1968,31.24,31.38
1969,31.42,31.61
1970,30.97,30.98
1971,30.87,30.88
1972,31.21,31.40
1973,31.10,31.32
1974,30.94,31.03
1975,30.95,30.99
1976,31.04,31.28
1977,31.05,31.30
1978,31.10,31.31
1979,31.34,31.44
1980,31.36,31.57
1981,31.45,31.69
1982,31.34,31.59
1983,31.01,31.22
1984,31.15,31.27
1985,31.35,31.52
1986,31.18,31.45
1987,31.01,31.13
1988,31.20,31.25
1989,30.99,31.15
1990,31.50,31.74
1991,31.72,31.98
1992,31.42,31.68
1993,31.20,31.32
1994,31.57,31.68
1995,31.49,31.64
1996,31.39,31.45
1997,31.57,31.70
1998,31.45,31.56
1999,31.59,31.61
2000,31.61,31.63
2001,31.79,31.85
2002,31.92,32.01
2003,31.65,31.76
2004,31.79,31.86
2005,31.93,32.10
2006,31.69,31.91
2007,31.98,32.05
2008,31.67,31.73
2009,31.49,31.68
2010,31.81,31.89
2011,31.52,31.62
2012,31.40,31.50
2013,31.46,31.48
2014,31.49,31.55
2015,31.45,31.58
2016,31.77,31.73
2017,31.71,31.71
2018,31.77,31.74
2019,31.76,31.76
2020,31.87,31.91
