Variable:,tasmax
,"Tanzania, United Republic of",Arusha,Dar-es-salaam,Dodoma,Kigoma,Kilimanjaro,Lindi,Manyara,Mara,Mbeya,Morogoro,Mtwara,"Kaskazini Pemba","Kaskazini Unguja",Pwani,Ruvuma,Singida,"Kusini Pemba","Kusini Unguja",Tabora,Tanga,"Mjini Magharibi",Geita,Iringa,Kagera,Katavi,Mwanza,Njombe,Rukwa,Shinyanga,Simiyu
1901,27.89,26.85,30.36,27.59,28.07,26.99,29.30,26.62,27.84,26.81,29.16,29.36,29.96,30.27,30.43,27.46,27.71,29.96,30.28,28.57,28.71,30.33,27.96,26.65,27.17,27.99,28.20,24.43,27.10,28.40,27.53
1902,28.06,27.03,30.73,27.78,28.06,27.27,29.66,26.82,27.94,26.94,29.45,29.70,30.33,30.64,30.79,27.79,27.85,30.33,30.65,28.64,29.03,30.70,27.97,26.85,27.18,28.01,28.24,24.68,27.17,28.45,27.62
1903,28.02,26.98,30.49,27.75,28.11,27.13,29.45,26.76,27.93,26.95,29.30,29.51,30.10,30.42,30.57,27.68,27.87,30.10,30.42,28.69,28.85,30.47,28.04,26.79,27.20,28.08,28.28,24.62,27.22,28.51,27.64
1904,27.61,26.42,30.06,27.26,27.86,26.60,29.12,26.24,27.33,26.65,28.90,29.21,29.59,29.93,30.15,27.32,27.41,29.59,29.95,28.28,28.34,30.00,27.54,26.38,26.67,27.87,27.70,24.27,27.08,28.00,27.07
1905,27.47,26.30,30.32,27.12,27.29,26.67,29.42,26.15,27.15,26.40,29.04,29.55,29.86,30.20,30.41,27.65,27.10,29.86,30.21,27.84,28.51,30.27,27.08,26.31,26.35,27.31,27.37,24.35,26.64,27.58,26.78
1906,27.07,25.87,29.86,26.69,26.93,26.25,28.99,25.72,26.71,26.01,28.61,29.13,29.40,29.74,29.95,27.27,26.69,29.40,29.76,27.45,28.06,29.82,26.69,25.89,25.96,26.95,26.94,23.99,26.29,27.17,26.36
1907,27.44,26.31,29.99,27.18,27.40,26.51,29.06,26.16,27.17,26.43,28.81,29.24,29.57,29.88,30.07,27.29,27.26,29.57,29.90,28.04,28.28,29.95,27.25,26.29,26.38,27.45,27.49,24.18,26.66,27.79,26.94
1908,27.86,26.81,30.53,27.58,27.82,27.06,29.46,26.62,27.72,26.76,29.24,29.56,30.13,30.43,30.57,27.62,27.65,30.13,30.44,28.44,28.82,30.49,27.75,26.64,26.93,27.81,28.01,24.50,26.98,28.24,27.41
1909,27.06,25.63,29.63,26.60,27.20,25.96,28.94,25.55,26.34,26.27,28.45,29.29,29.13,29.45,29.70,27.38,26.74,29.13,29.48,27.60,27.78,29.52,26.63,25.86,25.69,27.37,26.70,24.11,26.74,27.13,26.18
1910,26.92,25.43,29.43,26.40,27.16,25.75,28.78,25.33,26.22,26.15,28.28,29.14,28.92,29.25,29.52,27.20,26.55,28.92,29.29,27.47,27.56,29.34,26.56,25.70,25.65,27.29,26.61,23.96,26.67,27.01,26.02
1911,27.22,25.89,29.83,26.85,27.17,26.15,29.14,25.78,26.74,26.30,28.70,29.40,29.26,29.62,29.97,27.39,26.91,29.26,29.68,27.67,27.97,29.73,26.85,26.11,26.03,27.24,27.07,24.16,26.59,27.35,26.49
1912,27.19,25.80,29.78,26.76,27.26,26.14,29.08,25.72,26.49,26.37,28.60,29.42,29.31,29.62,29.85,27.51,26.88,29.31,29.67,27.72,27.94,29.72,26.74,26.00,25.78,27.43,26.84,24.24,26.79,27.27,26.34
1913,26.90,25.07,29.46,26.17,27.10,25.38,29.20,24.98,25.99,26.29,28.40,29.66,28.79,29.12,29.57,27.65,26.31,28.79,29.23,27.23,27.30,29.26,26.40,25.78,25.61,27.18,26.42,24.31,26.73,26.76,25.72
1914,27.21,25.60,29.79,26.61,27.31,25.88,29.32,25.48,26.50,26.48,28.69,29.69,29.18,29.54,29.90,27.81,26.73,29.18,29.62,27.61,27.77,29.66,26.80,26.07,25.99,27.38,26.89,24.47,26.84,27.21,26.23
1915,27.14,25.48,29.73,26.51,27.26,25.83,29.30,25.37,26.38,26.44,28.62,29.68,29.18,29.44,29.82,27.78,26.63,29.18,29.53,27.52,27.69,29.56,26.71,26.01,25.90,27.33,26.79,24.44,26.82,27.11,26.11
1916,26.83,24.94,29.38,26.05,27.04,25.30,29.16,24.85,25.85,26.27,28.33,29.65,28.74,29.03,29.49,27.73,26.20,28.74,29.13,27.14,27.20,29.16,26.30,25.71,25.50,27.13,26.30,24.35,26.73,26.65,25.59
1917,26.48,24.34,28.97,25.55,26.79,24.75,29.02,24.27,25.26,26.08,28.00,29.63,28.33,28.55,29.11,27.66,25.72,28.33,28.69,26.71,26.68,28.71,25.84,25.38,25.05,26.91,25.75,24.23,26.63,26.13,25.00
1918,26.75,24.84,29.31,25.97,27.00,25.18,29.13,24.75,25.75,26.20,28.27,29.64,28.65,28.94,29.42,27.56,26.12,28.65,29.05,27.06,27.10,29.08,26.22,25.65,25.42,27.09,26.19,24.23,26.68,26.56,25.48
1919,26.93,25.13,29.50,26.22,27.12,25.42,29.21,25.04,26.05,26.30,28.43,29.65,28.78,29.16,29.62,27.60,26.37,28.78,29.25,27.28,27.35,29.28,26.45,25.82,25.65,27.21,26.48,24.29,26.73,26.82,25.78
1920,26.92,25.10,29.49,26.19,27.11,25.38,29.20,25.00,26.01,26.33,28.42,29.66,28.75,29.12,29.59,27.77,26.33,28.75,29.24,27.25,27.31,29.27,26.42,25.80,25.62,27.19,26.44,24.39,26.76,26.79,25.75
1921,27.86,26.75,30.57,27.56,27.77,27.04,29.59,26.58,27.62,26.80,29.30,29.73,30.17,30.45,30.62,27.77,27.63,30.17,30.49,28.40,28.81,30.53,27.67,26.69,26.83,27.79,27.92,24.60,27.01,28.18,27.33
1922,27.81,26.64,30.49,27.46,27.72,26.97,29.57,26.46,27.50,26.80,29.23,29.73,30.14,30.37,30.54,27.87,27.54,30.14,30.39,28.32,28.72,30.43,27.58,26.63,26.74,27.74,27.81,24.64,27.00,28.08,27.21
1923,28.01,27.03,30.41,27.64,28.13,26.98,29.54,26.68,28.03,26.84,29.19,29.73,29.93,30.25,30.47,27.81,27.87,29.93,30.29,28.77,28.63,30.33,28.13,26.62,27.29,28.03,28.36,24.60,27.05,28.63,27.74
1924,27.99,26.96,30.68,27.72,27.85,27.29,29.64,26.77,27.82,26.90,29.40,29.73,30.44,30.64,30.73,27.86,27.78,30.44,30.61,28.54,29.01,30.65,27.82,26.79,26.97,27.87,28.10,24.72,27.06,28.34,27.53
1925,27.90,26.79,30.59,27.59,27.78,27.10,29.60,26.61,27.65,26.89,29.32,29.73,30.24,30.49,30.64,27.91,27.66,30.24,30.49,28.42,28.85,30.53,27.69,26.71,26.85,27.80,27.95,24.76,27.06,28.21,27.37
1926,28.23,27.38,30.89,28.04,28.08,27.56,29.71,27.13,28.27,27.02,29.56,29.81,30.53,30.81,30.91,27.96,28.12,30.53,30.83,28.88,29.25,30.88,28.21,26.96,27.36,28.05,28.53,24.78,27.13,28.76,27.97
1927,28.32,27.58,30.70,28.06,28.39,27.50,29.64,27.19,28.60,27.00,29.43,29.72,30.35,30.61,30.75,27.85,28.30,30.35,30.63,29.18,29.06,30.68,28.60,26.88,27.74,28.25,28.89,24.75,27.14,29.12,28.31
