Variable:,tasmin
,Argentina,"Buenos Aires","Buenos Aires D.f.",Catamarca,Chaco,Chubut,Cordoba,Corrientes,"Entre Rios",Formosa,Jujuy,"La Pampa","La Rioja",Mendoza,Misiones,Neuquen,"Rio Negro",Salta,"San Juan","San Luis","Santa Cruz","Santa Fe","Santiago Del Estero","Tierra Del Fuego",Tucuman
1901,8.39,8.87,12.03,3.51,15.84,4.46,10.92,14.96,12.18,17.13,2.82,7.86,9.00,5.18,14.24,3.53,5.60,10.10,4.16,9.66,3.51,12.81,14.50,2.78,11.39
1902,8.01,8.65,11.86,3.02,15.76,3.73,10.59,15.05,12.04,17.17,2.58,7.48,8.44,4.70,14.82,3.00,5.06,9.84,3.56,9.26,2.75,12.62,14.24,2.02,11.01
1903,7.68,8.40,11.54,2.48,15.05,3.86,10.15,14.46,11.56,16.41,2.00,7.24,7.95,4.36,14.14,2.92,5.03,9.20,3.09,8.89,2.81,12.10,13.62,1.95,10.39
1904,7.87,8.36,11.34,2.64,15.12,4.38,10.21,14.51,11.62,16.36,1.89,7.44,8.05,4.56,13.90,3.29,5.41,9.22,3.25,8.99,3.39,12.19,13.78,2.47,10.63
1905,7.51,8.09,11.15,2.42,14.88,3.87,9.89,14.30,11.32,16.17,1.69,7.11,7.90,4.33,14.03,2.95,5.01,8.96,3.17,8.71,2.44,11.89,13.50,0.85,10.36
1906,8.08,8.74,11.98,3.18,15.80,4.22,10.55,15.17,12.21,17.07,2.40,7.58,8.47,4.80,14.64,3.16,5.38,9.77,3.75,9.27,2.49,12.73,14.38,0.54,11.16
1907,7.38,8.04,11.15,2.30,14.95,3.54,9.75,14.48,11.33,16.29,1.56,6.95,7.65,4.09,13.93,2.59,4.74,8.90,2.96,8.55,2.30,11.86,13.47,0.99,10.26
1908,7.77,8.55,11.70,2.62,15.23,3.98,10.20,14.73,11.79,16.52,1.84,7.46,8.05,4.56,13.99,3.04,5.25,9.21,3.39,9.03,2.46,12.27,13.80,0.91,10.58
1909,7.63,8.37,11.50,2.38,15.12,3.98,10.01,14.47,11.61,16.41,1.82,7.30,7.64,4.22,13.96,2.93,5.21,9.14,2.84,8.74,2.59,12.10,13.70,1.15,10.46
1910,7.68,8.43,11.55,2.36,15.07,3.95,10.08,14.56,11.63,16.37,1.60,7.36,7.69,4.35,14.15,2.95,5.12,8.98,2.90,8.88,2.93,12.12,13.65,2.00,10.39
1911,7.39,7.82,10.93,2.20,14.90,3.73,9.73,14.39,11.21,16.15,1.40,6.85,7.65,4.06,13.78,2.71,4.75,8.69,2.92,8.51,2.90,11.78,13.44,2.03,10.15
1912,8.13,8.59,11.63,3.23,15.61,4.37,10.56,14.87,11.94,16.75,2.22,7.68,8.90,5.08,14.27,3.41,5.49,9.50,4.24,9.34,3.00,12.53,14.28,1.79,11.05
1913,8.58,9.57,12.75,3.61,15.66,4.62,11.45,15.10,12.77,16.64,2.36,8.50,9.27,5.67,14.15,3.91,6.00,9.66,4.47,10.12,2.91,13.26,14.70,1.31,11.49
1914,7.75,8.59,11.78,2.62,15.27,3.76,10.46,14.75,12.03,16.42,2.14,7.39,7.67,4.30,14.49,2.88,5.02,9.34,2.66,8.99,2.48,12.56,14.07,1.08,10.83
1915,7.78,8.55,11.68,2.71,15.15,3.82,10.48,14.42,11.81,16.37,2.26,7.51,7.77,4.54,14.08,3.04,5.07,9.40,2.82,9.19,2.63,12.32,14.00,1.41,10.88
1916,7.88,8.68,11.87,2.67,14.99,4.15,10.58,14.52,11.96,16.07,1.87,7.58,8.04,4.58,13.73,3.11,5.33,9.09,3.10,9.18,3.08,12.44,13.88,2.25,10.70
1917,7.98,8.74,11.74,2.61,14.70,4.82,10.41,14.37,11.76,15.75,1.22,7.82,8.46,4.96,13.34,3.68,5.91,8.53,3.80,9.24,3.48,12.23,13.53,2.31,10.20
1918,7.70,8.52,11.58,2.55,14.66,4.07,10.17,14.28,11.59,15.81,1.45,7.52,8.25,4.71,13.55,3.13,5.30,8.63,3.59,9.04,2.80,12.05,13.45,1.76,10.24
1919,8.16,8.71,11.85,3.27,15.55,4.27,10.62,15.02,12.10,16.78,2.33,7.69,8.86,5.07,14.53,3.37,5.47,9.54,4.20,9.40,3.04,12.64,14.21,2.02,11.02
1920,8.13,8.82,11.90,3.23,15.30,4.24,10.72,14.75,12.03,16.46,2.14,7.74,8.89,5.11,14.15,3.29,5.46,9.35,4.22,9.49,3.12,12.56,14.09,2.25,10.93
1921,7.56,8.26,11.28,2.33,14.74,3.86,9.82,14.27,11.35,16.02,1.47,7.18,7.98,4.39,14.01,2.82,5.00,8.66,3.39,8.76,3.13,11.81,13.29,2.53,10.06
1922,7.63,8.38,11.38,2.27,14.64,4.21,9.82,14.21,11.36,15.92,1.41,7.31,7.94,4.43,14.04,3.05,5.31,8.60,3.35,8.73,3.28,11.80,13.24,2.43,10.03
1923,7.52,8.04,11.17,2.56,14.99,3.58,9.94,14.50,11.50,16.25,1.76,7.01,8.09,4.33,14.22,2.69,4.78,8.95,3.36,8.69,2.55,12.03,13.58,1.38,10.37
1924,7.56,7.85,10.88,2.54,14.74,4.00,9.79,14.02,11.16,15.96,1.83,6.96,8.15,4.45,13.55,2.94,4.97,8.91,3.55,8.72,3.31,11.71,13.42,2.43,10.33
1925,7.95,8.59,11.69,3.24,15.32,3.61,10.62,14.79,11.93,16.52,2.06,7.48,9.05,5.04,14.34,2.92,4.91,9.27,4.47,9.53,2.77,12.47,14.05,1.79,10.84
1926,8.25,8.98,12.18,3.42,15.92,3.75,10.91,15.45,12.47,17.18,2.40,7.83,9.13,5.25,15.10,3.14,5.16,9.67,4.50,9.75,2.77,12.95,14.51,1.95,11.27
