Variable:,tasmin
,Australia,"Australian Capital Territory","Coral Sea Islands Territory","New South Wales","Northern Territory","Other Territories",Queensland,"South Australia",Tasmania,Victoria,"Western Australia"
1901,14.52,4.11,NaN,10.37,17.75,11.73,16.28,11.95,5.27,7.65,14.78
1902,14.30,3.85,NaN,9.88,18.06,11.42,15.79,11.84,5.16,7.36,14.50
1903,14.26,3.90,NaN,9.97,17.58,11.47,15.97,11.43,5.25,7.49,14.64
1904,14.15,3.67,NaN,9.66,17.08,11.19,15.88,11.40,5.03,7.36,14.77
1905,14.08,3.39,NaN,9.48,17.67,10.94,15.54,11.30,5.08,7.12,14.59
1906,14.84,3.89,NaN,10.14,18.55,11.37,16.13,12.24,5.37,7.85,15.37
1907,14.04,3.50,NaN,9.67,17.21,11.13,15.26,11.46,5.27,7.22,14.76
1908,13.75,3.78,NaN,9.77,16.75,11.28,14.95,11.47,5.71,7.93,14.21
1909,13.99,3.61,NaN,9.58,17.55,11.33,15.21,11.21,5.24,7.30,14.59
1910,14.39,4.03,NaN,10.23,17.63,11.88,15.61,11.76,6.06,8.02,14.98
1911,14.09,4.06,NaN,9.95,17.24,11.83,14.98,11.74,5.89,7.89,14.81
1912,14.55,4.36,NaN,10.32,17.60,12.14,15.77,11.87,5.98,7.76,15.32
1913,14.04,4.37,NaN,10.23,16.94,12.35,15.02,11.53,5.72,7.67,14.83
1914,14.97,5.34,NaN,11.36,17.83,13.20,16.10,12.61,6.02,8.39,15.58
1915,14.93,4.76,NaN,10.67,18.25,12.56,16.33,12.17,5.78,7.83,15.51
1916,14.48,4.51,NaN,10.38,17.60,12.18,16.07,11.64,5.73,7.67,14.98
1917,13.79,4.16,NaN,9.84,16.73,11.70,14.90,11.39,5.88,7.97,14.41
1918,14.05,4.03,NaN,9.83,16.87,11.73,14.57,11.79,6.09,7.94,15.17
1919,14.53,4.75,NaN,10.75,17.27,12.58,15.57,12.15,6.17,8.07,15.28
1920,14.33,4.22,NaN,10.08,17.31,11.95,15.90,11.52,5.90,7.80,14.93
1921,14.69,4.55,NaN,10.74,17.26,12.57,16.15,12.18,6.52,8.39,15.35
1922,14.10,4.41,NaN,10.05,17.12,12.33,15.19,11.53,5.92,7.67,14.82
1923,14.24,4.56,NaN,10.35,17.14,12.34,15.21,11.69,5.61,7.75,15.08
1924,13.87,3.80,NaN,9.42,17.12,11.73,15.37,10.61,5.43,7.09,14.63
1925,13.86,3.96,NaN,9.78,16.88,11.86,14.97,11.30,5.44,7.38,14.61
1926,14.53,4.44,NaN,10.34,17.77,12.33,16.08,11.37,6.02,7.80,15.15
1927,14.20,3.70,NaN,9.48,17.43,11.64,15.42,11.35,5.48,7.19,15.13
1928,14.54,4.72,NaN,10.31,18.07,12.56,15.96,11.62,6.25,7.86,14.99
1929,13.77,3.93,NaN,9.61,16.97,11.77,15.05,10.98,5.46,7.11,14.43
1930,14.58,4.71,NaN,10.59,17.49,12.46,15.52,12.19,5.97,8.06,15.41
1931,14.25,4.33,NaN,10.00,17.59,12.18,16.10,11.28,5.59,7.51,14.55
1932,14.35,4.35,NaN,10.08,17.57,12.23,15.71,11.48,5.93,7.62,15.01
1933,14.32,4.21,NaN,10.12,17.40,12.10,15.94,11.29,5.73,7.50,14.92
1934,14.48,4.63,NaN,10.15,17.78,12.31,15.78,11.97,6.29,8.13,14.98
1935,14.18,3.95,NaN,9.78,17.71,11.47,15.71,11.57,5.88,7.65,14.47
1936,14.45,3.88,NaN,9.95,17.61,11.78,15.90,11.46,5.79,7.61,15.21
1937,14.26,4.26,NaN,10.20,17.16,12.19,15.51,11.75,5.90,7.69,14.95
1938,14.89,4.76,NaN,10.89,17.77,12.52,16.53,11.99,5.80,7.85,15.50
1939,14.37,4.95,NaN,10.68,17.12,12.58,15.72,11.94,5.99,8.10,14.88
1940,14.22,4.51,NaN,10.24,17.05,12.46,15.77,11.27,5.50,7.40,14.92
1941,14.23,4.15,NaN,9.88,16.94,12.01,15.30,11.66,5.50,7.70,15.27
1942,14.81,5.16,NaN,10.78,18.05,12.73,16.71,12.15,5.97,8.36,14.93
1943,13.92,4.11,NaN,9.72,16.96,11.77,15.56,11.03,5.13,7.18,14.47
1944,14.12,4.02,NaN,9.93,16.86,11.78,15.65,11.24,5.41,7.18,14.94
1945,14.36,4.37,NaN,10.26,17.02,12.15,16.15,11.47,5.35,7.31,15.02
1946,13.83,4.44,NaN,10.02,16.50,12.31,15.17,11.17,5.28,7.29,14.56
1947,14.50,4.84,NaN,10.43,17.49,12.41,16.03,11.91,6.01,8.08,14.97
1948,14.02,3.89,NaN,9.83,16.89,11.58,15.73,11.02,5.48,7.28,14.67
1949,13.86,4.19,NaN,9.93,16.53,11.88,15.33,10.90,5.17,7.16,14.68
1950,14.34,5.12,NaN,11.05,16.89,12.83,15.90,11.58,5.65,7.96,14.83
1951,14.12,4.36,NaN,10.09,16.91,12.00,14.84,12.02,5.73,8.06,15.02
1952,14.20,4.72,NaN,10.37,17.30,12.20,15.99,11.15,5.51,7.56,14.55
1953,14.11,4.13,NaN,10.09,16.99,11.84,15.23,11.48,5.54,7.52,14.95
1954,14.33,4.49,NaN,10.39,17.19,12.20,15.71,11.39,5.77,7.64,15.09
1955,14.70,4.86,NaN,10.81,18.02,12.31,16.03,12.13,5.61,8.03,15.12
1956,14.00,4.23,NaN,10.08,16.92,11.80,15.17,11.36,6.09,7.87,14.69
1957,14.37,3.62,NaN,9.92,17.47,11.51,15.50,11.48,5.29,7.10,15.37
1958,14.86,4.71,NaN,10.83,18.00,12.43,16.40,11.69,5.39,7.67,15.55
1959,14.94,4.79,NaN,10.82,17.95,12.42,16.00,12.00,5.95,8.12,15.92
1960,14.16,4.43,NaN,10.40,17.21,11.81,15.34,11.58,5.66,7.89,14.70
1961,14.52,4.54,NaN,10.67,17.31,12.08,15.39,12.07,6.47,8.53,15.39
1962,14.62,4.11,NaN,10.33,17.53,11.69,15.96,11.98,5.91,7.91,15.38
1963,14.71,4.69,NaN,10.93,17.50,12.18,15.69,12.39,5.47,8.21,15.49
1964,14.48,4.04,NaN,10.11,17.73,11.67,16.00,11.53,5.63,7.53,15.11
1965,14.78,3.96,NaN,10.60,17.73,11.72,15.89,12.18,5.33,7.54,15.69
1966,14.26,4.03,NaN,10.28,17.20,11.59,15.76,11.62,5.67,7.60,14.80
1967,14.39,4.32,NaN,10.82,16.83,11.86,16.09,11.67,5.41,7.65,14.98
1968,14.60,5.04,NaN,10.97,17.57,12.22,16.19,12.23,5.63,8.27,14.83
1969,14.60,4.87,NaN,10.96,17.24,12.38,16.57,11.68,5.95,7.98,14.97
1970,14.45,4.25,NaN,10.16,17.33,11.63,15.90,11.37,5.82,7.81,15.31
1971,14.54,4.34,NaN,10.51,17.62,11.71,15.98,11.98,6.25,8.23,14.99
1972,14.63,4.45,NaN,10.54,17.47,12.04,15.80,11.73,6.02,7.86,15.59
1973,15.68,5.70,NaN,11.90,18.71,13.03,17.56,12.99,6.52,8.64,15.90
1974,14.48,4.92,NaN,10.78,16.97,12.29,15.66,12.20,6.56,8.64,15.17
1975,14.66,5.10,NaN,10.93,17.29,12.45,16.35,12.00,6.24,8.54,15.12
1976,13.94,4.45,NaN,10.10,16.31,12.01,15.32,11.13,6.09,7.90,14.82
1977,14.60,4.60,NaN,10.67,17.08,12.09,15.82,12.04,5.86,7.90,15.54
1978,14.76,5.12,NaN,10.79,17.53,12.38,16.04,11.89,6.11,8.36,15.58
1979,15.11,4.99,NaN,11.21,18.11,12.45,16.41,12.59,6.08,8.39,15.69
1980,15.36,5.10,NaN,11.28,18.50,12.68,16.73,12.61,6.52,8.39,15.99
1981,15.18,5.44,NaN,11.53,18.20,12.76,16.58,12.68,6.75,8.78,15.56
1982,14.66,4.62,NaN,10.78,17.27,12.08,15.99,12.25,5.98,8.01,15.38
1983,15.38,5.45,NaN,11.51,18.15,12.87,17.18,12.63,6.06,8.57,15.84
1984,14.55,4.10,NaN,10.14,17.44,11.81,16.04,11.88,5.96,7.64,15.29
1985,14.94,4.61,NaN,10.64,17.88,12.26,16.38,12.13,6.14,8.18,15.70
1986,15.04,4.20,NaN,10.40,18.58,12.00,16.85,12.15,5.92,7.82,15.41
1987,15.01,4.25,NaN,10.84,18.05,12.35,16.92,12.16,5.75,7.83,15.42
1988,15.59,5.42,NaN,11.53,18.71,13.07,17.39,12.82,7.06,9.01,15.90
1989,14.98,4.97,NaN,11.00,17.97,12.70,16.57,12.23,6.44,8.53,15.44
1990,15.32,5.23,NaN,11.48,18.52,12.78,16.72,12.85,6.29,8.71,15.67
1991,15.28,5.08,NaN,11.12,18.19,12.84,16.33,12.77,5.92,8.29,16.19
1992,15.10,4.54,NaN,10.58,18.39,12.23,16.58,12.28,5.96,8.21,15.75
1993,15.33,4.83,NaN,11.11,18.52,12.57,17.22,12.69,6.38,8.34,15.59
1994,14.65,4.16,NaN,10.27,17.47,12.01,16.05,12.08,5.74,7.77,15.44
1995,15.10,4.66,NaN,10.77,18.26,12.22,16.93,12.46,5.50,7.95,15.46
1996,15.20,4.27,NaN,10.53,18.50,11.93,16.74,12.40,5.66,7.70,15.91
1997,14.99,4.85,NaN,11.02,17.80,12.44,16.56,12.69,5.89,8.05,15.45
1998,15.76,5.42,NaN,11.45,18.93,13.18,17.64,12.72,6.05,8.01,16.30
1999,15.11,5.15,NaN,11.22,18.01,12.73,16.64,12.83,6.68,8.53,15.47
2000,14.85,5.19,NaN,11.04,17.64,12.63,16.36,13.20,6.49,8.66,14.96
2001,14.60,4.96,NaN,10.79,17.29,12.63,16.25,12.57,6.55,8.49,14.81
2002,14.79,4.66,NaN,10.76,17.48,12.28,16.34,12.28,6.37,7.98,15.38
2003,15.28,5.05,NaN,11.16,18.14,12.48,17.08,12.79,6.18,8.26,15.69
2004,15.08,4.88,NaN,10.85,18.08,12.48,16.66,12.78,5.80,8.01,15.53
2005,15.54,5.00,NaN,11.26,18.72,12.63,17.37,12.87,6.48,8.29,15.90
2006,14.88,4.64,NaN,10.79,17.78,12.24,16.82,12.65,5.54,7.70,15.08
2007,15.08,5.51,NaN,11.53,17.91,12.90,16.68,12.99,6.59,8.73,15.21
2008,14.75,4.44,NaN,10.65,17.80,11.84,16.27,12.50,5.86,7.97,15.12
2009,15.11,5.26,NaN,11.44,17.99,12.69,16.40,13.23,6.47,8.39,15.44
2010,15.01,5.16,NaN,11.22,17.69,12.64,16.64,12.41,6.27,8.37,15.51
2011,14.67,5.04,NaN,10.95,16.85,12.65,15.79,12.73,6.42,8.58,15.46
2012,14.55,4.48,NaN,10.51,17.09,12.08,15.87,12.23,6.61,8.36,15.27
2013,15.64,5.31,NaN,11.30,18.67,12.74,17.10,13.36,6.92,8.89,16.12
2014,15.50,5.69,NaN,11.63,18.19,13.16,17.10,13.31,6.95,8.94,15.86
2015,15.39,5.27,NaN,11.31,17.95,12.83,17.03,12.73,6.48,8.48,16.09
2016,15.69,6.02,NaN,11.91,18.58,13.38,17.67,12.92,7.22,9.16,15.91
2017,15.35,5.48,NaN,11.49,18.05,13.05,17.24,12.93,6.89,8.71,15.62
2018,15.27,5.43,NaN,11.36,18.06,12.93,16.95,12.94,7.02,8.79,15.59
2019,15.48,5.54,NaN,11.48,18.45,13.06,16.99,12.84,6.76,8.64,16.00
2020,15.63,5.81,NaN,11.63,18.57,13.32,17.39,12.76,6.59,8.62,16.13
