Variable:,tasmin
,Austria,Burgenland,Karnten,Niederosterreich,Oberosterreich,Salzburg,Steiermark,Tirol,Vorarlberg,Wien
1901,1.07,4.02,-0.12,3.10,2.12,-0.93,0.91,-1.61,0.17,4.67
1902,1.14,3.80,0.09,2.92,2.23,-0.64,0.90,-1.28,0.51,4.47
1903,1.46,4.45,0.20,3.58,2.59,-0.53,1.21,-1.26,0.54,5.11
1904,1.94,4.89,0.75,3.99,3.04,-0.05,1.72,-0.72,1.13,5.54
1905,1.57,4.61,0.27,3.75,2.76,-0.42,1.41,-1.31,0.42,5.30
1906,1.41,4.51,0.09,3.61,2.58,-0.67,1.23,-1.48,0.39,5.16
1907,1.38,4.40,0.08,3.55,2.57,-0.68,1.22,-1.50,0.38,5.11
1908,1.04,4.08,-0.20,3.18,2.18,-1.05,0.89,-1.82,0.07,4.77
1909,1.12,4.35,-0.12,3.34,2.26,-1.02,1.07,-1.91,-0.14,4.93
1910,1.96,5.23,0.69,4.20,3.11,-0.20,1.89,-1.07,0.67,5.78
1911,2.22,5.26,0.95,4.32,3.37,0.19,2.05,-0.57,1.24,5.87
1912,1.55,4.46,0.40,3.52,2.68,-0.38,1.40,-1.17,0.58,5.10
1913,1.92,4.89,0.65,4.01,3.08,-0.05,1.74,-0.87,0.95,5.58
1914,1.62,4.45,0.38,3.66,2.83,-0.25,1.36,-1.08,0.68,5.19
1915,1.74,4.82,0.45,3.90,2.92,-0.29,1.60,-1.14,0.61,5.47
1916,2.47,5.66,1.22,4.72,3.64,0.40,2.41,-0.61,0.96,6.31
1917,1.30,4.46,0.10,3.48,2.43,-0.74,1.23,-1.69,-0.03,5.05
1918,2.18,5.23,0.85,4.38,3.41,0.14,2.00,-0.74,0.94,5.93
1919,1.39,4.60,0.10,3.63,2.54,-0.73,1.35,-1.69,0.19,5.19
1920,2.60,5.41,1.52,4.55,3.75,0.77,2.41,-0.08,1.45,6.12
1921,2.28,5.19,1.04,4.32,3.44,0.40,2.07,-0.40,1.36,5.87
1922,1.39,4.42,0.26,3.50,2.58,-0.60,1.29,-1.54,0.16,5.08
1923,2.21,5.32,0.94,4.38,3.37,0.18,2.08,-0.71,1.04,5.97
1924,1.42,4.34,0.36,3.39,2.50,-0.47,1.25,-1.28,0.47,4.95
1925,1.85,4.96,0.54,4.06,3.03,-0.17,1.68,-1.06,0.63,5.63
1926,2.63,5.69,1.38,4.81,3.83,0.62,2.47,-0.32,1.36,6.38
1927,2.17,5.25,0.97,4.30,3.31,0.17,2.05,-0.75,1.00,5.90
1928,2.24,5.18,0.98,4.33,3.45,0.28,2.02,-0.51,1.30,5.91
1929,1.30,4.20,0.19,3.32,2.46,-0.61,1.11,-1.45,0.26,4.89
1930,2.42,5.45,1.22,4.52,3.53,0.46,2.25,-0.37,1.25,6.10
1931,1.19,4.30,0.01,3.37,2.36,-0.82,1.06,-1.79,-0.17,4.94
1932,1.84,4.77,0.68,3.97,3.01,-0.04,1.64,-0.99,0.52,5.55
1933,0.98,3.95,-0.19,3.05,2.07,-0.99,0.78,-1.76,0.06,4.61
1934,2.82,6.04,1.49,5.18,4.01,0.73,2.70,-0.27,1.21,6.77
1935,1.74,4.89,0.42,3.98,2.88,-0.36,1.61,-1.21,0.54,5.54
1936,2.25,5.32,1.08,4.39,3.38,0.28,2.13,-0.68,0.93,5.99
1937,2.31,5.39,0.93,4.52,3.50,0.28,2.11,-0.56,1.15,6.08
1938,1.93,5.09,0.60,4.21,3.12,-0.12,1.74,-1.03,0.61,5.77
1939,2.03,5.18,0.80,4.23,3.16,-0.01,1.91,-0.91,0.72,5.79
1940,0.35,3.02,-0.67,2.21,1.49,-1.38,0.10,-2.20,-0.43,3.73
1941,0.88,3.79,-0.31,2.94,2.05,-1.00,0.64,-1.83,-0.12,4.49
1942,1.28,4.01,0.28,3.18,2.38,-0.50,1.07,-1.31,0.39,4.74
1943,2.29,5.14,1.12,4.30,3.40,0.38,2.06,-0.37,1.44,5.86
1944,1.79,5.01,0.45,4.06,2.96,-0.33,1.70,-1.27,0.55,5.67
1945,2.27,5.46,0.86,4.57,3.46,0.12,2.16,-0.75,1.10,6.18
1946,2.42,5.40,1.25,4.55,3.60,0.43,2.34,-0.53,1.03,6.06
1947,2.16,4.88,1.06,4.03,3.28,0.36,1.91,-0.33,1.49,5.57
1948,2.43,5.28,1.22,4.48,3.62,0.58,2.18,-0.28,1.37,6.05
1949,2.37,5.34,1.19,4.44,3.44,0.39,2.18,-0.37,1.49,6.05
1950,2.49,5.45,1.34,4.55,3.63,0.59,2.35,-0.33,1.30,6.12
1951,2.70,5.95,1.58,4.91,3.71,0.63,2.55,-0.19,1.34,6.63
1952,1.81,4.99,0.58,4.03,2.91,-0.30,1.62,-1.08,0.69,5.67
1953,2.25,5.16,1.15,4.33,3.35,0.32,2.02,-0.49,1.20,5.92
1954,1.44,4.37,0.34,3.48,2.54,-0.50,1.23,-1.28,0.41,5.06
1955,1.54,4.37,0.47,3.52,2.68,-0.40,1.37,-1.20,0.62,5.03
1956,0.91,3.80,-0.17,2.94,2.08,-1.04,0.78,-1.89,-0.23,4.49
1957,2.34,5.26,1.23,4.42,3.47,0.38,2.16,-0.43,1.17,6.00
1958,2.27,5.48,1.15,4.45,3.29,0.13,2.16,-0.63,1.15,6.11
1959,2.27,5.32,1.17,4.32,3.25,0.25,2.09,-0.39,1.43,6.00
1960,2.14,5.30,0.96,4.28,3.23,0.09,1.99,-0.70,0.98,5.93
1961,2.55,5.49,1.41,4.60,3.64,0.59,2.29,-0.11,1.65,6.21
1962,0.98,3.91,-0.13,3.04,2.10,-1.01,0.77,-1.77,-0.02,4.55
1963,1.27,4.00,0.33,3.15,2.40,-0.58,1.14,-1.38,0.20,4.61
1964,1.94,4.59,0.92,3.80,3.05,0.14,1.71,-0.58,1.17,5.27
1965,1.43,4.28,0.28,3.48,2.63,-0.52,1.30,-1.37,0.35,4.99
1966,2.69,5.83,1.45,4.93,3.83,0.58,2.61,-0.31,1.29,6.54
1967,2.45,5.64,1.20,4.71,3.51,0.33,2.33,-0.49,1.11,6.36
1968,2.15,5.12,0.96,4.26,3.30,0.14,2.00,-0.67,0.96,5.77
1969,1.69,4.70,0.49,3.80,2.79,-0.30,1.48,-1.07,0.60,5.39
1970,1.72,4.91,0.36,4.03,2.90,-0.44,1.55,-1.22,0.51,5.65
1971,1.94,4.82,0.86,3.96,3.05,-0.01,1.70,-0.74,0.94,5.52
1972,1.98,4.96,0.94,4.04,3.02,0.03,1.73,-0.70,0.97,5.63
1973,1.84,4.86,0.62,3.99,2.97,-0.17,1.58,-0.93,0.88,5.55
1974,2.65,5.93,1.27,4.98,3.82,0.56,2.39,-0.27,1.47,6.68
1975,2.64,5.72,1.50,4.79,3.73,0.62,2.43,-0.21,1.48,6.40
1976,1.95,4.95,0.69,4.10,3.08,-0.07,1.67,-0.80,1.11,5.71
1977,2.70,5.59,1.50,4.80,3.89,0.74,2.50,-0.08,1.57,6.29
1978,1.59,4.48,0.28,3.74,2.84,-0.34,1.26,-1.15,0.65,5.26
1979,2.13,5.25,0.95,4.23,3.21,0.13,1.93,-0.62,1.12,5.83
1980,1.51,4.48,0.29,3.59,2.60,-0.48,1.27,-1.17,0.62,5.22
1981,2.16,5.43,0.75,4.52,3.31,-0.05,1.98,-0.82,1.01,6.17
1982,2.60,5.44,1.50,4.57,3.67,0.69,2.36,0.02,1.84,6.14
1983,2.61,5.60,1.36,4.74,3.66,0.55,2.35,-0.05,1.76,6.28
1984,1.85,5.01,0.55,4.13,2.91,-0.32,1.62,-0.99,0.86,5.76
1985,1.49,4.31,0.41,3.47,2.52,-0.48,1.28,-1.11,0.69,5.01
