Variable:,tasmin
,Benin,Alibori,Atakora,Atlantique,Borgou,Collines,Couffo,Donga,Littoral,Mono,Oueme,Plateau,Zou
1901,21.44,21.31,21.01,23.09,21.07,21.88,22.55,20.87,23.09,22.90,23.07,22.69,22.54
1902,21.58,21.40,21.17,23.34,21.16,22.08,22.78,21.01,23.34,23.14,23.30,22.92,22.77
1903,21.63,21.57,21.34,23.20,21.19,21.98,22.63,21.02,23.21,22.99,23.21,22.82,22.64
1904,21.86,21.90,21.56,23.33,21.43,22.13,22.79,21.20,23.33,23.15,23.30,22.92,22.77
1905,21.35,21.38,21.05,22.98,20.89,21.62,22.32,20.65,23.04,22.71,23.02,22.56,22.31
1906,21.72,21.49,21.25,23.41,21.37,22.27,22.84,21.19,23.38,23.14,23.41,23.08,22.89
1907,21.26,21.02,20.71,23.22,20.87,21.84,22.59,20.66,23.23,22.97,23.20,22.78,22.58
1908,21.06,20.54,20.50,23.22,20.62,21.85,22.64,20.61,23.23,23.00,23.20,22.80,22.63
1909,20.92,20.67,20.50,22.82,20.49,21.45,22.17,20.34,22.88,22.55,22.87,22.45,22.18
1910,21.57,21.49,21.04,23.18,21.24,22.05,22.63,20.93,23.13,22.96,23.18,22.86,22.66
1911,21.48,21.45,20.91,23.19,21.14,21.91,22.60,20.78,23.21,22.97,23.20,22.80,22.59
1912,21.94,21.95,21.46,23.55,21.58,22.31,23.02,21.26,23.53,23.37,23.51,23.12,22.99
1913,21.72,21.30,21.14,23.71,21.30,22.49,23.23,21.22,23.64,23.54,23.66,23.33,23.24
1914,21.88,21.52,21.31,23.74,21.51,22.60,23.23,21.38,23.66,23.53,23.71,23.41,23.28
1915,21.16,20.63,20.61,23.35,20.70,21.98,22.80,20.71,23.36,23.15,23.33,22.90,22.77
1916,20.89,20.26,20.24,23.13,20.51,21.78,22.55,20.47,23.14,22.90,23.15,22.74,22.55
1917,21.00,20.52,20.41,23.06,20.62,21.76,22.44,20.53,23.08,22.80,23.08,22.70,22.48
1918,21.19,20.83,20.55,23.20,20.86,21.89,22.60,20.64,23.22,22.95,23.19,22.81,22.62
1919,21.69,21.74,21.40,23.14,21.28,21.94,22.53,21.01,23.16,22.88,23.14,22.77,22.55
1920,21.50,21.34,21.20,23.17,21.04,21.92,22.56,20.92,23.18,22.92,23.19,22.80,22.59
1921,21.45,21.30,21.17,23.08,21.00,21.86,22.48,20.87,23.10,22.83,23.10,22.72,22.51
1922,21.19,20.74,20.76,23.16,20.77,21.87,22.58,20.72,23.18,22.93,23.17,22.79,22.59
1923,21.10,20.77,20.72,22.91,20.70,21.68,22.30,20.62,22.91,22.62,22.93,22.57,22.35
1924,21.34,21.12,21.04,22.93,20.93,21.79,22.34,20.84,22.93,22.68,22.97,22.62,22.39
1925,20.80,20.57,20.56,22.44,20.36,21.24,21.86,20.30,22.46,22.19,22.47,22.08,21.87
1926,21.29,20.95,20.88,23.18,20.87,21.89,22.55,20.79,23.18,22.92,23.19,22.80,22.58
1927,20.82,20.80,20.38,22.38,20.50,21.16,21.71,20.14,22.40,22.07,22.45,22.10,21.77
1928,20.64,20.44,20.26,22.39,20.24,21.11,21.74,20.07,22.41,22.09,22.43,22.05,21.78
1929,20.47,20.35,20.10,22.16,20.07,20.86,21.47,19.85,22.19,21.85,22.21,21.81,21.52
1930,21.65,21.67,21.17,23.24,21.33,21.98,22.58,20.91,23.26,22.94,23.30,22.95,22.62
1931,21.90,21.92,21.54,23.30,21.56,22.20,22.71,21.25,23.28,23.03,23.35,23.02,22.77
1932,21.66,21.54,21.20,23.33,21.30,22.09,22.68,21.02,23.35,23.03,23.40,23.05,22.75
1933,21.20,20.78,20.55,23.42,20.78,21.96,22.75,20.62,23.43,23.13,23.44,23.01,22.76
1934,21.62,21.32,21.15,23.35,21.26,22.23,22.75,21.12,23.34,23.08,23.38,23.09,22.83
1935,21.63,21.35,21.30,23.13,21.29,22.15,22.53,21.19,23.08,22.81,23.20,22.96,22.65
1936,20.96,20.54,20.55,22.84,20.53,21.61,22.25,20.54,22.83,22.59,22.87,22.52,22.29
1937,22.34,22.32,22.20,23.54,21.96,22.58,23.01,21.77,23.48,23.30,23.59,23.33,23.10
1938,22.59,22.38,22.42,23.96,22.15,23.04,23.52,22.14,23.87,23.78,23.95,23.71,23.59
1939,22.31,22.42,22.10,23.55,21.93,22.51,23.00,21.67,23.52,23.31,23.54,23.25,23.05
1940,21.64,21.62,21.36,23.16,21.22,21.95,22.56,21.00,23.17,22.92,23.18,22.81,22.60
1941,22.34,22.40,21.99,23.79,21.95,22.63,23.20,21.65,23.79,23.53,23.83,23.49,23.23
1942,22.09,22.19,21.79,23.46,21.72,22.33,22.84,21.38,23.45,23.16,23.50,23.17,22.92
1943,21.64,21.60,21.30,23.20,21.23,21.98,22.61,20.99,23.21,22.96,23.21,22.84,22.64
1944,21.85,21.83,21.57,23.38,21.45,22.16,22.76,21.22,23.37,23.10,23.40,23.02,22.79
1945,21.42,21.31,21.14,23.07,20.98,21.78,22.48,20.81,23.13,22.86,23.09,22.66,22.44
1946,21.44,21.36,21.12,23.09,20.99,21.80,22.47,20.79,23.11,22.82,23.10,22.68,22.49
1947,21.61,21.22,21.37,23.40,21.15,22.16,22.84,21.16,23.41,23.18,23.40,23.02,22.85
1948,21.18,20.95,20.89,22.94,20.73,21.65,22.36,20.64,22.97,22.72,22.95,22.53,22.35
1949,21.86,21.68,21.52,23.55,21.43,22.31,22.96,21.30,23.56,23.31,23.55,23.18,22.98
1950,20.98,20.70,20.57,22.94,20.50,21.56,22.30,20.44,22.98,22.68,22.94,22.48,22.30
1951,21.61,21.31,21.22,23.57,21.16,22.13,22.91,21.04,23.60,23.30,23.55,23.10,22.90
1952,21.33,21.01,20.94,23.20,20.94,21.86,22.54,20.82,23.23,22.91,23.21,22.79,22.55
1953,21.24,20.97,20.91,23.00,20.87,21.69,22.38,20.71,23.05,22.76,23.01,22.58,22.35
1954,21.09,21.05,20.82,22.69,20.66,21.39,22.04,20.47,22.73,22.42,22.70,22.29,22.05
1955,20.95,20.78,20.56,22.77,20.51,21.39,22.12,20.33,22.83,22.52,22.76,22.32,22.10
1956,21.03,20.91,20.67,22.74,20.57,21.45,22.14,20.41,22.77,22.50,22.75,22.35,22.14
