Variable:,tasmin
,Bahrain,"Central Region","Hamad Town","Hawar Island",Hidd,"Isa Town",Jidhafs,Manama,Muharraq,"Northern Region",Riffa,Sitra,"Western Region"
1901,21.17,21.05,21.06,21.47,21.47,21.06,21.06,21.06,21.06,20.99,21.24,21.06,21.28
1902,20.50,20.38,20.39,20.82,20.82,20.39,20.39,20.39,20.39,20.32,20.58,20.39,20.62
1903,19.54,19.43,19.44,19.85,19.85,19.44,19.44,19.44,19.44,19.35,19.62,19.44,19.65
1904,19.94,19.82,19.83,20.24,20.24,19.83,19.83,19.83,19.83,19.76,20.01,19.83,20.05
1905,19.83,19.71,19.72,20.13,20.13,19.72,19.72,19.72,19.72,19.64,19.90,19.72,19.93
1906,19.77,19.66,19.67,20.07,20.07,19.67,19.67,19.67,19.67,19.59,19.84,19.67,19.88
1907,19.67,19.56,19.57,19.97,19.97,19.57,19.57,19.57,19.57,19.49,19.74,19.57,19.78
1908,20.29,20.17,20.18,20.62,20.62,20.18,20.18,20.18,20.18,20.10,20.37,20.18,20.41
1909,20.53,20.42,20.43,20.83,20.83,20.43,20.43,20.43,20.43,20.34,20.60,20.43,20.63
1910,19.40,19.28,19.29,19.71,19.71,19.29,19.29,19.29,19.29,19.21,19.47,19.29,19.51
1911,18.80,18.69,18.70,19.08,19.08,18.70,18.70,18.70,18.70,18.62,18.87,18.70,18.90
1912,19.73,19.62,19.63,20.03,20.03,19.63,19.63,19.63,19.63,19.56,19.80,19.63,19.84
1913,19.54,19.43,19.44,19.83,19.83,19.44,19.44,19.44,19.44,19.36,19.61,19.44,19.64
1914,20.16,20.04,20.05,20.45,20.45,20.05,20.05,20.05,20.05,19.98,20.22,20.05,20.26
1915,20.45,20.33,20.34,20.78,20.78,20.34,20.34,20.34,20.34,20.27,20.53,20.34,20.57
1916,20.11,19.99,20.00,20.43,20.43,20.00,20.00,20.00,20.00,19.93,20.19,20.00,20.23
1917,20.25,20.13,20.14,20.58,20.58,20.14,20.14,20.14,20.14,20.07,20.33,20.14,20.37
1918,19.96,19.84,19.84,20.28,20.28,19.84,19.84,19.84,19.84,19.77,20.03,19.84,20.07
1919,20.61,20.49,20.50,20.93,20.93,20.50,20.50,20.50,20.50,20.43,20.69,20.50,20.73
1920,20.31,20.19,20.20,20.63,20.63,20.20,20.20,20.20,20.20,20.13,20.39,20.20,20.43
1921,20.57,20.45,20.46,20.88,20.88,20.46,20.46,20.46,20.46,20.39,20.64,20.46,20.68
1922,20.67,20.55,20.56,20.98,20.98,20.56,20.56,20.56,20.56,20.49,20.74,20.56,20.78
1923,20.15,20.02,20.03,20.48,20.48,20.03,20.03,20.03,20.03,19.96,20.23,20.03,20.27
1924,21.01,20.90,20.91,21.31,21.31,20.91,20.91,20.91,20.91,20.83,21.08,20.91,21.12
1925,20.05,19.93,19.94,20.38,20.38,19.94,19.94,19.94,19.94,19.87,20.13,19.94,20.17
1926,20.37,20.25,20.26,20.70,20.70,20.26,20.26,20.26,20.26,20.18,20.45,20.26,20.49
1927,20.53,20.41,20.42,20.86,20.86,20.42,20.42,20.42,20.42,20.34,20.61,20.42,20.65
1928,20.43,20.32,20.33,20.73,20.73,20.33,20.33,20.33,20.33,20.25,20.50,20.33,20.54
1929,20.35,20.24,20.25,20.65,20.65,20.25,20.25,20.25,20.25,20.18,20.42,20.25,20.46
1930,20.30,20.19,20.20,20.60,20.60,20.20,20.20,20.20,20.20,20.13,20.37,20.20,20.41
1931,20.29,20.17,20.18,20.60,20.60,20.18,20.18,20.18,20.18,20.11,20.36,20.18,20.40
1932,19.85,19.73,19.74,20.15,20.15,19.74,19.74,19.74,19.74,19.66,19.92,19.74,19.95
1933,19.62,19.50,19.51,19.92,19.92,19.51,19.51,19.51,19.51,19.43,19.69,19.51,19.72
1934,19.94,19.82,19.83,20.25,20.25,19.83,19.83,19.83,19.83,19.76,20.01,19.83,20.05
1935,20.69,20.57,20.58,20.99,20.99,20.58,20.58,20.58,20.58,20.50,20.76,20.58,20.79
1936,20.01,19.89,19.90,20.33,20.33,19.90,19.90,19.90,19.90,19.83,20.09,19.90,20.13
1937,20.19,20.08,20.09,20.49,20.49,20.09,20.09,20.09,20.09,20.02,20.26,20.09,20.30
1938,20.33,20.22,20.23,20.62,20.62,20.23,20.23,20.23,20.23,20.16,20.40,20.23,20.44
1939,20.17,20.05,20.06,20.47,20.47,20.06,20.06,20.06,20.06,19.99,20.24,20.06,20.28
1940,20.66,20.55,20.55,20.97,20.97,20.55,20.55,20.55,20.55,20.48,20.73,20.55,20.77
1941,20.39,20.27,20.28,20.71,20.71,20.28,20.28,20.28,20.28,20.20,20.47,20.28,20.50
1942,20.59,20.48,20.48,20.89,20.89,20.48,20.48,20.48,20.48,20.41,20.66,20.48,20.70
1943,19.98,19.86,19.87,20.30,20.30,19.87,19.86,19.87,19.87,19.77,20.06,19.87,20.08
1944,20.34,20.22,20.23,20.66,20.66,20.23,20.23,20.23,20.23,20.14,20.42,20.23,20.45
1945,20.09,19.97,19.98,20.41,20.41,19.98,19.98,19.98,19.98,19.91,20.17,19.98,20.21
1946,20.70,20.59,20.60,21.00,21.00,20.60,20.60,20.60,20.60,20.52,20.77,20.60,20.81
1947,21.21,21.11,21.12,21.47,21.47,21.12,21.12,21.12,21.12,21.04,21.27,21.12,21.31
1948,20.29,20.17,20.18,20.59,20.59,20.18,20.18,20.18,20.18,20.10,20.36,20.18,20.39
1949,19.74,19.62,19.63,20.08,20.08,19.63,19.63,19.63,19.63,19.55,19.83,19.63,19.86
1950,19.93,19.81,19.82,20.23,20.23,19.82,19.82,19.82,19.82,19.75,20.00,19.82,20.04
1951,20.88,20.75,20.76,21.22,21.22,20.76,20.76,20.76,20.76,20.68,20.96,20.76,21.00
1952,20.74,20.63,20.63,21.05,21.05,20.63,20.63,20.63,20.63,20.56,20.81,20.63,20.86
1953,20.64,20.54,20.55,20.95,20.95,20.55,20.54,20.55,20.55,20.39,20.72,20.55,20.73
1954,21.05,20.94,20.94,21.37,21.37,20.94,20.94,20.94,20.94,20.88,21.13,20.94,21.17
1955,20.57,20.45,20.46,20.88,20.88,20.46,20.46,20.46,20.46,20.39,20.64,20.46,20.68
1956,20.13,20.01,20.02,20.47,20.47,20.02,20.01,20.02,20.02,19.92,20.22,20.02,20.24
1957,20.34,20.24,20.24,20.63,20.63,20.24,20.24,20.24,20.24,20.18,20.41,20.24,20.45
1958,20.80,20.71,20.73,21.14,21.14,20.73,20.72,20.73,20.73,20.51,20.91,20.73,20.88
