Variable:,tasmin
,"Bahamas, The","Administrative unit not available"
1901,18.32,18.63
1902,19.14,19.30
1903,18.88,19.09
1904,18.79,18.99
1905,19.47,19.60
1906,19.08,19.21
1907,19.28,19.40
1908,19.39,19.48
1909,19.36,19.43
1910,18.02,18.32
1911,19.63,19.68
1912,20.22,20.15
1913,19.65,19.65
1914,19.18,19.27
1915,19.16,19.30
1916,19.06,19.21
1917,18.72,18.90
1918,19.28,19.38
1919,19.60,19.64
1920,19.21,19.33
1921,19.44,19.54
1922,19.58,19.62
1923,19.28,19.42
1924,19.74,19.84
1925,19.79,19.83
1926,19.57,19.71
1927,19.37,19.54
1928,19.28,19.43
1929,20.27,20.21
1930,19.47,19.55
1931,19.33,19.49
1932,19.84,19.92
1933,19.81,19.90
1934,19.32,19.46
1935,19.11,19.28
1936,19.80,19.85
1937,19.72,19.79
1938,19.44,19.56
1939,19.76,19.85
1940,18.74,19.00
1941,19.58,19.70
1942,19.27,19.48
1943,19.06,19.25
1944,19.27,19.43
1945,19.47,19.53
1946,20.17,20.06
1947,20.07,20.02
1948,20.48,20.46
1949,19.78,19.77
1950,19.16,19.22
1951,19.08,19.12
1952,19.26,19.29
1953,19.78,19.77
1954,19.03,19.24
1955,18.97,19.04
1956,18.82,18.91
1957,19.81,19.77
1958,19.23,19.38
1959,20.00,19.97
1960,19.22,19.49
1961,19.53,19.66
1962,18.96,19.19
1963,19.00,19.19
1964,19.92,19.87
1965,19.50,19.51
1966,19.24,19.31
1967,19.55,19.53
1968,18.67,18.83
1969,19.23,19.32
1970,19.21,19.25
1971,19.46,19.58
1972,20.20,20.16
1973,19.71,19.80
1974,19.96,19.91
1975,20.16,20.14
1976,19.41,19.53
1977,19.42,19.64
1978,19.71,19.84
1979,20.01,20.19
1980,19.64,19.93
1981,19.18,19.56
1982,20.71,20.70
1983,19.79,20.05
1984,19.71,19.90
1985,19.66,19.86
1986,20.08,20.25
1987,19.82,20.14
1988,19.93,20.21
1989,19.94,20.19
1990,20.73,20.85
1991,20.67,20.82
1992,19.82,20.18
1993,20.11,20.36
1994,20.95,21.06
1995,20.18,20.35
1996,19.86,20.06
1997,20.43,20.65
1998,20.63,20.86
1999,20.13,20.35
2000,19.91,20.18
2001,20.24,20.49
2002,20.68,20.90
2003,20.37,20.58
2004,20.15,20.43
2005,20.22,20.41
2006,20.31,20.56
2007,20.57,20.64
2008,20.35,20.48
2009,20.36,20.47
2010,19.45,19.63
2011,20.48,20.45
2012,20.45,20.60
2013,20.68,20.79
2014,20.48,20.71
2015,21.57,21.58
2016,21.03,21.15
2017,21.06,21.13
2018,20.89,21.05
2019,21.35,21.40
2020,21.47,21.47
