Variable:,tasmin
,Botswana,Central,Chobe,Ghanzi,Kgalagadi,Kgatleng,Kweneng,Ngamiland,"North East",South-East,Southern
1901,13.31,13.78,15.18,13.18,11.24,12.99,12.95,14.92,12.92,12.32,11.95
1902,13.33,13.93,15.45,13.14,11.07,13.00,12.90,15.02,13.16,12.30,11.86
1903,13.46,14.12,15.60,13.27,11.16,13.15,13.06,15.12,13.35,12.44,12.00
1904,12.92,13.35,14.63,12.84,10.94,12.68,12.61,14.48,12.49,12.03,11.62
1905,13.46,14.05,15.42,13.29,11.33,13.15,13.09,15.03,13.26,12.44,12.06
1906,12.91,13.38,14.72,12.81,10.86,12.64,12.56,14.49,12.56,11.94,11.53
1907,12.67,13.10,14.41,12.61,10.69,12.40,12.33,14.23,12.27,11.70,11.28
1908,13.29,13.85,15.22,13.15,11.15,12.98,12.92,14.88,13.05,12.26,11.87
1909,13.07,13.57,14.88,12.94,11.09,12.76,12.72,14.58,12.77,12.09,11.69
1910,12.80,13.14,14.51,12.76,10.94,12.42,12.45,14.35,12.28,11.76,11.41
1911,12.91,13.27,14.53,12.87,11.11,12.59,12.60,14.39,12.40,11.95,11.61
1912,13.45,13.97,15.33,13.30,11.44,13.12,13.12,14.98,13.14,12.46,12.11
1913,13.58,14.15,15.55,13.39,11.50,13.27,13.23,15.13,13.34,12.62,12.25
1914,13.75,14.39,15.82,13.51,11.62,13.43,13.38,15.28,13.60,12.76,12.38
1915,13.36,13.93,15.33,13.17,11.33,13.05,13.00,14.86,13.14,12.36,11.98
1916,13.44,14.01,15.44,13.25,11.36,13.07,13.07,14.98,13.23,12.42,12.03
1917,13.15,13.71,15.37,12.98,10.94,12.73,12.68,14.88,12.93,12.01,11.59
1918,12.78,13.22,14.29,12.69,11.04,12.62,12.58,14.03,12.40,11.98,11.60
1919,13.18,13.60,14.67,13.09,11.50,13.00,12.99,14.43,12.72,12.40,12.05
1920,13.40,13.96,15.25,13.22,11.43,13.12,13.07,14.86,13.19,12.46,12.07
1921,13.05,13.59,14.98,12.91,10.97,12.71,12.67,14.64,12.82,12.03,11.62
1922,13.95,14.54,15.94,13.73,11.85,13.58,13.56,15.55,13.73,12.92,12.55
1923,13.54,14.03,15.19,13.39,11.68,13.35,13.31,14.89,13.19,12.73,12.36
1924,13.24,13.80,15.30,13.06,11.13,12.79,12.78,14.88,13.01,12.11,11.72
1925,13.12,13.69,14.81,12.93,11.16,12.83,12.77,14.57,12.88,12.19,11.78
1926,13.41,13.99,15.21,13.22,11.44,13.12,13.08,14.86,13.19,12.49,12.10
1927,13.39,13.81,14.88,13.25,11.78,13.19,13.20,14.59,12.95,12.64,12.32
1928,13.79,14.29,15.69,13.64,11.78,13.36,13.39,15.35,13.45,12.72,12.39
1929,13.72,14.26,15.63,13.52,11.71,13.26,13.28,15.32,13.44,12.62,12.29
1930,13.24,13.68,14.88,13.13,11.45,12.92,12.94,14.63,12.81,12.30,11.96
1931,13.80,14.26,15.46,13.66,11.97,13.55,13.54,15.17,13.41,12.95,12.60
1932,13.62,14.03,15.00,13.50,12.02,13.52,13.50,14.78,13.12,12.97,12.63
1933,13.75,14.13,15.21,13.64,12.13,13.45,13.53,15.04,13.21,12.94,12.66
1934,13.96,14.65,16.05,13.65,11.83,13.58,13.51,15.52,13.88,12.94,12.56
1935,13.17,13.65,14.87,13.05,11.25,12.79,12.87,14.61,12.81,12.19,11.90
1936,13.27,13.71,14.79,13.16,11.53,12.95,13.03,14.57,12.89,12.40,12.12
1937,13.22,13.65,14.53,13.11,11.65,13.13,13.13,14.32,12.78,12.61,12.26
1938,13.65,14.26,15.50,13.42,11.69,13.44,13.36,15.02,13.45,12.82,12.43
1939,13.28,13.81,15.44,13.07,11.32,12.72,12.76,14.85,13.06,12.17,11.84
1940,13.77,14.26,15.97,13.59,11.79,13.08,13.21,15.42,13.38,12.53,12.33
1941,13.93,14.56,16.11,13.79,11.67,13.33,13.36,15.60,13.77,12.65,12.41
1942,14.06,14.74,16.34,13.80,11.68,13.71,13.63,15.79,13.99,13.07,12.63
1943,13.43,14.03,15.94,13.18,11.01,12.93,12.89,15.34,13.16,12.25,11.90
1944,13.69,14.22,15.88,13.57,11.50,13.17,13.24,15.37,13.37,12.56,12.25
1945,13.58,13.78,15.36,13.60,11.93,12.83,13.15,15.09,12.87,12.34,12.29
1946,13.71,14.14,15.53,13.66,11.80,13.30,13.41,15.16,13.26,12.72,12.49
1947,13.85,14.32,15.45,13.73,12.05,13.62,13.65,15.13,13.48,13.02,12.74
1948,13.50,13.99,15.42,13.36,11.58,13.02,13.08,15.01,13.18,12.40,12.15
1949,13.84,14.27,15.90,13.74,11.82,13.21,13.28,15.57,13.37,12.57,12.30
1950,13.71,14.15,15.70,13.52,11.83,13.26,13.23,15.28,13.23,12.71,12.38
1951,13.37,14.00,15.36,13.19,11.17,12.94,12.88,15.04,13.20,12.19,11.84
1952,13.86,14.57,15.92,13.55,11.61,13.74,13.52,15.47,13.79,12.97,12.47
1953,13.32,13.84,15.40,13.08,11.38,12.93,12.86,14.91,13.07,12.25,11.91
1954,13.24,13.89,15.23,13.03,11.06,13.05,12.91,14.80,13.06,12.32,11.84
1955,13.06,13.80,15.28,12.81,10.69,12.76,12.58,14.76,13.02,11.99,11.51
1956,13.38,14.11,15.34,13.11,11.13,13.25,13.07,14.94,13.32,12.55,12.04
1957,13.78,14.52,15.56,13.53,11.54,13.71,13.55,15.23,13.69,12.96,12.53
1958,13.76,14.48,15.56,13.49,11.59,13.69,13.50,15.22,13.70,12.97,12.54
1959,13.56,14.23,15.37,13.38,11.44,13.26,13.17,15.07,13.44,12.55,12.15
1960,13.56,14.10,15.29,13.40,11.60,13.34,13.20,15.00,13.29,12.72,12.30
1961,13.72,14.24,15.28,13.53,11.95,13.77,13.70,14.87,13.42,13.22,12.83
1962,13.38,14.01,15.00,13.27,11.36,13.22,13.11,14.73,13.15,12.64,12.11
1963,13.19,13.52,14.34,13.14,11.76,13.15,13.09,14.24,12.59,12.57,12.21
1964,13.12,13.79,14.49,13.02,11.13,12.98,12.89,14.34,13.04,12.40,11.93
1965,13.23,13.72,14.39,13.19,11.55,12.96,12.97,14.38,12.91,12.44,12.13
1966,13.78,14.37,15.15,13.61,12.07,13.55,13.51,14.94,13.61,12.96,12.67
1967,13.36,13.98,15.04,13.12,11.54,13.07,12.99,14.67,13.29,12.50,12.15
1968,13.21,13.90,14.75,13.06,11.25,12.94,12.83,14.51,13.22,12.24,11.91
1969,13.85,14.41,15.56,13.61,11.99,13.67,13.60,15.19,13.60,13.10,12.77
1970,13.75,14.30,15.16,13.66,11.92,13.42,13.41,15.06,13.49,12.84,12.58
1971,13.37,13.83,14.82,13.27,11.60,13.10,13.09,14.68,13.00,12.58,12.26
1972,13.37,13.68,14.60,13.34,11.91,13.11,13.10,14.56,12.84,12.54,12.27
1973,13.76,14.36,15.28,13.54,11.95,13.58,13.50,15.04,13.63,13.00,12.61
1974,13.22,13.73,14.83,12.97,11.42,13.30,13.22,14.46,12.81,12.71,12.34
1975,13.14,13.60,14.81,12.98,11.20,13.16,13.06,14.50,12.64,12.59,12.15
1976,12.97,13.53,14.81,12.69,11.04,12.90,12.81,14.35,12.61,12.32,11.95
1977,13.53,14.10,15.24,13.36,11.45,13.54,13.41,14.94,13.20,12.92,12.46
1978,13.37,13.90,15.18,13.15,11.25,13.55,13.37,14.83,12.92,12.93,12.37
1979,13.70,14.05,15.12,13.58,12.02,13.80,13.73,14.92,13.07,13.28,12.86
1980,13.16,13.44,14.64,13.08,11.66,12.87,12.86,14.47,12.54,12.35,12.05
1981,13.18,13.50,14.51,13.08,11.61,13.22,13.07,14.43,12.53,12.53,12.24
1982,13.76,14.19,15.34,13.64,11.95,13.59,13.51,15.13,13.29,12.95,12.63
1983,14.32,14.84,15.75,14.11,12.63,14.19,14.16,15.52,14.03,13.59,13.30
1984,14.11,14.55,15.44,13.97,12.51,13.99,13.97,15.29,13.78,13.43,13.11
1985,13.96,14.28,15.40,13.82,12.45,13.80,13.77,15.20,13.41,13.23,12.92
1986,13.86,14.13,15.18,13.72,12.53,13.81,13.77,14.98,13.13,13.22,12.92
