Variable:,tasmin
,"Central African Republic",Bamingui-Bangoran,Basse-Kotto,Haut-Mbomou,Haute-Kotto,Kémo,Lobaye,Mambéré-Kadéï,Mbomou,Nana-Gribizi,Nana-Mambéré,"Ombella M'Poko",Ouaka,Ouham,"Ouham Pendé",Sangha-Mbaéré,Vakaga,Bangui
1901,18.30,19.18,18.99,17.94,17.17,19.15,18.80,18.31,17.98,19.34,17.66,18.72,18.64,19.11,17.91,18.44,17.96,19.37
1902,18.34,19.18,18.99,17.94,17.17,19.16,18.90,18.49,17.98,19.35,17.87,18.80,18.64,19.18,18.08,18.59,17.96,19.40
1903,18.36,19.18,18.99,17.94,17.17,19.16,18.93,18.56,17.98,19.35,17.93,18.82,18.64,19.19,18.11,18.66,17.96,19.40
1904,18.34,19.18,18.99,17.94,17.17,19.16,18.85,18.44,17.98,19.35,17.91,18.78,18.64,19.21,18.16,18.51,17.96,19.38
1905,18.32,19.18,18.99,17.94,17.17,19.16,18.97,18.55,17.98,19.35,17.68,18.82,18.64,19.11,17.79,18.73,17.96,19.43
1906,18.34,19.18,18.99,17.94,17.17,19.16,18.95,18.56,17.98,19.35,17.79,18.83,18.64,19.15,17.94,18.71,17.96,19.42
1907,18.39,19.18,18.99,17.94,17.17,19.16,18.97,18.67,17.98,19.35,18.19,18.84,18.64,19.24,18.36,18.73,17.96,19.43
1908,18.29,19.18,18.99,17.94,17.17,19.16,18.85,18.34,17.98,19.35,17.52,18.77,18.64,19.11,17.75,18.49,17.96,19.38
1909,18.38,19.18,18.99,17.94,17.17,19.16,19.00,18.70,17.98,19.35,18.06,18.86,18.64,19.20,18.17,18.82,17.96,19.44
1910,18.30,19.16,18.99,17.72,17.06,19.16,18.82,18.43,17.94,19.35,18.03,18.77,18.64,19.22,18.27,18.45,17.73,19.37
1911,18.37,19.17,18.99,17.77,17.08,19.16,18.95,18.69,17.95,19.35,18.35,18.84,18.64,19.28,18.48,18.70,17.79,19.42
1912,18.34,19.17,18.99,17.72,17.06,19.15,18.96,18.69,17.94,19.35,18.25,18.83,18.64,19.23,18.33,18.74,17.74,19.43
1913,18.26,19.16,18.99,17.66,17.03,19.16,18.86,18.43,17.93,19.35,17.86,18.78,18.64,19.19,18.05,18.50,17.67,19.39
1914,18.40,19.18,18.99,17.95,17.17,19.16,18.97,18.70,17.98,19.35,18.22,18.85,18.64,19.24,18.31,18.75,17.97,19.43
1915,18.36,19.18,18.99,17.89,17.15,19.16,18.93,18.59,17.97,19.35,18.08,18.82,18.64,19.22,18.24,18.65,17.91,19.41
1916,18.29,19.16,18.99,17.60,17.00,19.16,18.93,18.59,17.93,19.35,18.07,18.82,18.64,19.22,18.22,18.65,17.62,19.41
1917,18.27,19.16,18.99,17.60,17.00,19.16,18.93,18.57,17.93,19.35,18.00,18.82,18.64,19.20,18.12,18.65,17.62,19.41
1918,18.48,19.47,19.03,17.92,17.35,19.19,18.93,18.63,18.08,19.46,18.21,18.83,18.76,19.28,18.36,18.65,18.11,19.41
1919,18.60,19.63,19.06,18.26,17.64,19.20,18.93,18.59,18.19,19.52,18.07,18.82,18.82,19.26,18.20,18.65,18.57,19.41
1920,18.05,18.70,18.93,17.43,16.56,19.12,18.93,18.55,17.73,19.18,17.92,18.81,18.47,19.14,18.06,18.65,16.90,19.41
