Variable:,tasmin
,Chile,Antofagasta,Araucania,Atacama,"Aisen del Gral. Carlos Ibañez del Campo",Biobio,Coquimbo,"Libertador Gral. Bernardo O'Higgins","Magallanes y Antartica chilena",Maule,Metropolitana,"Los Lagos",Tarapaca,"Arica y Painacota","Los Rios",Valparaiso
1901,4.02,4.70,4.34,3.26,2.92,4.89,4.25,4.49,3.48,5.01,3.38,4.20,6.27,3.13,4.28,4.95
1902,3.45,4.37,3.84,2.69,2.02,4.42,3.67,4.01,2.69,4.53,2.86,3.39,6.11,3.00,3.67,4.43
1903,3.26,3.94,3.78,2.27,2.19,4.29,3.24,3.68,2.66,4.28,2.46,3.55,5.73,2.58,3.68,4.04
1904,3.50,3.80,4.21,2.30,2.71,4.72,3.40,3.87,3.18,4.63,2.70,4.10,5.51,2.39,4.18,4.29
1905,3.15,3.79,3.90,2.22,2.06,4.39,3.38,3.70,1.75,4.35,2.56,3.68,6.09,3.19,3.83,4.20
1906,3.39,4.25,3.96,2.83,2.23,4.49,3.95,4.10,1.53,4.62,3.06,3.92,6.18,3.10,3.95,4.71
1907,2.89,3.61,3.35,2.11,1.72,3.84,3.19,3.30,1.79,3.88,2.31,3.14,5.88,2.90,3.25,3.96
1908,3.12,3.75,3.79,2.45,1.98,4.31,3.61,3.74,1.78,4.39,2.74,3.57,5.57,2.51,3.71,4.39
1909,2.95,3.64,3.64,2.01,1.92,4.12,3.01,3.29,2.01,4.10,2.18,3.47,5.36,2.23,3.58,3.79
1910,3.16,3.54,3.75,2.01,2.28,4.30,3.06,3.60,2.75,4.33,2.38,3.62,5.54,2.54,3.68,3.98
1911,3.09,3.38,3.62,2.01,2.23,4.17,3.13,3.48,2.78,4.19,2.33,3.50,5.30,2.37,3.54,3.97
1912,3.70,4.15,4.18,3.20,2.55,4.76,4.47,4.65,2.53,5.06,3.53,4.07,5.88,2.92,4.11,5.19
1913,3.75,4.24,4.56,3.28,2.60,5.22,4.59,4.98,2.21,5.54,3.82,4.35,5.46,2.39,4.45,5.37
1914,3.06,4.03,3.70,1.89,2.02,4.31,2.75,3.43,1.94,4.26,2.13,3.51,5.87,2.93,3.62,3.65
1915,3.28,4.27,3.84,2.02,2.11,4.44,2.91,3.66,2.23,4.44,2.39,3.58,6.50,3.66,3.72,3.87
1916,3.38,3.87,3.91,2.26,2.53,4.47,3.19,3.78,2.95,4.47,2.56,3.92,5.61,2.57,3.88,4.06
1917,3.57,3.27,4.47,2.72,3.05,4.99,4.04,4.55,3.09,5.05,3.29,4.56,4.72,1.63,4.49,4.89
1918,3.34,3.59,3.90,2.64,2.28,4.51,3.83,4.26,2.48,4.70,3.09,3.77,5.61,2.71,3.82,4.69
1919,3.81,4.35,4.18,3.34,2.60,4.79,4.44,4.60,2.75,4.99,3.57,4.07,6.20,3.31,4.11,5.22
1920,3.75,4.19,4.01,3.26,2.50,4.66,4.43,4.55,2.95,4.91,3.55,3.92,6.00,3.10,3.95,5.21
1921,3.35,3.58,3.62,2.45,2.29,4.18,3.65,3.89,3.21,4.31,2.80,3.53,5.79,2.95,3.57,4.52
1922,3.41,3.47,3.84,2.36,2.57,4.39,3.62,4.05,3.19,4.49,2.83,3.91,5.66,2.89,3.83,4.51
1923,3.19,3.81,3.50,2.54,1.95,4.12,3.59,3.83,2.28,4.25,2.73,3.38,5.84,3.01,3.42,4.35
1924,3.61,4.01,3.87,2.61,2.61,4.41,3.80,4.05,3.38,4.48,2.96,3.88,6.06,3.10,3.84,4.64
1925,3.56,4.13,3.72,3.34,1.96,4.38,4.73,4.40,2.66,4.63,3.63,3.28,6.02,3.14,3.51,5.47
1926,3.70,4.37,3.89,3.41,1.97,4.61,4.73,4.61,2.63,4.89,3.76,3.41,6.48,3.74,3.66,5.51
1927,3.59,3.83,3.98,2.84,2.36,4.62,4.12,4.43,3.03,4.82,3.36,3.71,6.08,3.31,3.84,5.00
1928,3.21,3.75,3.48,2.17,2.10,4.02,3.26,3.64,2.70,4.06,2.56,3.37,6.30,3.57,3.42,4.17
1929,3.46,4.01,3.89,2.61,2.30,4.50,3.74,4.11,2.66,4.61,3.02,3.68,6.09,3.27,3.78,4.61
1930,3.54,4.07,4.06,2.92,2.32,4.67,4.22,4.38,2.34,4.76,3.35,3.83,6.02,3.18,3.95,5.04
1931,3.07,3.36,3.71,1.75,2.18,4.19,3.32,3.66,2.24,4.15,2.57,3.51,6.05,3.55,3.63,4.27
1932,3.65,4.12,4.12,2.98,2.95,4.65,4.33,4.49,1.98,4.81,3.54,4.42,6.06,3.21,4.19,5.24
1933,3.24,3.71,3.63,2.90,2.14,4.21,4.26,4.21,1.80,4.48,3.30,3.62,5.43,2.45,3.60,5.06
1934,3.08,3.77,3.62,2.37,1.97,4.07,3.69,3.55,1.90,4.01,2.59,3.43,5.66,2.68,3.52,4.40
1935,3.29,4.13,3.94,2.76,2.06,4.43,3.87,3.98,1.55,4.46,2.95,3.73,5.93,2.96,3.87,4.66
1936,2.94,3.75,3.80,2.16,1.49,4.23,3.21,3.65,1.57,4.19,2.55,3.22,5.78,3.01,3.64,4.15
1937,2.96,3.81,3.79,2.38,1.47,4.30,3.38,3.89,1.30,4.34,2.83,3.22,5.70,3.02,3.61,4.37
1938,2.82,3.61,3.42,2.20,1.44,3.81,3.38,3.58,1.58,3.83,2.68,2.98,5.41,2.59,3.33,4.30
1939,3.19,3.90,3.92,2.46,1.97,4.46,3.91,4.11,1.53,4.48,3.17,3.56,5.78,2.92,3.70,4.80
1940,3.04,3.81,3.89,1.77,1.95,4.26,3.03,3.53,1.93,4.07,2.47,3.52,5.90,3.06,3.78,3.99
1941,3.17,3.90,3.86,2.18,1.73,4.25,3.68,3.98,2.03,4.25,2.87,3.34,6.18,3.49,3.74,4.54
1942,3.13,3.20,4.07,1.95,2.34,4.40,3.53,3.80,2.41,4.33,2.71,3.98,5.21,2.52,4.11,4.41
1943,3.45,3.49,4.51,2.25,2.69,4.79,3.85,4.10,2.41,4.65,2.95,4.38,5.89,3.34,4.56,4.66
1944,3.73,4.06,4.68,3.18,2.21,5.22,4.83,4.99,2.33,5.32,3.98,4.05,5.99,3.20,4.48,5.66
1945,3.80,4.10,4.77,2.81,2.69,5.34,4.34,4.90,2.44,5.39,3.75,4.40,6.20,3.48,4.62,5.30
1946,3.30,3.79,4.03,2.52,1.85,4.69,4.33,4.55,1.84,4.88,3.51,3.55,5.97,3.08,3.79,5.21
1947,3.21,3.53,4.29,2.49,1.70,4.91,4.39,4.70,1.53,5.05,3.63,3.51,5.70,2.85,4.00,5.32
1948,3.29,4.20,3.90,2.78,1.75,4.58,4.11,4.44,1.51,4.71,3.36,3.39,5.97,3.09,3.67,5.01
1949,3.26,3.42,4.21,2.32,2.06,4.73,4.05,4.32,2.10,4.81,3.30,3.71,5.76,2.89,4.06,4.95
1950,3.13,3.45,3.82,2.45,1.70,4.54,4.21,4.51,1.74,4.80,3.47,3.31,5.67,2.81,3.57,5.12
1951,3.57,3.66,4.65,2.67,2.28,5.27,4.46,4.82,2.41,5.30,3.73,4.09,5.72,2.85,4.43,5.33
1952,3.75,3.59,4.97,2.75,2.78,5.52,4.66,4.79,2.62,5.28,3.78,4.45,5.86,3.01,4.74,5.44
1953,3.65,4.12,4.69,2.93,2.13,5.21,4.40,4.61,2.38,5.10,3.64,4.03,6.02,2.98,4.52,5.27
1954,3.25,3.46,4.50,2.59,1.81,4.95,4.19,4.32,1.90,4.75,3.33,3.90,5.39,2.33,4.34,5.01
1955,3.06,3.18,4.27,2.27,1.52,4.89,4.02,4.43,1.91,4.78,3.43,3.51,5.17,2.16,4.04,5.02
1956,2.90,2.46,4.23,1.76,1.77,4.79,3.58,4.04,2.46,4.48,2.99,3.53,4.85,2.02,4.04,4.58
1957,3.37,3.52,4.47,2.49,1.97,5.04,4.19,4.75,1.98,5.12,3.70,3.87,6.02,3.07,4.30,5.25
1958,3.39,3.78,4.36,2.55,2.02,4.83,4.09,4.49,1.99,4.91,3.43,3.91,5.91,3.06,4.32,5.04
1959,3.02,3.67,4.05,1.98,1.85,4.60,3.30,3.87,1.35,4.61,2.69,3.63,5.77,2.86,4.01,4.26
1960,3.25,3.62,4.50,2.33,2.20,4.99,3.43,4.28,1.89,5.05,3.02,3.98,5.24,2.20,4.39,4.49
1961,3.16,4.27,4.04,2.52,1.59,4.71,3.73,4.32,1.07,4.91,3.16,3.58,5.66,2.69,3.97,4.69
1962,3.43,3.46,4.32,2.51,2.70,4.79,3.99,4.44,2.43,4.86,3.31,4.26,5.25,2.40,4.34,4.90
1963,3.47,4.09,4.29,2.73,2.27,4.66,4.10,4.28,1.91,4.77,3.24,4.16,5.98,2.94,4.44,4.88
