Variable:,tasmin
,"Congo (Republic of the)",Bouenza,Cuvette,Cuvette-Ouest,Lekoumou,Likouala,Niari,Plateaux,Sangha,Pool,Brazzaville,Kouilou,Point-Noire
1901,19.63,20.00,20.54,19.24,19.14,19.48,20.20,19.63,19.00,19.32,20.15,21.18,21.53
1902,19.73,20.09,20.62,19.39,19.24,19.55,20.30,19.71,19.16,19.38,20.18,21.26,21.62
1903,19.83,20.21,20.71,19.52,19.37,19.61,20.45,19.81,19.27,19.48,20.27,21.40,21.75
1904,19.62,19.96,20.52,19.25,19.10,19.49,20.16,19.59,19.04,19.28,20.09,21.13,21.48
1905,19.89,20.23,20.77,19.60,19.41,19.67,20.50,19.86,19.36,19.50,20.28,21.44,21.78
1906,19.83,20.13,20.72,19.53,19.31,19.64,20.38,19.78,19.32,19.41,20.18,21.33,21.66
1907,19.87,20.19,20.76,19.59,19.38,19.66,20.46,19.83,19.35,19.46,20.23,21.40,21.74
1908,19.59,19.90,20.50,19.23,19.04,19.49,20.11,19.55,19.03,19.23,20.04,21.06,21.43
1909,19.99,20.33,20.86,19.73,19.52,19.72,20.62,19.95,19.47,19.58,20.36,21.54,21.87
1910,19.63,20.03,20.51,19.22,19.15,19.47,20.20,19.62,18.98,19.34,20.18,21.20,21.57
1911,19.90,20.29,20.76,19.58,19.45,19.63,20.54,19.88,19.31,19.56,20.37,21.50,21.84
1912,19.98,20.38,20.85,19.67,19.54,19.69,20.62,19.97,19.40,19.64,20.43,21.58,21.95
1913,19.64,20.02,20.53,19.27,19.15,19.49,20.21,19.63,19.03,19.33,20.14,21.18,21.55
1914,19.90,20.23,20.78,19.62,19.41,19.67,20.50,19.86,19.38,19.49,20.28,21.44,21.77
1915,19.76,20.05,20.67,19.47,19.23,19.60,20.31,19.71,19.25,19.34,20.14,21.24,21.58
1916,19.74,19.99,20.66,19.46,19.18,19.60,20.26,19.69,19.25,19.29,20.09,21.18,21.52
1917,19.77,20.07,20.68,19.48,19.25,19.60,20.33,19.73,19.25,19.37,20.17,21.26,21.60
