Variable:,tasmin
,Comoros,Anjouan,Moheli,Ngazidja
1901,19.93,21.61,22.08,20.04
1902,20.16,21.79,22.29,20.28
1903,20.02,21.65,22.16,20.13
1904,19.87,21.59,22.06,19.97
1905,20.07,21.68,22.18,20.18
1906,19.87,21.60,22.08,19.98
1907,19.92,21.60,22.08,20.03
1908,20.14,21.77,22.27,20.25
1909,19.97,21.65,22.13,20.08
1910,19.88,21.57,22.07,19.99
1911,20.00,21.66,22.14,20.11
1912,20.15,21.81,22.30,20.26
1913,20.24,21.91,22.40,20.35
1914,20.28,21.99,22.47,20.39
1915,20.30,22.00,22.47,20.41
1916,20.13,21.73,22.26,20.25
1917,20.11,21.68,22.19,20.23
1918,20.19,21.83,22.33,20.30
1919,20.25,21.94,22.43,20.36
1920,20.17,21.80,22.31,20.29
1921,20.17,21.76,22.27,20.28
1922,20.10,21.65,22.18,20.22
1923,20.33,22.07,22.53,20.44
1924,20.26,21.96,22.45,20.37
1925,20.24,21.93,22.42,20.35
1926,20.35,22.21,22.61,20.46
1927,20.18,21.89,22.35,20.29
1928,20.22,21.95,22.42,20.33
1929,20.27,22.03,22.48,20.38
1930,20.14,21.83,22.29,20.26
1931,20.14,21.65,22.21,20.26
1932,20.12,21.71,22.22,20.23
1933,20.10,21.70,22.22,20.22
1934,20.08,21.65,22.17,20.20
1935,20.07,21.71,22.18,20.18
1936,20.15,21.85,22.30,20.27
1937,20.16,21.87,22.33,20.27
1938,20.17,21.87,22.33,20.28
1939,20.12,21.83,22.26,20.24
1940,20.06,21.59,22.13,20.17
1941,20.31,21.92,22.43,20.42
1942,20.27,21.84,22.34,20.39
1943,19.95,21.43,21.98,20.07
1944,20.29,21.91,22.38,20.41
1945,20.21,21.89,22.32,20.32
1946,20.11,21.73,22.20,20.23
1947,20.24,21.88,22.35,20.35
1948,20.48,22.04,22.57,20.59
1949,20.33,21.84,22.39,20.45
1950,20.21,21.75,22.28,20.32
1951,20.35,21.84,22.38,20.46
1952,20.43,21.87,22.43,20.55
1953,20.35,21.86,22.41,20.47
1954,20.24,21.78,22.32,20.35
1955,20.08,21.63,22.16,20.19
1956,19.87,21.46,21.98,19.98
1957,20.05,21.62,22.14,20.16
1958,20.35,21.84,22.38,20.46
1959,20.16,21.65,22.20,20.28
1960,20.02,21.55,22.08,20.14
1961,20.50,22.14,22.60,20.61
1962,20.07,21.65,22.13,20.18
1963,19.97,21.51,22.00,20.09
1964,19.90,21.43,21.94,20.01
1965,19.94,21.41,21.98,20.06
1966,20.35,21.95,22.45,20.47
1967,20.67,22.10,22.68,20.78
1968,20.15,21.57,22.13,20.26
1969,20.67,22.21,22.73,20.79
1970,20.44,21.96,22.48,20.56
1971,19.50,21.11,21.59,19.62
1972,19.76,21.39,21.87,19.88
1973,20.00,21.48,22.01,20.12
1974,19.58,21.06,21.60,19.69
1975,19.73,21.23,21.78,19.85
1976,19.76,21.31,21.82,19.87
1977,20.21,21.80,22.31,20.33
1978,20.13,21.65,22.18,20.25
1979,20.12,21.65,22.17,20.24
1980,20.10,21.65,22.16,20.21
1981,19.72,21.36,21.83,19.83
1982,20.18,21.69,22.21,20.29
1983,20.45,21.84,22.38,20.57
1984,19.78,21.18,21.73,19.89
1985,19.68,21.22,21.73,19.80
1986,19.81,21.33,21.83,19.93
1987,20.37,21.90,22.42,20.49
1988,20.22,21.74,22.26,20.33
1989,19.93,21.40,21.93,20.05
1990,19.90,21.55,22.01,20.02
1991,19.92,21.49,21.98,20.04
1992,20.20,21.69,22.21,20.31
1993,19.92,21.49,21.99,20.04
1994,20.18,21.78,22.25,20.29
1995,20.20,21.74,22.24,20.31
1996,20.10,21.60,22.12,20.22
1997,20.51,21.97,22.51,20.63
1998,20.77,22.21,22.76,20.88
1999,20.27,21.77,22.30,20.39
2000,20.30,21.78,22.32,20.42
2001,20.48,21.93,22.49,20.60
2002,20.55,21.98,22.55,20.67
2003,20.48,21.99,22.53,20.60
2004,20.51,21.89,22.47,20.63
2005,20.74,22.18,22.76,20.85
2006,20.78,22.11,22.71,20.89
2007,20.86,22.33,22.88,20.97
2008,20.39,21.89,22.43,20.51
2009,20.54,22.11,22.63,20.66
2010,20.72,22.30,22.83,20.83
2011,20.53,22.13,22.62,20.64
2012,20.30,21.94,22.40,20.42
2013,20.23,21.89,22.33,20.35
2014,20.45,22.05,22.53,20.56
2015,20.58,22.19,22.68,20.70
2016,20.49,22.02,22.54,20.60
2017,20.72,22.29,22.77,20.84
2018,20.56,22.15,22.63,20.68
2019,20.98,22.51,23.02,21.10
2020,20.93,22.45,22.95,21.04
