Variable:,tasmin
,Djibouti,"Ali Sabieh",Dikhil,Djibouti,Obock,Tadjourah
1901,22.68,22.41,22.29,23.22,23.59,22.43
1902,22.72,22.46,22.31,23.28,23.66,22.47
1903,22.67,22.40,22.17,23.28,23.71,22.44
1904,22.57,22.29,22.12,23.14,23.57,22.33
1905,22.83,22.56,22.41,23.38,23.76,22.58
1906,22.65,22.36,22.18,23.22,23.66,22.42
1907,22.21,21.91,21.67,22.82,23.32,21.99
1908,22.87,22.61,22.47,23.43,23.79,22.62
1909,22.05,21.75,21.53,22.64,23.13,21.82
1910,22.74,22.47,22.20,23.37,23.83,22.51
1911,22.86,22.54,22.35,23.43,23.93,22.65
1912,22.49,22.16,22.02,23.04,23.50,22.27
1913,22.52,22.22,22.06,23.08,23.52,22.29
1914,22.58,22.30,22.15,23.14,23.54,22.33
1915,22.72,22.44,22.34,23.25,23.61,22.46
1916,22.71,22.43,22.33,23.24,23.61,22.46
1917,22.71,22.45,22.34,23.26,23.61,22.46
1918,22.72,22.45,22.34,23.26,23.61,22.46
1919,22.72,22.44,22.34,23.25,23.61,22.46
1920,22.71,22.44,22.33,23.25,23.61,22.46
1921,22.72,22.48,22.35,23.27,23.61,22.46
1922,22.73,22.52,22.36,23.29,23.62,22.46
1923,22.71,22.44,22.33,23.25,23.61,22.46
1924,22.75,22.55,22.39,23.31,23.62,22.46
1925,22.73,22.50,22.36,23.29,23.62,22.46
1926,22.73,22.48,22.35,23.27,23.61,22.46
1927,22.73,22.47,22.35,23.27,23.62,22.46
1928,22.74,22.51,22.38,23.29,23.62,22.46
1929,22.71,22.43,22.33,23.25,23.61,22.46
1930,22.70,22.39,22.31,23.23,23.61,22.46
1931,22.72,22.49,22.35,23.27,23.61,22.46
1932,22.72,22.45,22.34,23.26,23.61,22.46
1933,22.72,22.45,22.34,23.26,23.61,22.47
1934,22.71,22.44,22.33,23.25,23.61,22.46
1935,22.72,22.44,22.34,23.25,23.61,22.46
1936,22.72,22.46,22.34,23.26,23.61,22.46
1937,22.79,22.54,22.45,23.33,23.63,22.52
1938,22.73,22.47,22.36,23.27,23.61,22.48
1939,22.77,22.52,22.42,23.31,23.63,22.50
1940,22.82,22.61,22.50,23.36,23.65,22.55
1941,22.63,22.41,22.26,23.20,23.51,22.35
1942,22.49,22.30,22.11,23.09,23.38,22.19
1943,22.23,22.06,21.84,22.85,23.12,21.93
1944,22.62,22.35,22.23,23.15,23.52,22.37
1945,22.38,22.19,21.99,22.99,23.29,22.09
1946,22.71,22.49,22.32,23.30,23.63,22.44
1947,24.10,23.87,23.68,24.69,25.03,23.84
1948,23.04,22.86,22.61,23.67,23.99,22.76
1949,23.81,23.66,23.35,24.48,24.78,23.52
1950,23.76,23.57,23.31,24.39,24.73,23.48
1951,24.09,23.98,23.62,24.78,25.06,23.79
1952,23.83,23.67,23.37,24.47,24.78,23.56
1953,23.56,23.42,23.12,24.22,24.52,23.28
1954,23.50,23.33,23.06,24.16,24.46,23.22
1955,23.05,22.81,22.66,23.63,23.98,22.77
1956,22.70,22.49,22.31,23.30,23.62,22.43
1957,22.02,21.69,21.64,22.52,22.93,21.79
1958,22.60,22.27,22.23,23.10,23.49,22.38
1959,22.33,22.01,22.00,22.81,23.17,22.10
1960,22.49,22.15,22.09,23.00,23.42,22.28
1961,22.36,22.07,21.89,22.93,23.37,22.14
1962,21.82,21.49,21.37,22.34,22.78,21.61
1963,22.67,22.35,22.26,23.19,23.60,22.46
1964,22.26,21.97,21.85,22.80,23.19,22.03
1965,22.20,21.83,21.78,22.71,23.16,21.98
1966,22.65,22.34,22.22,23.20,23.61,22.43
1967,22.29,22.02,21.85,22.86,23.23,22.06
1968,22.32,22.02,21.88,22.87,23.27,22.09
1969,22.82,22.59,22.50,23.35,23.67,22.53
1970,22.76,22.53,22.39,23.33,23.64,22.48
1971,22.07,21.85,21.72,22.62,22.93,21.79
1972,22.55,22.32,22.16,23.12,23.45,22.29
1973,22.57,22.31,22.19,23.12,23.47,22.32
1974,21.67,21.38,21.32,22.17,22.52,21.42
1975,22.10,21.86,21.80,22.60,22.91,21.82
1976,22.52,22.29,22.17,23.06,23.38,22.23
1977,22.60,22.39,22.27,23.15,23.43,22.32
1978,22.86,22.58,22.47,23.40,23.77,22.63
1979,23.39,23.11,22.98,23.94,24.31,23.16
1980,23.69,23.43,23.30,24.23,24.59,23.45
1981,22.58,22.32,22.24,23.10,23.43,22.32
1982,23.51,23.24,23.12,24.07,24.40,23.27
1983,23.46,23.20,23.08,24.02,24.35,23.21
1984,22.39,22.06,22.03,22.89,23.28,22.16
1985,22.53,22.27,22.19,23.05,23.38,22.26
1986,23.10,22.88,22.75,23.65,23.98,22.82
1987,23.28,23.18,23.00,23.90,24.06,22.92
1988,23.15,22.98,22.79,23.74,24.01,22.87
1989,22.75,22.56,22.38,23.35,23.63,22.46
1990,23.20,22.96,22.80,23.78,24.11,22.94
1991,23.39,23.10,23.04,23.90,24.24,23.14
1992,22.95,22.66,22.70,23.42,23.69,22.68
1993,22.88,22.54,22.58,23.33,23.68,22.64
1994,22.99,22.69,22.69,23.49,23.80,22.74
1995,23.15,22.89,22.84,23.66,23.95,22.89
1996,23.21,22.91,22.89,23.70,24.02,22.95
1997,23.05,22.78,22.67,23.59,23.95,22.81
1998,23.16,22.88,22.72,23.71,24.13,22.91
1999,22.34,22.00,21.88,22.87,23.37,22.13
2000,22.80,22.52,22.32,23.38,23.81,22.57
2001,22.84,22.54,22.40,23.39,23.83,22.60
2002,23.43,23.15,23.01,23.99,24.38,23.19
2003,23.20,22.89,22.76,23.74,24.16,22.97
2004,23.07,22.78,22.61,23.62,24.06,22.83
2005,23.21,22.93,22.78,23.76,24.15,22.96
2006,23.27,23.00,22.91,23.81,24.14,23.01
2007,22.99,22.71,22.61,23.51,23.86,22.74
2008,22.73,22.41,22.34,23.23,23.63,22.50
2009,23.81,23.51,23.41,24.33,24.73,23.57
2010,23.54,23.21,23.20,24.01,24.40,23.32
2011,23.39,23.08,23.03,23.89,24.27,23.15
2012,23.24,22.91,22.89,23.73,24.10,23.01
2013,23.46,23.15,23.08,23.97,24.36,23.23
2014,23.21,22.92,22.85,23.73,24.08,22.98
2015,23.62,23.29,23.27,24.11,24.49,23.38
2016,23.77,23.44,23.43,24.26,24.61,23.53
2017,23.56,23.25,23.20,24.07,24.44,23.34
2018,23.11,22.79,22.73,23.59,24.02,22.88
2019,23.39,23.11,22.99,23.93,24.30,23.15
2020,23.00,22.71,22.63,23.51,23.87,22.75
