Variable:,tasmin
,Denmark,Aarhus,Bornholm,Frederiksberg,Fyn,Nordjylland,Ribe,Ringkoebing,Soenderjylland,Storstroem,Vejle,Vestsjaelland,Viborg,Frederiksborg,Koebenhavn,Roskilde
1901,4.34,3.70,3.74,4.60,4.83,3.85,4.58,4.65,4.23,5.45,3.68,5.51,4.16,4.33,4.52,4.93
1902,3.19,2.52,2.49,3.43,3.77,2.60,3.50,3.49,3.25,4.41,2.55,4.36,2.95,3.11,3.32,3.76
1903,4.67,4.01,4.08,4.89,5.23,4.12,4.94,4.99,4.73,5.89,4.00,5.82,4.46,4.64,4.82,5.24
1904,4.39,3.75,3.88,4.63,4.98,3.78,4.69,4.68,4.45,5.69,3.74,5.60,4.14,4.35,4.54,5.00
1905,4.44,3.76,3.85,4.63,4.96,3.91,4.74,4.80,4.42,5.57,3.78,5.57,4.26,4.34,4.54,4.96
1906,5.01,4.35,4.48,5.28,5.49,4.50,5.27,5.36,4.94,6.08,4.34,6.11,4.82,5.00,5.19,5.55
1907,4.10,3.43,3.43,4.28,4.57,3.61,4.38,4.47,4.11,5.17,3.42,5.17,3.94,4.02,4.20,4.58
1908,4.52,3.86,3.71,4.58,4.92,4.13,4.78,4.96,4.37,5.36,3.83,5.50,4.44,4.34,4.51,4.90
1909,3.70,2.99,2.97,3.77,4.22,3.19,4.04,4.07,3.78,4.68,3.03,4.72,3.55,3.50,3.69,4.11
1910,5.42,4.76,4.63,5.53,5.95,4.88,5.76,5.80,5.45,6.31,4.79,6.46,5.25,5.25,5.44,5.83
1911,5.31,4.63,4.55,5.38,5.85,4.78,5.64,5.66,5.42,6.33,4.66,6.35,5.13,5.13,5.31,5.73
1912,4.35,3.64,3.59,4.42,4.89,3.81,4.70,4.70,4.50,5.33,3.68,5.37,4.16,4.15,4.33,4.76
1913,5.18,4.50,4.53,5.38,5.68,4.67,5.48,5.54,5.20,6.20,4.51,6.26,5.02,5.08,5.28,5.69
1914,5.67,5.00,5.06,5.86,6.20,5.12,6.00,6.02,5.68,6.67,5.02,6.77,5.47,5.56,5.76,6.18
1915,3.67,2.96,3.02,3.78,4.32,2.96,4.09,3.99,3.99,4.87,3.05,4.77,3.40,3.48,3.68,4.14
1916,4.75,4.08,4.00,4.86,5.31,4.16,5.11,5.12,4.88,5.80,4.12,5.79,4.56,4.56,4.75,5.17
