Variable:,tasmin
,Ecuador,Azuay,Bolivar,Canar,Carchi,Chimborazo,Cotopaxi,"El Oro",Esmeraldas,Galapagos,Imbabura,Loja,"Los Rios",Manabi,"Morona Santiago",Napo,Orellana,Pastaza,Sucumbios,Tungurahua,"Zamora Chinchipe","Zona No Delimitada",Guayas,Pichincha,"Santa Elena","Santo Domingo de los Tsachilas"
1901,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1902,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1903,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1904,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1905,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1906,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1907,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1908,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1909,14.92,7.14,13.02,7.15,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.88,18.11,18.91,9.30,18.80,15.84
1910,14.87,7.02,13.01,7.08,9.74,4.07,7.11,14.32,19.47,17.72,9.90,10.16,17.29,19.30,12.84,11.17,19.86,18.82,18.18,5.38,9.51,18.11,18.89,9.30,18.80,15.84
1911,14.90,7.09,13.02,7.13,9.74,4.09,7.11,14.43,19.47,17.72,9.90,10.31,17.30,19.30,12.90,11.17,19.86,18.83,18.18,5.38,9.70,18.11,18.90,9.30,18.80,15.84
1912,14.92,7.15,13.02,7.15,9.74,4.10,7.11,14.52,19.47,17.72,9.90,10.46,17.30,19.30,12.95,11.17,19.86,18.84,18.18,5.38,9.88,18.12,18.91,9.30,18.80,15.84
1913,14.93,7.18,13.02,7.16,9.74,4.10,7.11,14.56,19.47,17.72,9.90,10.54,17.30,19.30,12.96,11.17,19.86,18.84,18.18,5.38,9.98,18.11,18.91,9.30,18.80,15.84
1914,14.92,7.15,13.02,7.16,9.74,4.09,7.11,14.51,19.47,17.72,9.90,10.46,17.30,19.30,12.94,11.17,19.86,18.84,18.18,5.38,9.87,18.11,18.91,9.30,18.80,15.84
1915,14.93,7.16,13.02,7.17,9.74,4.10,7.11,14.53,19.47,17.72,9.90,10.50,17.30,19.30,12.95,11.17,19.86,18.84,18.19,5.38,9.92,18.11,18.91,9.30,18.80,15.84
