Variable:,tasmin
1901,17.17
1902,17.16
1903,16.91
1904,16.82
1905,16.95
1906,16.96
1907,16.53
1908,16.92
1909,17.00
1910,16.93
1911,16.93
1912,17.03
1913,17.10
1914,16.88
1915,17.08
1916,16.78
1917,16.56
1918,16.36
1919,17.19
1920,16.29
1921,16.35
1922,16.62
1923,16.91
1924,16.89
1925,16.69
1926,17.67
1927,17.33
1928,17.12
1929,16.88
1930,16.93
1931,17.15
1932,16.86
1933,17.02
1934,16.99
1935,17.22
1936,17.13
1937,17.70
1938,17.14
1939,16.87
1940,17.33
1941,17.14
1942,16.91
1943,17.03
1944,17.27
1945,17.59
1946,16.93
1947,17.46
1948,17.30
1949,17.16
1950,17.15
1951,16.80
1952,16.94
1953,17.29
1954,16.79
1955,17.53
1956,16.49
1957,16.54
1958,17.23
1959,16.84
1960,17.00
1961,18.10
1962,17.76
1963,17.18
1964,17.40
1965,16.99
1966,17.34
1967,16.89
1968,16.40
1969,17.05
1970,17.13
1971,15.96
1972,15.86
1973,16.97
1974,16.42
1975,16.52
1976,16.34
1977,16.89
1978,17.32
1979,17.45
1980,17.21
1981,17.39
1982,16.91
1983,17.79
1984,17.08
1985,17.38
1986,17.02
1987,18.12
1988,17.51
1989,17.44
1990,17.75
1991,17.07
1992,17.18
1993,16.99
1994,17.26
1995,17.85
1996,17.72
1997,18.13
1998,18.23
1999,17.66
2000,17.82
2001,18.45
2002,17.93
2003,18.01
2004,17.78
2005,18.04
2006,17.86
2007,17.73
2008,17.91
2009,18.04
2010,18.68
2011,17.90
2012,17.95
2013,18.24
2014,17.96
2015,18.07
2016,18.20
2017,18.44
2018,17.34
2019,17.88
2020,18.34
