Variable:,tasmin
1901,2.69
1902,2.37
1903,2.40
1904,2.56
1905,2.04
1906,1.99
1907,2.03
1908,2.03
1909,1.99
1910,2.35
1911,2.32
1912,2.45
1913,2.18
1914,2.09
1915,2.19
1916,2.50
1917,2.60
1918,2.35
1919,2.49
1920,2.52
1921,2.48
1922,2.62
1923,1.66
1924,2.43
1925,2.15
1926,2.26
1927,2.24
1928,2.22
1929,2.24
1930,2.16
1931,2.10
1932,1.86
1933,2.04
1934,2.08
1935,1.56
1936,2.09
1937,1.60
1938,1.74
1939,1.44
1940,2.22
1941,2.22
1942,2.45
1943,2.82
1944,2.27
1945,2.55
1946,1.91
1947,2.15
1948,1.70
1949,2.18
1950,1.80
1951,2.19
1952,2.57
1953,2.40
1954,1.99
1955,2.11
1956,2.54
1957,2.13
1958,1.99
1959,1.73
1960,2.40
1961,1.57
1962,2.52
1963,1.75
1964,1.84
1965,2.46
1966,1.87
1967,2.05
1968,2.46
1969,2.01
1970,2.31
1971,1.62
1972,1.81
1973,1.90
1974,2.43
1975,2.28
1976,1.61
1977,2.16
1978,2.53
1979,2.71
1980,2.06
1981,2.38
1982,2.31
1983,2.50
1984,1.89
1985,3.01
1986,2.14
1987,2.53
1988,2.36
1989,2.52
1990,2.36
1991,2.01
1992,2.01
1993,2.48
1994,2.00
1995,2.02
1996,2.52
1997,2.01
1998,2.90
1999,2.48
2000,1.96
2001,2.08
2002,1.80
2003,2.36
2004,2.85
2005,2.33
2006,2.44
2007,2.04
2008,2.54
2009,2.27
2010,2.34
2011,2.59
2012,2.38
2013,2.57
2014,2.31
2015,2.33
2016,2.65
2017,2.61
2018,2.55
2019,2.42
2020,2.66
