Variable:,tasmin
,Gibraltar,"Administrative unit not available"
1901,13.08,13.08
1902,13.25,13.25
1903,13.29,13.29
1904,13.58,13.58
1905,13.07,13.07
1906,13.18,13.18
1907,13.02,13.02
1908,13.34,13.34
1909,13.03,13.03
1910,13.08,13.08
1911,13.03,13.03
1912,13.03,13.03
1913,13.26,13.26
1914,13.01,13.01
1915,13.24,13.24
1916,13.09,13.09
1917,12.48,12.48
1918,12.89,12.89
1919,12.88,12.88
1920,13.25,13.25
1921,13.23,13.23
1922,12.92,12.92
1923,13.09,13.09
1924,13.57,13.57
1925,12.69,12.69
1926,13.79,13.79
1927,13.15,13.15
1928,12.92,12.92
1929,13.24,13.24
1930,13.38,13.38
1931,13.05,13.05
1932,12.63,12.63
1933,12.98,12.98
1934,12.68,12.68
1935,12.71,12.71
1936,12.84,12.84
1937,13.68,13.68
1938,13.18,13.18
1939,12.90,12.90
1940,13.31,13.31
1941,13.26,13.26
1942,13.55,13.55
1943,13.34,13.34
1944,12.81,12.81
1945,13.83,13.83
1946,13.21,13.21
1947,13.48,13.48
1948,13.78,13.78
1949,13.80,13.80
1950,13.34,13.34
1951,13.11,13.11
1952,13.19,13.19
1953,13.59,13.59
1954,13.05,13.05
1955,14.62,14.62
1956,12.48,12.48
1957,13.06,13.06
1958,13.60,13.60
1959,13.88,13.88
1960,13.77,13.77
1961,14.12,14.12
1962,13.68,13.68
1963,13.39,13.39
1964,13.53,13.53
1965,13.14,13.14
1966,13.14,13.14
1967,12.94,12.94
1968,13.42,13.42
1969,13.33,13.33
1970,13.09,13.09
1971,12.55,12.55
1972,12.60,12.60
1973,12.77,12.77
1974,12.93,12.93
1975,12.88,12.88
1976,12.85,12.85
1977,13.35,13.35
1978,13.50,13.50
1979,13.57,13.57
1980,13.43,13.43
1981,13.58,13.58
1982,13.54,13.54
1983,13.75,13.75
1984,13.33,13.33
1985,13.85,13.85
1986,13.35,13.35
1987,14.01,14.01
1988,13.79,13.79
1989,14.24,14.24
1990,13.94,13.94
1991,13.13,13.13
1992,13.04,13.04
1993,12.93,12.93
1994,13.68,13.68
1995,14.31,14.31
1996,13.96,13.96
1997,14.58,14.58
1998,13.96,13.96
1999,13.72,13.72
2000,13.71,13.71
2001,14.33,14.33
2002,14.00,14.00
2003,14.29,14.29
2004,13.91,13.91
2005,13.31,13.31
2006,14.22,14.22
2007,13.63,13.63
2008,13.73,13.73
2009,14.18,14.18
2010,14.31,14.31
2011,14.23,14.23
2012,13.52,13.52
2013,13.58,13.58
2014,14.11,14.11
2015,14.24,14.24
2016,14.59,14.59
2017,14.34,14.34
2018,13.89,13.89
2019,14.00,14.00
2020,14.38,14.38
